origin,population
Canada,2130
Canada,0
Canada,415
Canada,55
United States,805
Canada,20420
Canada,0
Canada,30
Canada,0
Canada,0
Canada,15
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,0
United Kingdom,20430
Ireland,11230
United Kingdom,15
United Kingdom,12850
United Kingdom,1305
"British Isles origins, n.o.c",1530
France,10
France,0
France,0
France,4850
Austria,360
Germany,0
Belgium,4025
Netherlands,5625
Belgium,160
Netherlands,40
Germany,12495
Luxembourg,0
Switzerland,165
Denmark,230
Finland,140
Iceland,45
Norway,250
Sweden,250
"Northern European origins, n.o.c ",45
Bulgaria,15
Belarus,15
Czech Republic,235
"Czechoslovakian, n.o.c",135
Estonia,20
Hungary,2745
Latvia,75
Lithuania,170
Moldova,20
Poland,2110
Romania,435
Russia,945
Slovakia,285
Ukraine,2550
"Eastern European origins, n.o.c",35
Albania,0
Bosnia,10
Spain,0
Croatia,175
Cyprus,35
Greece,215
Italy,1500
Kosovo,0
North Macedonia,35
Malta,130
Montenegro,0
Portugal,1165
Serbia,55
Italy,0
Slovenia,75
Spain,275
"Yugoslavian, n.o.c",220
"Southern European origins, n.o.c",0
Spain,0
Israel,105
Roma,25
"Slavic, n.o.c",0
"Other European origins, n.o.c",80
Antigua and Barbuda,0
The Bahamas,0
Barbados,125
Bermuda,0
Caribbean,0
Cuba,10
Dominican Republic,15
Grenada,0
Guadeloupe,0
Haiti,10
Jamaica,260
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,10
Trinidad and Tobago,45
Saint Vincent and the Grenadines,0
"West India, n.o.c",70
"Caribbean origins, n.o.c",10
Aboriginal from Central/South America (except Arawak and Maya),35
Arawak,0
Argentina,10
Belize,10
Bolivia,0
Brazil,25
Chile,0
Colombia,15
Costa Rica,10
Ecuador,0
Guatemala,15
Guyana,10
Hispanic,0
Honduras,0
Maya,0
Mexico,930
Nicaragua,0
Panama,0
Paraguay,0
Peru,0
El Salvador,50
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",25
Akan,0
Angola,10
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,10
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,0
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,0
Berber,0
Coptic,10
Dinka,0
Egypt,10
Libya,0
Mauritania,0
Morocco,0
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,10
Tanzania,10
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,10
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",15
"Other African origins, n.o.c",175
Afghanistan,10
"Arab, n.o.c",10
Armenia,60
Assyrian,0
Azerbaijan,0
Georgia,10
Hazara,0
Iran,15
Iraq,0
Israel,10
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,15
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,20
Tajikistan,0
Tatar,10
Turkey,15
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,15
"West Central Asian and Middle Eastern origins, n.o.c",10
Bangladesh,0
Bangladesh,0
Bhutan,0
India,125
India,0
India,0
India,0
Nepal,0
Pakistan,15
India,0
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",15
Myanmar (Burma),0
Cambodia,10
China,215
Philippines,145
Hmong,0
Indonesia,15
Japan,15
Karen,0
South Korea,80
Laos,10
Malaysia,0
Mongolia,10
Singapore,0
Taiwan,0
Thailand,15
China,0
Vietnam,35
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",10
Australia,45
New Zealand,20
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































