origin,population
Canada,1710
Canada,15
Canada,560
Canada,25
United States,245
Canada,11615
Canada,0
Canada,55
Canada,0
Canada,10
Canada,10
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,10
United Kingdom,11180
Ireland,7745
United Kingdom,0
United Kingdom,8390
United Kingdom,705
"British Isles origins, n.o.c",985
France,0
France,0
France,0
France,3955
Austria,160
Germany,0
Belgium,85
Netherlands,1555
Belgium,10
Netherlands,0
Germany,3045
Luxembourg,0
Switzerland,145
Denmark,150
Finland,175
Iceland,40
Norway,180
Sweden,170
"Northern European origins, n.o.c ",55
Bulgaria,10
Belarus,0
Czech Republic,70
"Czechoslovakian, n.o.c",35
Estonia,30
Hungary,250
Latvia,40
Lithuania,30
Moldova,0
Poland,890
Romania,115
Russia,145
Slovakia,60
Ukraine,790
"Eastern European origins, n.o.c",10
Albania,0
Bosnia,0
Spain,0
Croatia,30
Cyprus,0
Greece,115
Italy,1320
Kosovo,0
North Macedonia,45
Malta,40
Montenegro,0
Portugal,215
Serbia,25
Italy,0
Slovenia,10
Spain,155
"Yugoslavian, n.o.c",25
"Southern European origins, n.o.c",0
Spain,0
Israel,60
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",80
Antigua and Barbuda,0
The Bahamas,0
Barbados,25
Bermuda,10
Caribbean,0
Cuba,0
Dominican Republic,10
Grenada,25
Guadeloupe,0
Haiti,0
Jamaica,140
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,35
Saint Vincent and the Grenadines,0
"West India, n.o.c",35
"Caribbean origins, n.o.c",10
Aboriginal from Central/South America (except Arawak and Maya),10
Arawak,0
Argentina,10
Belize,0
Bolivia,0
Brazil,10
Chile,0
Colombia,0
Costa Rica,0
Ecuador,10
Guatemala,0
Guyana,30
Hispanic,0
Honduras,0
Maya,0
Mexico,15
Nicaragua,0
Panama,0
Paraguay,0
Peru,10
El Salvador,0
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,0
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,10
Berber,0
Coptic,0
Dinka,0
Egypt,25
Libya,0
Mauritania,0
Morocco,10
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,35
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",20
"Other African origins, n.o.c",50
Afghanistan,0
"Arab, n.o.c",0
Armenia,25
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,45
Iraq,10
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,30
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,10
Tajikistan,0
Tatar,0
Turkey,15
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",15
Bangladesh,0
Bangladesh,0
Bhutan,0
India,300
India,20
India,0
India,0
Nepal,0
Pakistan,0
India,50
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,0
China,405
Philippines,385
Hmong,0
Indonesia,15
Japan,55
Karen,0
South Korea,40
Laos,0
Malaysia,0
Mongolia,10
Singapore,0
Taiwan,0
Thailand,20
China,10
Vietnam,15
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",10
Australia,40
New Zealand,15
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































