origin,population
Canada,810
Canada,15
Canada,535
Canada,10
United States,515
Canada,6190
Canada,0
Canada,10
Canada,0
Canada,0
Canada,20
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,10
United Kingdom,12535
Ireland,5975
United Kingdom,10
United Kingdom,7630
United Kingdom,1005
"British Isles origins, n.o.c",1100
France,0
France,0
France,0
France,2960
Austria,345
Germany,0
Belgium,155
Netherlands,1430
Belgium,15
Netherlands,10
Germany,4335
Luxembourg,0
Switzerland,200
Denmark,530
Finland,305
Iceland,235
Norway,1205
Sweden,970
"Northern European origins, n.o.c ",95
Bulgaria,10
Belarus,10
Czech Republic,145
"Czechoslovakian, n.o.c",80
Estonia,35
Hungary,360
Latvia,40
Lithuania,45
Moldova,0
Poland,1035
Romania,135
Russia,610
Slovakia,110
Ukraine,1665
"Eastern European origins, n.o.c",30
Albania,10
Bosnia,0
Spain,0
Croatia,140
Cyprus,0
Greece,65
Italy,750
Kosovo,0
North Macedonia,0
Malta,20
Montenegro,0
Portugal,120
Serbia,30
Italy,0
Slovenia,40
Spain,240
"Yugoslavian, n.o.c",70
"Southern European origins, n.o.c",0
Spain,0
Israel,60
Roma,10
"Slavic, n.o.c",0
"Other European origins, n.o.c",50
Antigua and Barbuda,0
The Bahamas,0
Barbados,10
Bermuda,0
Caribbean,0
Cuba,0
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,0
Jamaica,25
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,0
Saint Vincent and the Grenadines,10
"West India, n.o.c",0
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,10
Belize,0
Bolivia,0
Brazil,0
Chile,30
Colombia,0
Costa Rica,0
Ecuador,0
Guatemala,0
Guyana,10
Hispanic,0
Honduras,0
Maya,0
Mexico,75
Nicaragua,0
Panama,0
Paraguay,0
Peru,0
El Salvador,0
Uruguay,0
Venezuela,10
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,10
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,0
Libya,0
Mauritania,15
Morocco,0
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,10
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,10
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,70
Tanzania,0
Tigria,0
Uganda,0
Zambia,10
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",10
"Other African origins, n.o.c",45
Afghanistan,0
"Arab, n.o.c",0
Armenia,0
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,15
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,0
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,10
Tajikistan,0
Tatar,0
Turkey,10
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,190
India,0
India,0
India,0
Nepal,10
Pakistan,0
India,15
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,0
China,200
Philippines,250
Hmong,0
Indonesia,10
Japan,125
Karen,0
South Korea,35
Laos,0
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,0
Thailand,10
China,0
Vietnam,25
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,85
New Zealand,60
Fiji,0
United States,20
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",20

































