origin,population
Canada,2235
Canada,35
Canada,800
Canada,30
United States,155
Canada,8725
Canada,0
Canada,10
Canada,0
Canada,0
Canada,30
"Other North American origins, n.o.c",0
United Kingdom,10
United Kingdom,0
United Kingdom,4935
Ireland,6155
United Kingdom,10
United Kingdom,4030
United Kingdom,425
"British Isles origins, n.o.c",520
France,0
France,0
France,0
France,6230
Austria,35
Germany,0
Belgium,50
Netherlands,755
Belgium,15
Netherlands,0
Germany,6320
Luxembourg,0
Switzerland,65
Denmark,35
Finland,80
Iceland,20
Norway,70
Sweden,90
"Northern European origins, n.o.c ",10
Bulgaria,10
Belarus,0
Czech Republic,25
"Czechoslovakian, n.o.c",50
Estonia,25
Hungary,100
Latvia,10
Lithuania,20
Moldova,0
Poland,1570
Romania,25
Russia,175
Slovakia,15
Ukraine,295
"Eastern European origins, n.o.c",10
Albania,0
Bosnia,0
Spain,0
Croatia,15
Cyprus,0
Greece,90
Italy,415
Kosovo,0
North Macedonia,0
Malta,30
Montenegro,0
Portugal,80
Serbia,0
Italy,0
Slovenia,0
Spain,80
"Yugoslavian, n.o.c",10
"Southern European origins, n.o.c",0
Spain,0
Israel,30
Roma,10
"Slavic, n.o.c",10
"Other European origins, n.o.c",50
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,0
Caribbean,0
Cuba,0
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,0
Jamaica,0
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,10
Saint Vincent and the Grenadines,0
"West India, n.o.c",25
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,10
Belize,0
Bolivia,0
Brazil,0
Chile,10
Colombia,15
Costa Rica,0
Ecuador,10
Guatemala,10
Guyana,10
Hispanic,0
Honduras,0
Maya,0
Mexico,10
Nicaragua,0
Panama,0
Paraguay,0
Peru,0
El Salvador,0
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,10
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,10
"Central and West African origins, n.o.c",0
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,0
Libya,0
Mauritania,0
Morocco,0
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,10
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,15
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",0
"Other African origins, n.o.c",20
Afghanistan,0
"Arab, n.o.c",0
Armenia,0
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,10
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,0
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,0
Tajikistan,0
Tatar,10
Turkey,10
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,10
Bangladesh,0
Bhutan,0
India,115
India,10
India,0
India,0
Nepal,0
Pakistan,0
India,0
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,20
China,165
Philippines,50
Hmong,0
Indonesia,0
Japan,10
Karen,0
South Korea,30
Laos,0
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,0
Thailand,10
China,0
Vietnam,45
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,0
New Zealand,0
Fiji,10
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































