origin,population
Canada,2485
Canada,40
Canada,1430
Canada,90
United States,890
Canada,10650
Canada,0
Canada,0
Canada,0
Canada,0
Canada,25
"Other North American origins, n.o.c",10
United Kingdom,15
United Kingdom,10
United Kingdom,15225
Ireland,8135
United Kingdom,15
United Kingdom,10130
United Kingdom,1275
"British Isles origins, n.o.c",1085
France,0
France,10
France,0
France,5020
Austria,695
Germany,10
Belgium,260
Netherlands,2455
Belgium,10
Netherlands,0
Germany,7770
Luxembourg,10
Switzerland,410
Denmark,560
Finland,325
Iceland,325
Norway,1805
Sweden,1400
"Northern European origins, n.o.c ",185
Bulgaria,0
Belarus,25
Czech Republic,200
"Czechoslovakian, n.o.c",105
Estonia,35
Hungary,850
Latvia,60
Lithuania,65
Moldova,10
Poland,1610
Romania,320
Russia,1435
Slovakia,165
Ukraine,2960
"Eastern European origins, n.o.c",15
Albania,20
Bosnia,0
Spain,0
Croatia,230
Cyprus,0
Greece,165
Italy,1580
Kosovo,10
North Macedonia,10
Malta,25
Montenegro,0
Portugal,620
Serbia,70
Italy,0
Slovenia,30
Spain,305
"Yugoslavian, n.o.c",65
"Southern European origins, n.o.c",10
Spain,0
Israel,80
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",180
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,0
Caribbean,0
Cuba,0
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,10
Jamaica,30
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,15
Saint Vincent and the Grenadines,0
"West India, n.o.c",15
"Caribbean origins, n.o.c",10
Aboriginal from Central/South America (except Arawak and Maya),10
Arawak,0
Argentina,15
Belize,0
Bolivia,0
Brazil,10
Chile,30
Colombia,10
Costa Rica,0
Ecuador,0
Guatemala,30
Guyana,0
Hispanic,0
Honduras,0
Maya,10
Mexico,125
Nicaragua,10
Panama,25
Paraguay,10
Peru,10
El Salvador,30
Uruguay,10
Venezuela,0
"Central and South American origins, n.o.c",25
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,0
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",10
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,15
Libya,0
Mauritania,0
Morocco,0
Sudan,0
Tunisia,10
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,0
Madagascar,10
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,95
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",50
"Other African origins, n.o.c",140
Afghanistan,0
"Arab, n.o.c",20
Armenia,35
Assyrian,0
Azerbaijan,0
Georgia,15
Hazara,0
Iran,25
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,40
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,10
Tajikistan,0
Tatar,10
Turkey,35
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,815
India,10
India,0
India,0
Nepal,10
Pakistan,20
India,140
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),10
Cambodia,25
China,445
Philippines,425
Hmong,0
Indonesia,30
Japan,245
Karen,0
South Korea,105
Laos,0
Malaysia,10
Mongolia,10
Singapore,0
Taiwan,0
Thailand,40
China,0
Vietnam,115
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",10
Australia,125
New Zealand,30
Fiji,15
United States,25
New Zealand,15
Samoa,10
"Polynesian, n.o.c",15
"Pacific Islands origins, n.o.c",10

































