origin,population
Canada,22425
Canada,250
Canada,4105
Canada,3495
United States,3060
Canada,555220
Canada,70
Canada,35
Canada,15
Canada,60
Canada,18030
"Other North American origins, n.o.c",10
United Kingdom,170
United Kingdom,0
United Kingdom,11260
Ireland,39360
United Kingdom,0
United Kingdom,15180
United Kingdom,310
"British Isles origins, n.o.c",885
France,100
France,1340
France,95
France,225770
Austria,475
Germany,0
Belgium,3855
Netherlands,1080
Belgium,125
Netherlands,0
Germany,10530
Luxembourg,125
Switzerland,2125
Denmark,245
Finland,110
Iceland,35
Norway,595
Sweden,370
"Northern European origins, n.o.c ",300
Bulgaria,215
Belarus,45
Czech Republic,305
"Czechoslovakian, n.o.c",70
Estonia,10
Hungary,710
Latvia,20
Lithuania,125
Moldova,200
Poland,2235
Romania,1365
Russia,1260
Slovakia,195
Ukraine,1110
"Eastern European origins, n.o.c",30
Albania,280
Bosnia,880
Spain,45
Croatia,360
Cyprus,10
Greece,905
Italy,9275
Kosovo,60
North Macedonia,55
Malta,65
Montenegro,15
Portugal,2855
Serbia,390
Italy,60
Slovenia,65
Spain,4455
"Yugoslavian, n.o.c",155
"Southern European origins, n.o.c",35
Spain,325
Israel,190
Roma,10
"Slavic, n.o.c",35
"Other European origins, n.o.c",650
Antigua and Barbuda,0
The Bahamas,15
Barbados,40
Bermuda,0
Caribbean,0
Cuba,500
Dominican Republic,410
Grenada,0
Guadeloupe,120
Haiti,2235
Jamaica,185
Saint Kitts and Nevis,0
Martinique,115
Montserrat,0
Puerto Rico,30
Saint Lucia,0
Trinidad and Tobago,30
Saint Vincent and the Grenadines,0
"West India, n.o.c",35
"Caribbean origins, n.o.c",185
Aboriginal from Central/South America (except Arawak and Maya),280
Arawak,0
Argentina,225
Belize,10
Bolivia,130
Brazil,930
Chile,820
Colombia,3490
Costa Rica,25
Ecuador,115
Guatemala,185
Guyana,40
Hispanic,70
Honduras,155
Maya,60
Mexico,1780
Nicaragua,140
Panama,20
Paraguay,50
Peru,785
El Salvador,590
Uruguay,60
Venezuela,200
"Central and South American origins, n.o.c",255
Akan,60
Angola,10
Ashanti,0
Benin,520
Burkina Faso,250
Cameroon,1555
Chad,65
DR Congo,1660
Nigeria,0
Togo,45
Gabon,165
The Gambia,0
Ghana,100
Guinea,355
Nigeria,15
Ivory Coast,1140
Liberia,30
Mali,250
Malinké,30
Nigeria,110
Peulh,120
Senegal,930
Sierra Leone,0
Togo,310
Wolof,75
Nigeria,10
"Central and West African origins, n.o.c",750
Algeria,2320
Berber,1425
Coptic,10
Dinka,0
Egypt,490
Libya,10
Mauritania,40
Morocco,2715
Sudan,0
Tunisia,1890
"North African origins, n.o.c",150
South Africa,0
Ethiopia,0
"Bantu, n.o.c",100
Burundi,805
Djibouti,25
Eritrea,35
Ethiopia,10
Harari,0
Kenya,10
Madagascar,325
Mauritius,105
Oromo,0
Rwanda,575
Seychelles,10
Somalia,65
South Africa,45
Tanzania,40
Tigria,0
Uganda,70
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",205
"Black, n.o.c.",145
"Other African origins, n.o.c",2070
Afghanistan,150
"Arab, n.o.c",2260
Armenia,230
Assyrian,10
Azerbaijan,15
Georgia,35
Hazara,0
Iran,620
Iraq,120
Israel,15
Jordan,10
Kazakhstan,15
Kurdistan,50
Kuwait,0
Kyrgyzstan,0
Lebanon,1175
Palestine,120
Pashtun,10
Saudi Arabia,10
Syria,540
Tajikistan,10
Tatar,30
Turkey,265
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,60
"West Central Asian and Middle Eastern origins, n.o.c",30
Bangladesh,50
Bangladesh,20
Bhutan,200
India,710
India,0
India,0
India,0
Nepal,440
Pakistan,90
India,10
Sri Lanka,0
Sri Lanka,10
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),255
Cambodia,805
China,3665
Philippines,315
Hmong,0
Indonesia,55
Japan,475
Karen,95
South Korea,275
Laos,305
Malaysia,10
Mongolia,45
Singapore,0
Taiwan,70
Thailand,195
China,0
Vietnam,1835
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",10
Australia,60
New Zealand,20
Fiji,0
United States,10
New Zealand,0
Samoa,0
"Polynesian, n.o.c",35
"Pacific Islands origins, n.o.c",30

































