origin,population
Canada,670
Canada,0
Canada,110
Canada,120
United States,130
Canada,22800
Canada,10
Canada,0
Canada,0
Canada,0
Canada,515
"Other North American origins, n.o.c",0
United Kingdom,10
United Kingdom,0
United Kingdom,140
Ireland,720
United Kingdom,0
United Kingdom,300
United Kingdom,0
"British Isles origins, n.o.c",20
France,0
France,35
France,0
France,6965
Austria,0
Germany,0
Belgium,40
Netherlands,35
Belgium,0
Netherlands,0
Germany,125
Luxembourg,0
Switzerland,25
Denmark,0
Finland,0
Iceland,0
Norway,0
Sweden,0
"Northern European origins, n.o.c ",0
Bulgaria,0
Belarus,0
Czech Republic,0
"Czechoslovakian, n.o.c",0
Estonia,0
Hungary,10
Latvia,0
Lithuania,0
Moldova,0
Poland,35
Romania,10
Russia,10
Slovakia,0
Ukraine,0
"Eastern European origins, n.o.c",0
Albania,0
Bosnia,0
Spain,0
Croatia,10
Cyprus,0
Greece,0
Italy,120
Kosovo,0
North Macedonia,0
Malta,0
Montenegro,0
Portugal,25
Serbia,0
Italy,0
Slovenia,0
Spain,45
"Yugoslavian, n.o.c",0
"Southern European origins, n.o.c",0
Spain,0
Israel,0
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",10
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,0
Caribbean,0
Cuba,0
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,35
Jamaica,10
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,0
Saint Vincent and the Grenadines,0
"West India, n.o.c",0
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,10
Belize,0
Bolivia,0
Brazil,0
Chile,0
Colombia,0
Costa Rica,0
Ecuador,0
Guatemala,0
Guyana,0
Hispanic,0
Honduras,0
Maya,0
Mexico,10
Nicaragua,0
Panama,0
Paraguay,0
Peru,0
El Salvador,0
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,10
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,10
Malinké,0
Nigeria,10
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",0
Algeria,0
Berber,10
Coptic,0
Dinka,0
Egypt,0
Libya,0
Mauritania,0
Morocco,70
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,10
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,25
Seychelles,0
Somalia,0
South Africa,0
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",0
"Other African origins, n.o.c",10
Afghanistan,0
"Arab, n.o.c",10
Armenia,55
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,0
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,0
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,0
Tajikistan,0
Tatar,0
Turkey,0
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,20
India,0
India,0
India,0
Nepal,0
Pakistan,0
India,0
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,0
China,65
Philippines,15
Hmong,0
Indonesia,0
Japan,0
Karen,0
South Korea,0
Laos,0
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,0
Thailand,0
China,0
Vietnam,15
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,0
New Zealand,0
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































