origin,population
Canada,2205
Canada,35
Canada,485
Canada,200
United States,240
Canada,31205
Canada,0
Canada,0
Canada,0
Canada,0
Canada,920
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,0
United Kingdom,620
Ireland,2350
United Kingdom,0
United Kingdom,775
United Kingdom,10
"British Isles origins, n.o.c",85
France,0
France,180
France,0
France,10685
Austria,15
Germany,0
Belgium,185
Netherlands,40
Belgium,10
Netherlands,0
Germany,585
Luxembourg,0
Switzerland,25
Denmark,10
Finland,45
Iceland,0
Norway,30
Sweden,10
"Northern European origins, n.o.c ",10
Bulgaria,25
Belarus,20
Czech Republic,20
"Czechoslovakian, n.o.c",15
Estonia,0
Hungary,35
Latvia,0
Lithuania,0
Moldova,0
Poland,245
Romania,20
Russia,50
Slovakia,20
Ukraine,140
"Eastern European origins, n.o.c",0
Albania,0
Bosnia,0
Spain,0
Croatia,10
Cyprus,0
Greece,40
Italy,395
Kosovo,0
North Macedonia,0
Malta,0
Montenegro,0
Portugal,65
Serbia,0
Italy,0
Slovenia,30
Spain,65
"Yugoslavian, n.o.c",40
"Southern European origins, n.o.c",0
Spain,25
Israel,10
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",65
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,0
Caribbean,0
Cuba,10
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,115
Jamaica,10
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,0
Saint Vincent and the Grenadines,0
"West India, n.o.c",0
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,0
Belize,0
Bolivia,10
Brazil,0
Chile,0
Colombia,10
Costa Rica,0
Ecuador,0
Guatemala,20
Guyana,0
Hispanic,0
Honduras,0
Maya,0
Mexico,35
Nicaragua,0
Panama,0
Paraguay,0
Peru,40
El Salvador,0
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",0
Akan,0
Angola,20
Ashanti,0
Benin,0
Burkina Faso,25
Cameroon,35
Chad,0
DR Congo,25
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,25
Nigeria,0
Ivory Coast,35
Liberia,0
Mali,0
Malinké,0
Nigeria,0
Peulh,10
Senegal,10
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",45
Algeria,75
Berber,30
Coptic,0
Dinka,0
Egypt,0
Libya,0
Mauritania,0
Morocco,115
Sudan,0
Tunisia,105
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,15
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,0
Madagascar,10
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,0
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",10
"Black, n.o.c.",0
"Other African origins, n.o.c",35
Afghanistan,0
"Arab, n.o.c",35
Armenia,0
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,0
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,80
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,10
Tajikistan,0
Tatar,0
Turkey,0
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,10
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,30
India,0
India,0
India,0
Nepal,0
Pakistan,0
India,0
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,0
China,80
Philippines,10
Hmong,0
Indonesia,0
Japan,0
Karen,0
South Korea,0
Laos,0
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,0
Thailand,0
China,0
Vietnam,20
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,0
New Zealand,0
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































