origin,population
Canada,1400
Canada,10
Canada,285
Canada,195
United States,285
Canada,29525
Canada,10
Canada,0
Canada,0
Canada,20
Canada,1115
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,0
United Kingdom,840
Ireland,2105
United Kingdom,0
United Kingdom,855
United Kingdom,25
"British Isles origins, n.o.c",15
France,0
France,110
France,0
France,9335
Austria,10
Germany,0
Belgium,195
Netherlands,170
Belgium,15
Netherlands,0
Germany,685
Luxembourg,0
Switzerland,110
Denmark,10
Finland,0
Iceland,0
Norway,0
Sweden,0
"Northern European origins, n.o.c ",20
Bulgaria,0
Belarus,0
Czech Republic,0
"Czechoslovakian, n.o.c",0
Estonia,0
Hungary,65
Latvia,0
Lithuania,10
Moldova,0
Poland,110
Romania,70
Russia,75
Slovakia,0
Ukraine,20
"Eastern European origins, n.o.c",15
Albania,0
Bosnia,0
Spain,0
Croatia,0
Cyprus,0
Greece,110
Italy,675
Kosovo,0
North Macedonia,0
Malta,0
Montenegro,0
Portugal,95
Serbia,0
Italy,0
Slovenia,0
Spain,120
"Yugoslavian, n.o.c",0
"Southern European origins, n.o.c",0
Spain,0
Israel,10
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",30
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,0
Caribbean,0
Cuba,10
Dominican Republic,25
Grenada,0
Guadeloupe,0
Haiti,70
Jamaica,25
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,0
Saint Vincent and the Grenadines,0
"West India, n.o.c",0
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,10
Belize,0
Bolivia,15
Brazil,0
Chile,0
Colombia,20
Costa Rica,0
Ecuador,0
Guatemala,15
Guyana,10
Hispanic,0
Honduras,0
Maya,0
Mexico,40
Nicaragua,0
Panama,10
Paraguay,0
Peru,15
El Salvador,10
Uruguay,10
Venezuela,0
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,10
Chad,0
DR Congo,10
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,0
Peulh,0
Senegal,20
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",10
Algeria,50
Berber,10
Coptic,0
Dinka,0
Egypt,30
Libya,0
Mauritania,0
Morocco,150
Sudan,0
Tunisia,30
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",10
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,0
Madagascar,10
Mauritius,0
Oromo,0
Rwanda,15
Seychelles,0
Somalia,10
South Africa,0
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,10
"Southern and East African origins, n.o.c",10
"Black, n.o.c.",0
"Other African origins, n.o.c",10
Afghanistan,0
"Arab, n.o.c",10
Armenia,10
Assyrian,0
Azerbaijan,0
Georgia,0
Hazara,0
Iran,0
Iraq,0
Israel,0
Jordan,0
Kazakhstan,10
Kurdistan,20
Kuwait,0
Kyrgyzstan,0
Lebanon,30
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,10
Tajikistan,0
Tatar,0
Turkey,25
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,25
India,0
India,0
India,0
Nepal,0
Pakistan,0
India,0
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,10
China,95
Philippines,25
Hmong,0
Indonesia,0
Japan,10
Karen,0
South Korea,0
Laos,0
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,0
Thailand,20
China,0
Vietnam,25
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,0
New Zealand,0
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































