origin,population
Aboriginal from Central/South America (except Arawak and Maya),10
Afghanistan,0
Akan,0
Albania,10
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",0
Arawak,0
Argentina,0
Armenia,0
Ashanti,0
Assyrian,0
Australia,95
Austria,265
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,10
Belarus,20
Belgium,130
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",0
Bolivia,0
Bosnia,25
Brazil,20
"British Isles origins, n.o.c",625
Bulgaria,0
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,6130
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,10
China,140
Colombia,10
Coptic,0
Costa Rica,0
Croatia,65
Cuba,10
Cyprus,15
Czech Republic,80
"Czechoslovakian, n.o.c",60
DR Congo,0
Denmark,235
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",10
Ecuador,0
Egypt,0
El Salvador,0
Eritrea,0
Estonia,0
Ethiopia,0
Fiji,0
Finland,335
France,1840
Gabon,0
Georgia,0
Germany,3675
Ghana,0
Greece,30
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,0
Haiti,15
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,185
Iceland,95
India,145
Indonesia,0
Iran,0
Iraq,0
Ireland,3130
Israel,35
Italy,440
Ivory Coast,0
Jamaica,10
Japan,140
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,10
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,15
Lebanon,15
Liberia,0
Libya,0
Lithuania,15
Luxembourg,10
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,10
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,50
Moldova,0
Mongolia,10
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,1505
New Zealand,10
Nicaragua,0
Nigeria,0
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",90
Norway,890
Oromo,0
"Other African origins, n.o.c",50
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",25
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,0
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,130
Poland,540
"Polynesian, n.o.c",10
Portugal,70
Puerto Rico,0
Roma,10
Romania,70
Russia,645
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,10
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,40
Slovenia,35
Somalia,0
South Africa,80
"South Asian origins, n.o.c",15
South Korea,20
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",40
Spain,165
Sri Lanka,10
Sudan,0
Sweden,760
Switzerland,240
Syria,40
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,10
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,0
Tunisia,10
Turkey,10
Turkmenistan,0
Uganda,0
Ukraine,1390
United Kingdom,11500
United States,495
Uruguay,0
Uzbekistan,0
Venezuela,10
Vietnam,0
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",10
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",65
Zambia,0
Zimbabwe,10
Zulu,0
