origin,population
Canada,8005
Canada,1550
Canada,1710
Canada,350
United States,1125
Canada,98195
Canada,10
Canada,2340
Canada,15
Canada,10
Canada,65
"Other North American origins, n.o.c",15
United Kingdom,45
United Kingdom,25
United Kingdom,81840
Ireland,61225
United Kingdom,20
United Kingdom,17015
United Kingdom,2660
"British Isles origins, n.o.c",3445
France,10
France,10
France,0
France,10045
Austria,275
Germany,0
Belgium,130
Netherlands,1215
Belgium,15
Netherlands,0
Germany,5045
Luxembourg,0
Switzerland,185
Denmark,380
Finland,145
Iceland,140
Norway,890
Sweden,540
"Northern European origins, n.o.c ",190
Bulgaria,75
Belarus,30
Czech Republic,135
"Czechoslovakian, n.o.c",45
Estonia,15
Hungary,235
Latvia,60
Lithuania,90
Moldova,0
Poland,980
Romania,130
Russia,640
Slovakia,55
Ukraine,865
"Eastern European origins, n.o.c",55
Albania,45
Bosnia,45
Spain,10
Croatia,75
Cyprus,15
Greece,255
Italy,1055
Kosovo,0
North Macedonia,15
Malta,90
Montenegro,0
Portugal,760
Serbia,40
Italy,0
Slovenia,10
Spain,640
"Yugoslavian, n.o.c",30
"Southern European origins, n.o.c",10
Spain,55
Israel,150
Roma,95
"Slavic, n.o.c",0
"Other European origins, n.o.c",345
Antigua and Barbuda,0
The Bahamas,0
Barbados,90
Bermuda,15
Caribbean,0
Cuba,135
Dominican Republic,20
Grenada,0
Guadeloupe,0
Haiti,25
Jamaica,255
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,65
Saint Vincent and the Grenadines,0
"West India, n.o.c",35
"Caribbean origins, n.o.c",30
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,65
Belize,0
Bolivia,20
Brazil,45
Chile,20
Colombia,160
Costa Rica,0
Ecuador,55
Guatemala,35
Guyana,30
Hispanic,30
Honduras,15
Maya,25
Mexico,150
Nicaragua,15
Panama,0
Paraguay,0
Peru,30
El Salvador,15
Uruguay,0
Venezuela,60
"Central and South American origins, n.o.c",45
Akan,10
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,10
Chad,0
DR Congo,125
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,55
Guinea,0
Nigeria,20
Ivory Coast,15
Liberia,15
Mali,0
Malinké,0
Nigeria,305
Peulh,0
Senegal,0
Sierra Leone,10
Togo,10
Wolof,0
Nigeria,70
"Central and West African origins, n.o.c",30
Algeria,15
Berber,10
Coptic,0
Dinka,0
Egypt,190
Libya,160
Mauritania,0
Morocco,45
Sudan,75
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,10
"Bantu, n.o.c",0
Burundi,30
Djibouti,0
Eritrea,50
Ethiopia,60
Harari,0
Kenya,10
Madagascar,0
Mauritius,0
Oromo,10
Rwanda,0
Seychelles,0
Somalia,25
South Africa,90
Tanzania,45
Tigria,0
Uganda,55
Zambia,30
Zimbabwe,60
Zulu,0
"Southern and East African origins, n.o.c",60
"Black, n.o.c.",40
"Other African origins, n.o.c",495
Afghanistan,10
"Arab, n.o.c",305
Armenia,30
Assyrian,0
Azerbaijan,10
Georgia,0
Hazara,0
Iran,190
Iraq,140
Israel,0
Jordan,125
Kazakhstan,10
Kurdistan,10
Kuwait,15
Kyrgyzstan,0
Lebanon,575
Palestine,70
Pashtun,0
Saudi Arabia,35
Syria,260
Tajikistan,60
Tatar,0
Turkey,90
Turkmenistan,0
China,0
Uzbekistan,15
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",25
Bangladesh,240
Bangladesh,55
Bhutan,50
India,1275
India,0
India,0
India,0
Nepal,95
Pakistan,240
India,40
Sri Lanka,0
Sri Lanka,85
India,35
"South Asian origins, n.o.c",40
Myanmar (Burma),20
Cambodia,15
China,2140
Philippines,760
Hmong,0
Indonesia,70
Japan,90
Karen,35
South Korea,85
Laos,10
Malaysia,115
Mongolia,10
Singapore,0
Taiwan,30
Thailand,30
China,15
Vietnam,55
"East and Southeast Asian origins, n.o.c",10
"Other Asian origins, n.o.c",30
Australia,115
New Zealand,20
Fiji,0
United States,10
New Zealand,0
Samoa,15
"Polynesian, n.o.c",10
"Pacific Islands origins, n.o.c",15

































