origin,population
Aboriginal from Central/South America (except Arawak and Maya),45
Afghanistan,0
Akan,0
Albania,0
Algeria,0
Angola,0
Antigua and Barbuda,10
"Arab, n.o.c",0
Arawak,0
Argentina,10
Armenia,10
Ashanti,0
Assyrian,0
Australia,65
Austria,165
Azerbaijan,0
Bangladesh,20
"Bantu, n.o.c",0
Barbados,40
Belarus,10
Belgium,260
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",10
Bolivia,0
Bosnia,0
Brazil,35
"British Isles origins, n.o.c",970
Bulgaria,0
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,10070
Caribbean,10
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",20
Chad,0
Chile,0
China,255
Colombia,25
Coptic,0
Costa Rica,0
Croatia,55
Cuba,0
Cyprus,15
Czech Republic,65
"Czechoslovakian, n.o.c",10
DR Congo,10
Denmark,195
Dinka,0
Djibouti,0
Dominican Republic,10
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,0
Egypt,35
El Salvador,40
Eritrea,0
Estonia,0
Ethiopia,15
Fiji,0
Finland,105
France,3095
Gabon,0
Georgia,0
Germany,8240
Ghana,10
Greece,190
Grenada,0
Guadeloupe,0
Guatemala,70
Guinea,0
Guyana,25
Haiti,0
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,270
Iceland,45
India,400
Indonesia,10
Iran,35
Iraq,10
Ireland,7910
Israel,50
Italy,1075
Ivory Coast,0
Jamaica,190
Japan,130
Jordan,15
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,165
Latvia,25
Lebanon,40
Liberia,0
Libya,0
Lithuania,20
Luxembourg,10
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,30
Martinique,0
Mauritania,0
Mauritius,0
Maya,10
Mexico,125
Moldova,10
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,10
Myanmar (Burma),10
Nepal,0
Netherlands,2395
New Zealand,20
Nicaragua,0
Nigeria,0
"North African origins, n.o.c",0
North Macedonia,10
"Northern European origins, n.o.c ",20
Norway,220
Oromo,0
"Other African origins, n.o.c",35
"Other Asian origins, n.o.c",30
"Other European origins, n.o.c",60
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,20
Palestine,15
Panama,0
Paraguay,0
Pashtun,0
Peru,10
Peulh,0
Philippines,140
Poland,880
"Polynesian, n.o.c",0
Portugal,225
Puerto Rico,0
Roma,10
Romania,110
Russia,275
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,45
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,45
Slovenia,50
Somalia,10
South Africa,45
"South Asian origins, n.o.c",15
South Korea,45
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,260
Sri Lanka,10
Sudan,0
Sweden,230
Switzerland,400
Syria,20
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,45
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,40
Tunisia,0
Turkey,15
Turkmenistan,0
Uganda,15
Ukraine,450
United Kingdom,20040
United States,355
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,50
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",0
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",45
Zambia,0
Zimbabwe,0
Zulu,0
