origin,population
Canada,340
Canada,15
Canada,80
Canada,540
United States,85
Canada,7755
Canada,0
Canada,10
Canada,0
Canada,0
Canada,0
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,0
United Kingdom,4570
Ireland,3715
United Kingdom,0
United Kingdom,4675
United Kingdom,310
"British Isles origins, n.o.c",210
France,0
France,0
France,0
France,4045
Austria,15
Germany,0
Belgium,0
Netherlands,315
Belgium,0
Netherlands,0
Germany,805
Luxembourg,0
Switzerland,10
Denmark,35
Finland,35
Iceland,0
Norway,35
Sweden,55
"Northern European origins, n.o.c ",40
Bulgaria,0
Belarus,0
Czech Republic,10
"Czechoslovakian, n.o.c",20
Estonia,0
Hungary,40
Latvia,0
Lithuania,10
Moldova,0
Poland,115
Romania,20
Russia,45
Slovakia,0
Ukraine,120
"Eastern European origins, n.o.c",0
Albania,25
Bosnia,0
Spain,0
Croatia,20
Cyprus,0
Greece,0
Italy,105
Kosovo,10
North Macedonia,0
Malta,0
Montenegro,0
Portugal,15
Serbia,0
Italy,0
Slovenia,10
Spain,60
"Yugoslavian, n.o.c",0
"Southern European origins, n.o.c",0
Spain,0
Israel,10
Roma,0
"Slavic, n.o.c",0
"Other European origins, n.o.c",15
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,0
Caribbean,0
Cuba,0
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,0
Jamaica,25
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,0
Saint Vincent and the Grenadines,0
"West India, n.o.c",0
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,0
Belize,0
Bolivia,0
Brazil,0
Chile,0
Colombia,30
Costa Rica,0
Ecuador,0
Guatemala,0
Guyana,0
Hispanic,0
Honduras,0
Maya,0
Mexico,0
Nicaragua,0
Panama,0
Paraguay,0
Peru,0
El Salvador,0
Uruguay,0
Venezuela,0
"Central and South American origins, n.o.c",0
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,0
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,0
Peulh,0
Senegal,0
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",10
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,0
Libya,0
Mauritania,0
Morocco,0
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,0
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,10
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",0
"Other African origins, n.o.c",45
Afghanistan,0
"Arab, n.o.c",0
Armenia,0
Assyrian,10
Azerbaijan,0
Georgia,0
Hazara,0
Iran,0
Iraq,0
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,35
Palestine,0
Pashtun,0
Saudi Arabia,0
Syria,0
Tajikistan,0
Tatar,0
Turkey,0
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",0
Bangladesh,0
Bangladesh,0
Bhutan,0
India,25
India,0
India,0
India,0
Nepal,0
Pakistan,0
India,0
Sri Lanka,0
Sri Lanka,0
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,15
China,115
Philippines,200
Hmong,0
Indonesia,0
Japan,0
Karen,0
South Korea,40
Laos,0
Malaysia,0
Mongolia,0
Singapore,0
Taiwan,0
Thailand,0
China,0
Vietnam,25
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,0
New Zealand,25
Fiji,0
United States,0
New Zealand,0
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",0

































