origin,population
Aboriginal from Central/South America (except Arawak and Maya),0
Afghanistan,0
Akan,0
Albania,25
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",10
Arawak,0
Argentina,0
Armenia,0
Ashanti,0
Assyrian,0
Australia,60
Austria,245
Azerbaijan,0
Bangladesh,40
"Bantu, n.o.c",0
Barbados,0
Belarus,0
Belgium,185
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",0
Bolivia,0
Bosnia,0
Brazil,0
"British Isles origins, n.o.c",350
Bulgaria,25
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,5670
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",10
"Central and West African origins, n.o.c",0
Chad,0
Chile,10
China,290
Colombia,105
Coptic,0
Costa Rica,10
Croatia,20
Cuba,0
Cyprus,0
Czech Republic,55
"Czechoslovakian, n.o.c",75
DR Congo,0
Denmark,205
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",10
Ecuador,0
Egypt,10
El Salvador,10
Eritrea,0
Estonia,15
Ethiopia,0
Fiji,0
Finland,50
France,2175
Gabon,0
Georgia,0
Germany,6420
Ghana,0
Greece,70
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,0
Haiti,0
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,150
Iceland,195
India,190
Indonesia,0
Iran,10
Iraq,0
Ireland,3120
Israel,40
Italy,195
Ivory Coast,0
Jamaica,10
Japan,20
Jordan,10
Karen,0
Kazakhstan,0
Kenya,15
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,15
Lebanon,120
Liberia,0
Libya,0
Lithuania,25
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,0
Martinique,0
Mauritania,0
Mauritius,10
Maya,0
Mexico,65
Moldova,0
Mongolia,10
Montenegro,10
Montserrat,0
Morocco,0
Myanmar (Burma),10
Nepal,0
Netherlands,1125
New Zealand,10
Nicaragua,0
Nigeria,15
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",80
Norway,1850
Oromo,0
"Other African origins, n.o.c",35
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",40
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",10
Pakistan,10
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,745
Poland,635
"Polynesian, n.o.c",0
Portugal,15
Puerto Rico,0
Roma,0
Romania,175
Russia,1345
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,0
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",10
Slovakia,10
Slovenia,10
Somalia,0
South Africa,25
"South Asian origins, n.o.c",0
South Korea,75
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,85
Sri Lanka,10
Sudan,0
Sweden,545
Switzerland,90
Syria,15
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,0
Tunisia,0
Turkey,10
Turkmenistan,0
Uganda,0
Ukraine,1305
United Kingdom,8320
United States,305
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,15
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",25
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",20
Zambia,0
Zimbabwe,0
Zulu,0
