origin,population
Canada,12425
Canada,100
Canada,3480
Canada,130
United States,1290
Canada,27850
Canada,0
Canada,95
Canada,0
Canada,30
Canada,40
"Other North American origins, n.o.c",0
United Kingdom,0
United Kingdom,10
United Kingdom,32825
Ireland,22115
United Kingdom,30
United Kingdom,25420
United Kingdom,2235
"British Isles origins, n.o.c",2205
France,0
France,10
France,0
France,19405
Austria,920
Germany,0
Belgium,430
Netherlands,4815
Belgium,50
Netherlands,30
Germany,13020
Luxembourg,0
Switzerland,455
Denmark,1325
Finland,13560
Iceland,760
Norway,3320
Sweden,5360
"Northern European origins, n.o.c ",315
Bulgaria,55
Belarus,30
Czech Republic,315
"Czechoslovakian, n.o.c",285
Estonia,270
Hungary,1070
Latvia,235
Lithuania,240
Moldova,0
Poland,8395
Romania,520
Russia,1390
Slovakia,2370
Ukraine,16085
"Eastern European origins, n.o.c",30
Albania,10
Bosnia,35
Spain,0
Croatia,1235
Cyprus,0
Greece,770
Italy,16610
Kosovo,0
North Macedonia,10
Malta,45
Montenegro,0
Portugal,1070
Serbia,180
Italy,25
Slovenia,330
Spain,450
"Yugoslavian, n.o.c",300
"Southern European origins, n.o.c",10
Spain,10
Israel,150
Roma,15
"Slavic, n.o.c",15
"Other European origins, n.o.c",175
Antigua and Barbuda,0
The Bahamas,20
Barbados,60
Bermuda,10
Caribbean,0
Cuba,45
Dominican Republic,0
Grenada,0
Guadeloupe,0
Haiti,20
Jamaica,175
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,30
Saint Vincent and the Grenadines,0
"West India, n.o.c",25
"Caribbean origins, n.o.c",10
Aboriginal from Central/South America (except Arawak and Maya),0
Arawak,0
Argentina,15
Belize,35
Bolivia,0
Brazil,80
Chile,60
Colombia,65
Costa Rica,20
Ecuador,0
Guatemala,20
Guyana,20
Hispanic,0
Honduras,15
Maya,10
Mexico,160
Nicaragua,0
Panama,0
Paraguay,0
Peru,20
El Salvador,50
Uruguay,10
Venezuela,15
"Central and South American origins, n.o.c",60
Akan,10
Angola,0
Ashanti,10
Benin,0
Burkina Faso,0
Cameroon,10
Chad,10
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,85
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,10
Mali,0
Malinké,0
Nigeria,80
Peulh,0
Senegal,0
Sierra Leone,45
Togo,0
Wolof,0
Nigeria,10
"Central and West African origins, n.o.c",30
Algeria,15
Berber,0
Coptic,0
Dinka,0
Egypt,20
Libya,25
Mauritania,0
Morocco,0
Sudan,45
Tunisia,0
"North African origins, n.o.c",0
South Africa,10
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,10
Harari,0
Kenya,10
Madagascar,0
Mauritius,20
Oromo,0
Rwanda,0
Seychelles,0
Somalia,10
South Africa,70
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,0
Zulu,0
"Southern and East African origins, n.o.c",10
"Black, n.o.c.",25
"Other African origins, n.o.c",265
Afghanistan,35
"Arab, n.o.c",205
Armenia,35
Assyrian,25
Azerbaijan,0
Georgia,10
Hazara,0
Iran,200
Iraq,15
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,195
Palestine,0
Pashtun,0
Saudi Arabia,80
Syria,45
Tajikistan,0
Tatar,0
Turkey,25
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,10
"West Central Asian and Middle Eastern origins, n.o.c",30
Bangladesh,105
Bangladesh,10
Bhutan,0
India,580
India,10
India,0
India,0
Nepal,35
Pakistan,80
India,15
Sri Lanka,0
Sri Lanka,30
India,10
"South Asian origins, n.o.c",60
Myanmar (Burma),50
Cambodia,20
China,925
Philippines,385
Hmong,0
Indonesia,55
Japan,380
Karen,280
South Korea,185
Laos,15
Malaysia,0
Mongolia,60
Singapore,0
Taiwan,10
Thailand,10
China,0
Vietnam,145
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",35
Australia,55
New Zealand,60
Fiji,0
United States,0
New Zealand,20
Samoa,0
"Polynesian, n.o.c",0
"Pacific Islands origins, n.o.c",10

































