origin,population
Aboriginal from Central/South America (except Arawak and Maya),10
Afghanistan,0
Akan,0
Albania,15
Algeria,0
Angola,0
Antigua and Barbuda,15
"Arab, n.o.c",15
Arawak,0
Argentina,0
Armenia,15
Ashanti,10
Assyrian,0
Australia,30
Austria,100
Azerbaijan,0
Bangladesh,25
"Bantu, n.o.c",0
Barbados,15
Belarus,20
Belgium,140
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,15
"Black, n.o.c.",125
Bolivia,0
Bosnia,0
Brazil,0
"British Isles origins, n.o.c",840
Bulgaria,0
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,0
Canada,24395
Caribbean,0
"Caribbean origins, n.o.c",30
"Central and South American origins, n.o.c",10
"Central and West African origins, n.o.c",0
Chad,0
Chile,10
China,205
Colombia,20
Coptic,0
Costa Rica,0
Croatia,35
Cuba,0
Cyprus,0
Czech Republic,40
"Czechoslovakian, n.o.c",25
DR Congo,0
Denmark,270
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",10
Ecuador,15
Egypt,25
El Salvador,0
Eritrea,0
Estonia,10
Ethiopia,0
Fiji,0
Finland,60
France,5520
Gabon,0
Georgia,0
Germany,3825
Ghana,25
Greece,50
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,15
Haiti,0
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,90
Iceland,0
India,220
Indonesia,0
Iran,35
Iraq,0
Ireland,9595
Israel,35
Italy,500
Ivory Coast,0
Jamaica,80
Japan,20
Jordan,0
Karen,0
Kazakhstan,10
Kenya,10
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,45
Lebanon,195
Liberia,0
Libya,0
Lithuania,40
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,20
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,55
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,1670
New Zealand,20
Nicaragua,0
Nigeria,15
"North African origins, n.o.c",30
North Macedonia,0
"Northern European origins, n.o.c ",110
Norway,220
Oromo,0
"Other African origins, n.o.c",400
"Other Asian origins, n.o.c",50
"Other European origins, n.o.c",75
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,20
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,115
Poland,390
"Polynesian, n.o.c",0
Portugal,105
Puerto Rico,0
Roma,0
Romania,30
Russia,155
Rwanda,0
Saint Kitts and Nevis,10
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,10
Senegal,0
Serbia,20
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",0
Slovakia,30
Slovenia,0
Somalia,15
South Africa,15
"South Asian origins, n.o.c",0
South Korea,25
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",30
Spain,155
Sri Lanka,30
Sudan,10
Sweden,225
Switzerland,195
Syria,25
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,15
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,10
Tunisia,0
Turkey,20
Turkmenistan,0
Uganda,0
Ukraine,365
United Kingdom,30225
United States,325
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,0
"West Central Asian and Middle Eastern origins, n.o.c",0
"West India, n.o.c",0
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",0
Zambia,0
Zimbabwe,0
Zulu,0
