origin,population
Canada,3135
Canada,55
Canada,1760
Canada,40
United States,1305
Canada,14430
Canada,0
Canada,30
Canada,0
Canada,0
Canada,20
"Other North American origins, n.o.c",0
United Kingdom,25
United Kingdom,0
United Kingdom,20480
Ireland,10905
United Kingdom,0
United Kingdom,13895
United Kingdom,1930
"British Isles origins, n.o.c",1660
France,15
France,10
France,0
France,7175
Austria,1135
Germany,0
Belgium,370
Netherlands,4055
Belgium,40
Netherlands,10
Germany,13410
Luxembourg,10
Switzerland,615
Denmark,975
Finland,425
Iceland,480
Norway,2785
Sweden,1870
"Northern European origins, n.o.c ",370
Bulgaria,10
Belarus,60
Czech Republic,370
"Czechoslovakian, n.o.c",165
Estonia,45
Hungary,825
Latvia,30
Lithuania,55
Moldova,50
Poland,2740
Romania,490
Russia,2755
Slovakia,150
Ukraine,5835
"Eastern European origins, n.o.c",30
Albania,20
Bosnia,20
Spain,0
Croatia,175
Cyprus,0
Greece,145
Italy,1925
Kosovo,40
North Macedonia,0
Malta,0
Montenegro,0
Portugal,190
Serbia,50
Italy,0
Slovenia,35
Spain,365
"Yugoslavian, n.o.c",90
"Southern European origins, n.o.c",10
Spain,10
Israel,125
Roma,0
"Slavic, n.o.c",10
"Other European origins, n.o.c",245
Antigua and Barbuda,0
The Bahamas,0
Barbados,0
Bermuda,0
Caribbean,0
Cuba,10
Dominican Republic,10
Grenada,0
Guadeloupe,0
Haiti,0
Jamaica,55
Saint Kitts and Nevis,0
Martinique,0
Montserrat,0
Puerto Rico,0
Saint Lucia,0
Trinidad and Tobago,10
Saint Vincent and the Grenadines,0
"West India, n.o.c",10
"Caribbean origins, n.o.c",0
Aboriginal from Central/South America (except Arawak and Maya),15
Arawak,0
Argentina,15
Belize,10
Bolivia,15
Brazil,0
Chile,40
Colombia,50
Costa Rica,0
Ecuador,0
Guatemala,0
Guyana,25
Hispanic,0
Honduras,0
Maya,10
Mexico,200
Nicaragua,10
Panama,0
Paraguay,30
Peru,0
El Salvador,25
Uruguay,10
Venezuela,0
"Central and South American origins, n.o.c",20
Akan,0
Angola,0
Ashanti,0
Benin,0
Burkina Faso,0
Cameroon,0
Chad,0
DR Congo,0
Nigeria,0
Togo,0
Gabon,0
The Gambia,0
Ghana,35
Guinea,0
Nigeria,0
Ivory Coast,0
Liberia,0
Mali,0
Malinké,0
Nigeria,15
Peulh,0
Senegal,10
Sierra Leone,0
Togo,0
Wolof,0
Nigeria,0
"Central and West African origins, n.o.c",15
Algeria,0
Berber,0
Coptic,0
Dinka,0
Egypt,25
Libya,0
Mauritania,0
Morocco,0
Sudan,0
Tunisia,0
"North African origins, n.o.c",0
South Africa,0
Ethiopia,0
"Bantu, n.o.c",0
Burundi,0
Djibouti,0
Eritrea,0
Ethiopia,10
Harari,0
Kenya,0
Madagascar,0
Mauritius,0
Oromo,0
Rwanda,0
Seychelles,0
Somalia,0
South Africa,75
Tanzania,0
Tigria,0
Uganda,0
Zambia,0
Zimbabwe,10
Zulu,0
"Southern and East African origins, n.o.c",0
"Black, n.o.c.",65
"Other African origins, n.o.c",80
Afghanistan,0
"Arab, n.o.c",0
Armenia,15
Assyrian,0
Azerbaijan,20
Georgia,15
Hazara,0
Iran,110
Iraq,25
Israel,0
Jordan,0
Kazakhstan,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Lebanon,50
Palestine,30
Pashtun,0
Saudi Arabia,0
Syria,20
Tajikistan,0
Tatar,0
Turkey,35
Turkmenistan,0
China,0
Uzbekistan,0
Yemen,0
"West Central Asian and Middle Eastern origins, n.o.c",10
Bangladesh,0
Bangladesh,0
Bhutan,0
India,700
India,0
India,0
India,0
Nepal,10
Pakistan,120
India,80
Sri Lanka,0
Sri Lanka,15
India,0
"South Asian origins, n.o.c",0
Myanmar (Burma),0
Cambodia,15
China,570
Philippines,385
Hmong,0
Indonesia,20
Japan,455
Karen,0
South Korea,125
Laos,10
Malaysia,0
Mongolia,10
Singapore,10
Taiwan,15
Thailand,50
China,0
Vietnam,155
"East and Southeast Asian origins, n.o.c",0
"Other Asian origins, n.o.c",0
Australia,275
New Zealand,100
Fiji,15
United States,35
New Zealand,15
Samoa,0
"Polynesian, n.o.c",10
"Pacific Islands origins, n.o.c",0

































