origin,population
Aboriginal from Central/South America (except Arawak and Maya),35
Afghanistan,0
Akan,0
Albania,15
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",55
Arawak,0
Argentina,0
Armenia,15
Ashanti,0
Assyrian,0
Australia,30
Austria,150
Azerbaijan,0
Bangladesh,20
"Bantu, n.o.c",0
Barbados,20
Belarus,10
Belgium,565
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",15
Bolivia,10
Bosnia,40
Brazil,0
"British Isles origins, n.o.c",1530
Bulgaria,45
Burkina Faso,0
Burundi,0
Cambodia,10
Cameroon,0
Canada,15390
Caribbean,0
"Caribbean origins, n.o.c",35
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,0
China,185
Colombia,80
Coptic,0
Costa Rica,25
Croatia,100
Cuba,25
Cyprus,55
Czech Republic,70
"Czechoslovakian, n.o.c",45
DR Congo,0
Denmark,195
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",20
Ecuador,0
Egypt,15
El Salvador,35
Eritrea,10
Estonia,35
Ethiopia,10
Fiji,0
Finland,100
France,4070
Gabon,0
Georgia,0
Germany,6705
Ghana,10
Greece,280
Grenada,15
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,75
Haiti,0
Harari,0
Hazara,0
Hispanic,0
Hmong,15
Honduras,0
Hungary,865
Iceland,20
India,290
Indonesia,30
Iran,0
Iraq,25
Ireland,7770
Israel,20
Italy,1310
Ivory Coast,0
Jamaica,325
Japan,125
Jordan,10
Karen,15
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,25
Latvia,20
Lebanon,65
Liberia,0
Libya,0
Lithuania,100
Luxembourg,0
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,70
Martinique,0
Mauritania,0
Mauritius,0
Maya,0
Mexico,50
Moldova,0
Mongolia,15
Montenegro,10
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,4155
New Zealand,10
Nicaragua,0
Nigeria,60
"North African origins, n.o.c",0
North Macedonia,20
"Northern European origins, n.o.c ",30
Norway,175
Oromo,0
"Other African origins, n.o.c",75
"Other Asian origins, n.o.c",15
"Other European origins, n.o.c",75
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,100
Palestine,25
Panama,0
Paraguay,0
Pashtun,0
Peru,30
Peulh,0
Philippines,210
Poland,1765
"Polynesian, n.o.c",0
Portugal,915
Puerto Rico,0
Roma,10
Romania,170
Russia,410
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,25
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,60
Seychelles,0
Sierra Leone,0
Singapore,10
"Slavic, n.o.c",10
Slovakia,75
Slovenia,60
Somalia,0
South Africa,55
"South Asian origins, n.o.c",20
South Korea,95
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,280
Sri Lanka,10
Sudan,0
Sweden,145
Switzerland,150
Syria,0
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,75
Tunisia,0
Turkey,40
Turkmenistan,0
Uganda,0
Ukraine,840
United Kingdom,25580
United States,425
Uruguay,0
Uzbekistan,0
Venezuela,10
Vietnam,100
"West Central Asian and Middle Eastern origins, n.o.c",15
"West India, n.o.c",50
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",105
Zambia,0
Zimbabwe,0
Zulu,0
