origin,population
Aboriginal from Central/South America (except Arawak and Maya),0
Afghanistan,0
Akan,0
Albania,30
Algeria,0
Angola,0
Antigua and Barbuda,0
"Arab, n.o.c",0
Arawak,0
Argentina,0
Armenia,0
Ashanti,0
Assyrian,10
Australia,0
Austria,370
Azerbaijan,0
Bangladesh,0
"Bantu, n.o.c",0
Barbados,0
Belarus,0
Belgium,110
Belize,0
Benin,0
Berber,0
Bermuda,0
Bhutan,0
"Black, n.o.c.",0
Bolivia,0
Bosnia,0
Brazil,0
"British Isles origins, n.o.c",185
Bulgaria,0
Burkina Faso,0
Burundi,0
Cambodia,0
Cameroon,15
Canada,5320
Caribbean,0
"Caribbean origins, n.o.c",0
"Central and South American origins, n.o.c",0
"Central and West African origins, n.o.c",0
Chad,0
Chile,0
China,85
Colombia,0
Coptic,0
Costa Rica,0
Croatia,40
Cuba,0
Cyprus,0
Czech Republic,125
"Czechoslovakian, n.o.c",65
DR Congo,20
Denmark,125
Dinka,0
Djibouti,0
Dominican Republic,0
"East and Southeast Asian origins, n.o.c",0
"Eastern European origins, n.o.c",0
Ecuador,0
Egypt,30
El Salvador,0
Eritrea,0
Estonia,0
Ethiopia,0
Fiji,20
Finland,40
France,1390
Gabon,0
Georgia,0
Germany,5190
Ghana,0
Greece,55
Grenada,0
Guadeloupe,0
Guatemala,0
Guinea,0
Guyana,0
Haiti,0
Harari,0
Hazara,0
Hispanic,0
Hmong,0
Honduras,0
Hungary,865
Iceland,250
India,265
Indonesia,0
Iran,0
Iraq,0
Ireland,1935
Israel,20
Italy,125
Ivory Coast,15
Jamaica,25
Japan,10
Jordan,0
Karen,0
Kazakhstan,0
Kenya,0
Kosovo,0
Kurdistan,0
Kuwait,0
Kyrgyzstan,0
Laos,0
Latvia,0
Lebanon,40
Liberia,0
Libya,0
Lithuania,0
Luxembourg,10
Madagascar,0
Malaysia,0
Mali,0
Malinké,0
Malta,0
Martinique,0
Mauritania,0
Mauritius,10
Maya,0
Mexico,15
Moldova,0
Mongolia,0
Montenegro,0
Montserrat,0
Morocco,0
Myanmar (Burma),0
Nepal,0
Netherlands,430
New Zealand,0
Nicaragua,0
Nigeria,100
"North African origins, n.o.c",0
North Macedonia,0
"Northern European origins, n.o.c ",60
Norway,620
Oromo,0
"Other African origins, n.o.c",50
"Other Asian origins, n.o.c",0
"Other European origins, n.o.c",25
"Other North American origins, n.o.c",0
"Pacific Islands origins, n.o.c",0
Pakistan,15
Palestine,0
Panama,0
Paraguay,0
Pashtun,0
Peru,0
Peulh,0
Philippines,615
Poland,2050
"Polynesian, n.o.c",0
Portugal,10
Puerto Rico,0
Roma,10
Romania,195
Russia,520
Rwanda,0
Saint Kitts and Nevis,0
Saint Lucia,0
Saint Vincent and the Grenadines,0
Samoa,0
Saudi Arabia,0
Senegal,0
Serbia,0
Seychelles,0
Sierra Leone,0
Singapore,0
"Slavic, n.o.c",10
Slovakia,35
Slovenia,30
Somalia,0
South Africa,30
"South Asian origins, n.o.c",0
South Korea,60
"Southern European origins, n.o.c",0
"Southern and East African origins, n.o.c",0
Spain,75
Sri Lanka,0
Sudan,25
Sweden,540
Switzerland,40
Syria,10
Taiwan,0
Tajikistan,0
Tanzania,0
Tatar,0
Thailand,0
The Bahamas,0
The Gambia,0
Tigria,0
Togo,0
Trinidad and Tobago,0
Tunisia,20
Turkey,0
Turkmenistan,0
Uganda,0
Ukraine,5960
United Kingdom,7065
United States,125
Uruguay,0
Uzbekistan,0
Venezuela,0
Vietnam,0
"West Central Asian and Middle Eastern origins, n.o.c",10
"West India, n.o.c",0
Wolof,0
Yemen,0
"Yugoslavian, n.o.c",0
Zambia,0
Zimbabwe,10
Zulu,0
