"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Brockville"
"Global non-response rate (GNR) =   4.3 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",37735,17925,19810 
"  North American Aboriginal origins",2010,180,1830 
"    First Nations (North American Indian)",1505,150,1360 
"    Inuit",35,0,40 
"    Métis",520,30,490 
"  Other North American origins",16375,8435,7940 
"    Acadian",90,0,85 
"    American",600,85,520 
"    Canadian",15955,8345,7615 
"    New Brunswicker",0,0,0 
"    Newfoundlander",15,0,15 
"    Nova Scotian",0,0,0 
"    Ontarian",0,0,0 
"    Québécois",10,0,0 
"    Other North American origins, n.i.e. [6]",10,0,0 
"  European origins",27980,8460,19525 
"    British Isles origins",22565,5610,16955 
"      Channel Islander",10,0,0 
"      Cornish",0,0,10 
"      English",12360,2705,9660 
"      Irish",10590,1315,9280 
"      Manx",0,0,0 
"      Scottish",9550,1225,8325 
"      Welsh",710,55,655 
"      British Isles origins, n.i.e. [7]",1340,320,1020 
"    French origins",5590,575,5015 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",5585,570,5010 
"    Western European origins (except French origins)",6260,1450,4810 
"      Austrian",125,10,115 
"      Bavarian",0,0,0 
"      Belgian",180,35,145 
"      Dutch",2845,995,1850 
"      Flemish",0,0,0 
"      Frisian",25,15,10 
"      German",3475,365,3110 
"      Luxembourger",10,0,0 
"      Swiss",115,25,80 
"      Western European origins, n.i.e. [8]",10,0,0 
"    Northern European origins (except British Isles origins)",655,70,585 
"      Danish",180,30,150 
"      Finnish",95,10,85 
"      Icelandic",20,0,10 
"      Norwegian",150,0,150 
"      Swedish",195,25,170 
"      Northern European origins, n.i.e. [9]",55,0,55 
"    Eastern European origins",1850,385,1460 
"      Bulgarian",15,10,10 
"      Byelorussian",0,10,0 
"      Czech",90,0,90 
"      Czechoslovakian, n.o.s. [10]",45,0,35 
"      Estonian",20,10,15 
"      Hungarian",95,25,70 
"      Latvian",50,20,35 
"      Lithuanian",30,0,20 
"      Moldovan",0,0,0 
"      Polish",840,205,640 
"      Romanian",70,0,70 
"      Russian",105,15,95 
"      Slovak",50,10,35 
"      Ukrainian",605,95,505 
"      Eastern European origins, n.i.e. [11]",0,0,0 
"    Southern European origins",1575,290,1285 
"      Albanian",10,0,10 
"      Bosnian",0,0,0 
"      Catalan",10,0,10 
"      Croatian",30,10,20 
"      Cypriot",0,0,10 
"      Greek",175,65,110 
"      Italian",980,170,810 
"      Kosovar",0,0,0 
"      Macedonian",25,10,15 
"      Maltese",25,0,20 
"      Montenegrin",0,0,0 
"      Portuguese",55,15,40 
"      Serbian",0,0,0 
"      Sicilian",10,0,10 
"      Slovenian",15,0,15 
"      Spanish",295,20,275 
"      Yugoslavian, n.o.s. [12]",0,0,0 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",215,75,140 
"      Basque",0,0,0 
"      Jewish",110,20,90 
"      Roma (Gypsy)",10,10,0 
"      Slavic, n.o.s. [14]",0,0,0 
"      Other European origins, n.i.e. [15]",100,60,50 
"  Caribbean origins",205,15,190 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",15,0,15 
"    Bermudan",15,0,15 
"    Carib",0,0,0 
"    Cuban",15,0,10 
"    Dominican",25,0,20 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",15,0,10 
"    Jamaican",60,0,55 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",10,0,10 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",35,0,35 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",0,0,0 
"    Caribbean origins, n.i.e. [17]",25,0,20 
"  Latin, Central and South American origins",85,25,60 
"    Aboriginal from Central/South America (except Arawak and Maya)",0,0,0 
"    Arawak",0,0,0 
"    Argentinian",0,0,0 
"    Belizean",0,0,0 
"    Bolivian",0,0,0 
"    Brazilian",0,0,0 
"    Chilean",0,0,0 
"    Colombian",0,0,0 
"    Costa Rican",10,10,0 
"    Ecuadorian",0,0,0 
"    Guatemalan",0,0,0 
"    Guyanese",25,0,25 
"    Hispanic",0,0,0 
"    Honduran",0,0,0 
"    Maya",0,0,0 
"    Mexican",35,10,25 
"    Nicaraguan",0,0,0 
"    Panamanian",0,0,0 
"    Paraguayan",0,0,0 
"    Peruvian",0,0,0 
"    Salvadorean",0,0,0 
"    Uruguayan",0,0,0 
"    Venezuelan",10,10,0 
"    Latin, Central and South American origins, n.i.e. [18]",10,0,10 
"  African origins",155,45,105 
"    Central and West African origins",40,20,25 
"      Akan",0,0,0 
"      Angolan",0,0,0 
"      Ashanti",0,0,0 
"      Beninese",0,0,0 
"      Burkinabe",0,0,0 
"      Cameroonian",10,10,0 
"      Chadian",0,0,0 
"      Congolese",10,0,10 
"      Edo",0,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",0,0,0 
"      Ghanaian",0,0,0 
"      Guinean",0,0,0 
"      Ibo",0,0,0 
"      Ivorian",0,0,0 
"      Liberian",0,0,0 
"      Malian",0,0,0 
"      Malinké",0,0,0 
"      Nigerian",15,0,15 
"      Peulh",0,0,0 
"      Senegalese",0,0,0 
"      Sierra Leonean",0,0,0 
"      Togolese",0,0,0 
"      Wolof",0,0,0 
"      Yoruba",0,0,0 
"      Central and West African origins, n.i.e. [19]",0,0,10 
"    North African origins",45,15,35 
"      Algerian",0,0,0 
"      Berber",0,0,0 
"      Coptic",15,10,0 
"      Dinka",0,0,0 
"      Egyptian",30,0,25 
"      Libyan",0,0,0 
"      Maure",0,0,0 
"      Moroccan",10,0,0 
"      Sudanese",0,0,0 
"      Tunisian",0,0,0 
"      North African origins, n.i.e. [20]",0,0,0 
"    Southern and East African origins",65,15,50 
"      Afrikaner",0,0,0 
"      Amhara",0,0,0 
"      Bantu, n.o.s. [21]",0,0,0 
"      Burundian",0,0,0 
"      Djiboutian",0,0,0 
"      Eritrean",10,15,0 
"      Ethiopian",0,0,0 
"      Harari",0,0,0 
"      Kenyan",0,0,0 
"      Malagasy",0,0,0 
"      Mauritian",20,0,20 
"      Oromo",0,0,0 
"      Rwandan",0,0,0 
"      Seychellois",0,0,0 
"      Somali",0,0,0 
"      South African",35,0,30 
"      Tanzanian",0,0,0 
"      Tigrian",0,0,0 
"      Ugandan",0,0,0 
"      Zambian",0,0,0 
"      Zimbabwean",0,0,0 
"      Zulu",0,0,0 
"      Southern and East African origins, n.i.e. [22]",0,0,0 
"    Other African origins",0,0,10 
"      Black, n.o.s. [23]",0,0,0 
"      Other African origins, n.i.e. [24]",0,0,0 
"  Asian origins",1120,755,365 
"    West Central Asian and Middle Eastern origins",180,110,70 
"      Afghan",0,0,0 
"      Arab, n.o.s. [25]",0,0,0 
"      Armenian",0,0,0 
"      Assyrian",0,0,0 
"      Azerbaijani",0,0,0 
"      Georgian",0,0,0 
"      Hazara",0,0,0 
"      Iranian",45,45,0 
"      Iraqi",0,0,0 
"      Israeli",0,0,0 
"      Jordanian",0,0,0 
"      Kazakh",0,0,0 
"      Kurd",0,0,0 
"      Kuwaiti",0,0,0 
"      Kyrgyz",0,0,0 
"      Lebanese",55,0,60 
"      Palestinian",0,0,0 
"      Pashtun",0,0,0 
"      Saudi Arabian",0,0,0 
"      Syrian",40,30,10 
"      Tajik",0,0,0 
"      Tatar",0,0,0 
"      Turk",40,30,10 
"      Turkmen",0,0,0 
"      Uighur",0,0,0 
"      Uzbek",0,0,0 
"      Yemeni",0,0,0 
"      West Central Asian and Middle Eastern origins, n.i.e. [26]",0,0,0 
"    South Asian origins",355,240,115 
"      Bangladeshi",0,0,0 
"      Bengali",0,0,0 
"      Bhutanese",0,0,0 
"      East Indian",280,195,80 
"      Goan",0,0,0 
"      Gujarati",0,0,0 
"      Kashmiri",0,0,0 
"      Nepali",0,0,0 
"      Pakistani",60,0,60 
"      Punjabi",0,0,0 
"      Sinhalese",0,0,0 
"      Sri Lankan",45,35,10 
"      Tamil",0,0,0 
"      South Asian origins, n.i.e. [27]",0,0,0 
"    East and Southeast Asian origins",585,400,185 
"      Burmese",0,0,0 
"      Cambodian (Khmer)",0,0,0 
"      Chinese",340,205,135 
"      Filipino",170,120,50 
"      Hmong",0,0,0 
"      Indonesian",10,0,10 
"      Japanese",10,10,10 
"      Karen",0,0,0 
"      Korean",15,10,0 
"      Laotian",0,0,0 
"      Malaysian",0,0,0 
"      Mongolian",0,0,0 
"      Singaporean",0,0,0 
"      Taiwanese",10,10,0 
"      Thai",10,10,0 
"      Tibetan",0,0,0 
"      Vietnamese",60,35,20 
"      East and Southeast Asian origins, n.i.e. [28]",0,0,0 
"    Other Asian origins",0,0,0 
"      Other Asian origins, n.i.e. [29]",0,0,0 
"  Oceania origins",80,10,70 
"    Australian",70,10,65 
"    New Zealander",0,0,10 
"    Pacific Islands origins",0,0,0 
"      Fijian",0,0,0 
"      Hawaiian",0,0,0 
"      Maori",0,0,0 
"      Samoan",0,0,0 
"      Polynesian, n.o.s. [30]",0,0,0 
"      Pacific Islands origins, n.i.e. [31]",0,0,0 
"Note"
"[1] For more information on generation status variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Place of Birth, Generation Status, Citizenship and Immigration Reference Guide, Census of Population, 2016."
"[2] Total ethnic origin responses are the sum of single and multiple responses for each ethnic origin. Total response counts indicate the number of persons who reported a specified ethnic origin, either as their only origin or in addition to one or more other ethnic origins. The sum of all ethnic origin responses is greater than the total population estimate due to the reporting of multiple origins."
"[3] A single ethnic origin response occurs when a person provides one ethnic origin only."
"[4] A multiple ethnic origin response occurs when a person provides two or more ethnic origins."
"[5] This is a total population estimate. The sum of the ethnic groups in this table is greater than the total population estimate because a person may report more than one ethnic origin in the census."
"[6] Includes general responses indicating North American origins (e.g., 'North American') as well as more specific responses indicating North American origins that have not been included elsewhere (e.g., 'Maritimer')."
"[7] Includes general responses indicating British Isles origins (e.g., 'British,' 'United Kingdom') as well as more specific responses indicating British Isles origins that have not been included elsewhere (e.g., 'Celtic')."
"[8] Includes general responses indicating Western European origins (e.g., 'Western European') as well as more specific responses indicating Western European origins that have not been included elsewhere (e.g., 'Liechtensteiner')."
"[9] Includes general responses indicating Northern European origins (e.g., 'Northern European') as well as more specific responses indicating Northern European origins that have not been included elsewhere (e.g., 'Faroese,' 'Scandinavian')."
"[10] Includes responses of 'Czechoslovakian,' not otherwise specified."
"[11] Includes general responses indicating Eastern European origins (e.g., 'Eastern European') as well as more specific responses indicating Eastern European origins that have not been included elsewhere (e.g., 'Baltic')."
"[12] Includes responses of 'Yugoslavian,' not otherwise specified."
"[13] Includes general responses indicating Southern European origins (e.g., 'Southern European') as well as more specific responses indicating Southern European origins that have not been included elsewhere (e.g., 'Gibraltarian')."
"[14] Includes responses of 'Slavic,' not otherwise specified."
"[15] Includes general responses indicating Other European origins (e.g., 'European') as well as more specific responses indicating European origins that have not been included elsewhere (e.g., 'Central European')."
"[16] Includes responses of 'West Indian,' not otherwise specified."
"[17] Includes general responses indicating Caribbean origins (e.g., 'Antilles,' 'Caribbean') as well as more specific responses indicating Caribbean origins that have not been included elsewhere (e.g., 'Aruban')."
"[18] Includes general responses indicating Latin, Central or South American origins (e.g., 'South American') as well as more specific responses indicating Latin, Central or South American origins that have not been included elsewhere (e.g., 'Surinamese')."
"[19] Includes general responses indicating Central or West African origins (e.g., 'West African') as well as more specific responses indicating Central or West African origins that have not been included elsewhere (e.g., 'Luba,' 'Mossi')."
"[20] Includes general responses indicating North African origins (e.g., 'North African') as well as more specific responses indicating North African origins that have not been included elsewhere (e.g., 'Maghreb')."
"[21] Includes responses of 'Bantu,' not otherwise specified."
"[22] Includes general responses indicating Southern or East African origins (e.g., 'East African') as well as more specific responses indicating Southern or East African origins that have not been included elsewhere (e.g., 'Hutu,' 'Shona')."
"[23] Includes responses of 'Black,' not otherwise specified."
"[24] Includes general responses indicating Other African origins (e.g., 'African') as well as more specific responses indicating Other African origins that have not been included elsewhere (e.g., 'Saharan')."
"[25] Includes responses of 'Arab,' not otherwise specified."
"[26] Includes general responses indicating West Asian, Central Asian and Middle Eastern origins (e.g., 'West Asian,' 'Middle Eastern') as well as more specific responses indicating West Asian, Central Asian and Middle Eastern origins that have not been included elsewhere (e.g., 'Baloch,' 'Circassian')."
"[27] Includes general responses indicating South Asian origins (e.g., 'South Asian') as well as more specific responses indicating South Asian origins that have not been included elsewhere (e.g., 'Telugu')."
"[28] Includes general responses indicating East and Southeast Asian origins (e.g., 'Southeast Asian') as well as more specific responses indicating East and Southeast Asian origins that have not been included elsewhere (e.g., 'Bruneian')."
"[29] Includes general responses indicating Other Asian origins (e.g., 'Asian') as well as more specific responses indicating Other Asian origins that have not been included elsewhere (e.g., 'Eurasian')."
"[30] Includes responses of 'Polynesian,' not otherwise specified."
"[31] Includes general responses indicating Pacific Islands origins (e.g., 'Pacific Islander') as well as more specific responses indicating Pacific Islands origins that have not been included elsewhere (e.g., 'Tahitian')."
"Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016187."
