"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Charlottetown"
"Global non-response rate (GNR) =   4.9 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",67820,31005,36815 
"  North American Aboriginal origins",2520,380,2135 
"    First Nations (North American Indian)",2055,335,1720 
"    Inuit",85,20,65 
"    Métis",430,25,405 
"  Other North American origins",26330,12435,13895 
"    Acadian",1585,155,1430 
"    American",635,65,565 
"    Canadian",24860,12205,12655 
"    New Brunswicker",0,0,0 
"    Newfoundlander",20,0,25 
"    Nova Scotian",0,0,0 
"    Ontarian",10,0,10 
"    Québécois",0,0,0 
"    Other North American origins, n.i.e. [6]",10,0,0 
"  European origins",49285,13390,35895 
"    British Isles origins",43325,10330,32990 
"      Channel Islander",0,0,0 
"      Cornish",0,0,10 
"      English",20195,3015,17180 
"      Irish",20200,2895,17310 
"      Manx",10,0,10 
"      Scottish",26500,4055,22450 
"      Welsh",1455,85,1370 
"      British Isles origins, n.i.e. [7]",990,285,710 
"    French origins",11590,1220,10375 
"      Alsatian",0,0,0 
"      Breton",10,0,10 
"      Corsican",0,0,0 
"      French",11585,1215,10365 
"    Western European origins (except French origins)",6315,975,5335 
"      Austrian",130,20,115 
"      Bavarian",0,0,0 
"      Belgian",205,50,155 
"      Dutch",2290,605,1685 
"      Flemish",10,0,10 
"      Frisian",0,0,10 
"      German",3895,305,3595 
"      Luxembourger",0,0,0 
"      Swiss",95,0,90 
"      Western European origins, n.i.e. [8]",10,0,0 
"    Northern European origins (except British Isles origins)",1025,110,910 
"      Danish",355,70,285 
"      Finnish",105,10,100 
"      Icelandic",65,0,55 
"      Norwegian",195,15,175 
"      Swedish",300,10,285 
"      Northern European origins, n.i.e. [9]",65,0,65 
"    Eastern European origins",1785,360,1425 
"      Bulgarian",30,10,25 
"      Byelorussian",15,0,15 
"      Czech",60,10,50 
"      Czechoslovakian, n.o.s. [10]",40,10,30 
"      Estonian",45,0,45 
"      Hungarian",195,65,125 
"      Latvian",30,0,30 
"      Lithuanian",80,0,75 
"      Moldovan",10,10,0 
"      Polish",595,80,515 
"      Romanian",85,10,80 
"      Russian",325,45,280 
"      Slovak",40,15,25 
"      Ukrainian",530,125,410 
"      Eastern European origins, n.i.e. [11]",10,0,15 
"    Southern European origins",1560,330,1230 
"      Albanian",75,75,0 
"      Bosnian",20,10,15 
"      Catalan",10,0,0 
"      Croatian",125,0,115 
"      Cypriot",0,0,0 
"      Greek",120,25,95 
"      Italian",665,85,580 
"      Kosovar",10,10,0 
"      Macedonian",10,0,0 
"      Maltese",20,0,20 
"      Montenegrin",0,0,0 
"      Portuguese",190,60,125 
"      Serbian",70,30,45 
"      Sicilian",10,0,10 
"      Slovenian",15,10,10 
"      Spanish",320,15,310 
"      Yugoslavian, n.o.s. [12]",10,10,10 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",265,70,200 
"      Basque",10,0,10 
"      Jewish",155,20,135 
"      Roma (Gypsy)",0,0,10 
"      Slavic, n.o.s. [14]",0,0,0 
"      Other European origins, n.i.e. [15]",95,50,50 
"  Caribbean origins",225,115,110 
"    Antiguan",0,0,0 
"    Bahamian",25,20,0 
"    Barbadian",10,0,10 
"    Bermudan",15,10,0 
"    Carib",0,0,0 
"    Cuban",0,0,0 
"    Dominican",10,0,10 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",25,20,10 
"    Jamaican",105,55,55 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,10 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",0,0,0 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",25,0,15 
"    Caribbean origins, n.i.e. [17]",10,0,10 
"  Latin, Central and South American origins",315,145,175 
"    Aboriginal from Central/South America (except Arawak and Maya)",0,0,0 
"    Arawak",0,0,0 
"    Argentinian",15,0,20 
"    Belizean",15,0,15 
"    Bolivian",0,0,10 
"    Brazilian",50,40,10 
"    Chilean",20,0,20 
"    Colombian",50,35,15 
"    Costa Rican",0,0,0 
"    Ecuadorian",0,0,0 
"    Guatemalan",30,15,10 
