"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Hamilton"
"Global non-response rate (GNR) =   4.5 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",734880,383905,350980 
"  North American Aboriginal origins",21940,2545,19400 
"    First Nations (North American Indian)",17410,2145,15265 
"    Inuit",310,30,285 
"    Métis",4630,365,4265 
"  Other North American origins",182010,69420,112590 
"    Acadian",1105,80,1020 
"    American",8975,580,8395 
"    Canadian",175140,68585,106555 
"    New Brunswicker",35,0,30 
"    Newfoundlander",480,105,375 
"    Nova Scotian",100,0,95 
"    Ontarian",85,35,50 
"    Québécois",155,30,130 
"    Other North American origins, n.i.e. [6]",60,10,50 
"  European origins",544645,212150,332495 
"    British Isles origins",332650,75285,257365 
"      Channel Islander",110,20,90 
"      Cornish",50,0,55 
"      English",195000,39140,155855 
"      Irish",130185,11900,118285 
"      Manx",180,10,165 
"      Scottish",144840,17930,126915 
"      Welsh",15060,1010,14050 
"      British Isles origins, n.i.e. [7]",22780,5265,17515 
"    French origins",62625,4795,57835 
"      Alsatian",65,0,70 
"      Breton",10,0,10 
"      Corsican",10,0,0 
"      French",62560,4795,57765 
"    Western European origins (except French origins)",113730,24940,88785 
"      Austrian",5160,580,4575 
"      Bavarian",60,0,50 
"      Belgian",2525,375,2150 
"      Dutch",40490,14485,26010 
"      Flemish",210,30,185 
"      Frisian",190,10,175 
"      German",72045,9220,62830 
"      Luxembourger",30,0,30 
"      Swiss",2405,205,2195 
"      Western European origins, n.i.e. [8]",70,20,45 
"    Northern European origins (except British Isles origins)",13775,1425,12350 
"      Danish",3630,605,3025 
"      Finnish",2720,325,2390 
"      Icelandic",625,30,595 
"      Norwegian",2885,170,2720 
"      Swedish",4015,235,3780 
"      Northern European origins, n.i.e. [9]",750,60,695 
"    Eastern European origins",98040,31965,66070 
"      Bulgarian",715,185,535 
"      Byelorussian",355,50,305 
"      Czech",3555,1130,2430 
"      Czechoslovakian, n.o.s. [10]",1360,335,1025 
"      Estonian",990,275,720 
"      Hungarian",15370,4185,11180 
"      Latvian",1350,480,875 
"      Lithuanian",2810,870,1930 
"      Moldovan",65,10,55 
"      Polish",40735,13765,26970 
"      Romanian",6095,2525,3570 
"      Russian",8705,1505,7200 
"      Slovak",3055,900,2160 
"      Ukrainian",28640,5685,22960 
"      Eastern European origins, n.i.e. [11]",410,80,330 
"    Southern European origins",143595,72690,70905 
"      Albanian",1905,1490,410 
"      Bosnian",2380,1510,870 
"      Catalan",25,0,20 
"      Croatian",13655,7135,6515 
"      Cypriot",175,50,125 
"      Greek",6940,3045,3895 
"      Italian",79725,36215,43505 
"      Kosovar",305,260,45 
"      Macedonian",1810,685,1130 
"      Maltese",1820,460,1360 
"      Montenegrin",240,20,220 
"      Portuguese",21275,12750,8520 
"      Serbian",9530,5760,3770 
"      Sicilian",680,210,470 
"      Slovenian",2810,990,1820 
"      Spanish",9390,1605,7780 
"      Yugoslavian, n.o.s. [12]",1740,450,1285 
"      Southern European origins, n.i.e. [13]",85,35,55 
"    Other European origins",3665,1045,2615 
"      Basque",65,10,60 
"      Jewish",2000,370,1635 
"      Roma (Gypsy)",315,90,230 
"      Slavic, n.o.s. [14]",195,55,135 
"      Other European origins, n.i.e. [15]",1140,530,610 
"  Caribbean origins",16770,6535,10235 
"    Antiguan",70,10,65 
"    Bahamian",135,20,120 
"    Barbadian",935,245,695 
"    Bermudan",140,20,120 
"    Carib",35,10,30 
"    Cuban",1065,315,750 
"    Dominican",490,140,345 
"    Grenadian",500,170,325 
"    Guadeloupean",0,0,0 
"    Haitian",400,220,180 
"    Jamaican",9670,3955,5715 
"    Kittitian/Nevisian",60,15,45 
"    Martinican",0,0,0 
"    Montserratan",10,0,10 
"    Puerto Rican",55,0,50 
"    St. Lucian",140,40,110 
"    Trinidadian/Tobagonian",2435,580,1855 
"    Vincentian/Grenadinian",270,125,145 
"    West Indian, n.o.s. [16]",1435,490,940 
"    Caribbean origins, n.i.e. [17]",520,185,330 
"  Latin, Central and South American origins",15630,7730,7905 
"    Aboriginal from Central/South America (except Arawak and Maya)",535,55,485 
"    Arawak",80,10,75 
"    Argentinian",505,100,405 
"    Belizean",40,0,35 
"    Bolivian",75,30,40 
"    Brazilian",745,140,600 
"    Chilean",685,240,445 
"    Colombian",2975,2295,680 
"    Costa Rican",120,60,60 
"    Ecuadorian",390,165,225 
"    Guatemalan",895,455,435 
"    Guyanese",2385,685,1695 
"    Hispanic",270,195,70 
"    Honduran",280,130,150 
"    Maya",160,0,155 
"    Mexican",1905,655,1245 
"    Nicaraguan",350,145,205 
"    Panamanian",90,15,75 
"    Paraguayan",25,0,25 
"    Peruvian",565,240,320 
"    Salvadorean",2345,1510,830 
"    Uruguayan",120,45,80 
"    Venezuelan",445,130,315 
"    Latin, Central and South American origins, n.i.e. [18]",790,420,370 
"  African origins",18590,10475,8115 
"    Central and West African origins",3755,2755,995 
"      Akan",35,15,25 
"      Angolan",150,65,85 
"      Ashanti",40,25,15 
"      Beninese",20,20,0 
"      Burkinabe",25,20,0 
"      Cameroonian",185,145,40 
"      Chadian",275,240,35 
"      Congolese",755,615,140 
"      Edo",0,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",10,10,10 
"      Ghanaian",1025,695,330 
"      Guinean",65,30,35 
"      Ibo",75,30,40 
"      Ivorian",45,10,30 
"      Liberian",55,20,35 
"      Malian",0,0,0 
"      Malinké",0,0,0 
"      Nigerian",980,695,280 
"      Peulh",0,0,0 
"      Senegalese",35,10,25 
"      Sierra Leonean",65,15,50 
"      Togolese",25,10,10 
"      Wolof",0,0,0 
"      Yoruba",35,30,0 
"      Central and West African origins, n.i.e. [19]",165,55,110 
"    North African origins",4125,2825,1305 
"      Algerian",210,100,110 
"      Berber",80,45,30 
"      Coptic",60,25,40 
"      Dinka",35,20,15 
"      Egyptian",2495,1720,775 
"      Libyan",140,115,25 
"      Maure",0,0,0 
"      Moroccan",375,185,195 
"      Sudanese",705,555,150 
"      Tunisian",135,45,90 
"      North African origins, n.i.e. [20]",100,20,85 
"    Southern and East African origins",5400,3300,2100 
"      Afrikaner",25,0,25 
"      Amhara",40,10,35 
"      Bantu, n.o.s. [21]",85,70,15 
"      Burundian",85,55,35 
"      Djiboutian",0,0,0 
"      Eritrean",190,140,55 
"      Ethiopian",495,405,90 
"      Harari",0,0,0 
"      Kenyan",350,210,135 
"      Malagasy",0,0,0 
"      Mauritian",90,20,65 
"      Oromo",60,35,25 
"      Rwandan",295,255,40 
"      Seychellois",10,0,10 
"      Somali",1270,1220,55 
"      South African",1380,240,1145 
"      Tanzanian",135,20,115 
"      Tigrian",0,0,0 
"      Ugandan",140,95,45 
"      Zambian",110,75,35 
"      Zimbabwean",455,315,140 
