"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Kingston"
"Global non-response rate (GNR) =   4.4 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",156470,68920,87545 
"  North American Aboriginal origins",8750,1010,7740 
"    First Nations (North American Indian)",6600,770,5825 
"    Inuit",95,15,80 
"    Métis",2255,225,2030 
"  Other North American origins",60110,26150,33955 
"    Acadian",415,30,385 
"    American",2265,150,2115 
"    Canadian",58435,25895,32535 
"    New Brunswicker",0,0,0 
"    Newfoundlander",155,35,120 
"    Nova Scotian",0,0,10 
"    Ontarian",15,10,10 
"    Québécois",80,35,45 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",117800,32695,85100 
"    British Isles origins",91960,19510,72445 
"      Channel Islander",30,0,30 
"      Cornish",20,10,15 
"      English",51555,9370,42185 
"      Irish",44405,4970,39440 
"      Manx",50,10,50 
"      Scottish",39150,3725,35425 
"      Welsh",3725,185,3540 
"      British Isles origins, n.i.e. [7]",5690,1240,4450 
"    French origins",22655,1765,20895 
"      Alsatian",10,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,10 
"      French",22645,1765,20880 
"    Western European origins (except French origins)",26255,4115,22135 
"      Austrian",895,65,835 
"      Bavarian",10,0,10 
"      Belgian",565,60,505 
"      Dutch",9745,2050,7695 
"      Flemish",50,10,45 
"      Frisian",45,10,25 
"      German",16560,1855,14700 
"      Luxembourger",0,0,0 
"      Swiss",590,70,525 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",4725,560,4160 
"      Danish",1285,230,1055 
"      Finnish",860,145,715 
"      Icelandic",305,25,275 
"      Norwegian",1205,70,1140 
"      Swedish",1205,75,1130 
"      Northern European origins, n.i.e. [9]",210,15,190 
"    Eastern European origins",11565,2145,9420 
"      Bulgarian",45,15,30 
"      Byelorussian",30,10,20 
"      Czech",660,170,490 
"      Czechoslovakian, n.o.s. [10]",175,10,165 
"      Estonian",150,35,115 
"      Hungarian",1205,215,995 
"      Latvian",200,25,175 
