"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Montréal [1]"
"Global non-response rate (GNR) =   3.7 %"
"Generation status (4) = Total - Generation status [2]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [3]","  Single ethnic origin responses [4]","  Multiple ethnic origin responses [5]", 
"Total - Ethnic origin [6]",4009790,2900550,1109250 
"  North American Aboriginal origins",117850,19475,98380 
"    First Nations (North American Indian)",101915,15690,86225 
"    Inuit",2155,585,1570 
"    Métis",15920,3200,12725 
"  Other North American origins",1861935,1282900,579030 
"    Acadian",15285,3460,11825 
"    American",27335,3155,24185 
"    Canadian",1755640,1218760,536880 
"    New Brunswicker",425,140,290 
"    Newfoundlander",350,15,335 
"    Nova Scotian",285,35,250 
"    Ontarian",670,120,550 
"    Québécois",92110,57185,34930 
"    Other North American origins, n.i.e. [7]",135,45,95 
"  European origins",1721335,775535,945805 
"    British Isles origins",413005,71060,341945 
"      Channel Islander",445,60,385 
"      Cornish",45,0,50 
"      English",138315,18095,120225 
"      Irish",239460,36235,203225 
"      Manx",130,0,125 
"      Scottish",124135,12725,111405 
"      Welsh",7685,430,7250 
"      British Isles origins, n.i.e. [8]",24500,3505,20990 
"    French origins",874295,314825,559470 
"      Alsatian",570,145,430 
"      Breton",5110,1475,3630 
"      Corsican",915,110,800 
"      French",870245,313090,557155 
"    Western European origins (except French origins)",149330,27145,122185 
"      Austrian",10015,1080,8935 
"      Bavarian",35,0,35 
"      Belgian",31840,8085,23750 
"      Dutch",15975,2680,13295 
"      Flemish",790,115,675 
"      Frisian",10,10,10 
"      German",86025,12665,73360 
"      Luxembourger",570,65,505 
"      Swiss",13550,2410,11145 
"      Western European origins, n.i.e. [9]",105,35,65 
"    Northern European origins (except British Isles origins)",16100,1900,14195 
"      Danish",3805,540,3265 
"      Finnish",2105,305,1800 
"      Icelandic",670,65,605 
"      Norwegian",4415,355,4065 
"      Swedish",4775,455,4325 
"      Northern European origins, n.i.e. [10]",1390,180,1210 
"    Eastern European origins",212570,96375,116195 
"      Bulgarian",8355,6005,2350 
"      Byelorussian",2180,650,1525 
"      Czech",5035,1190,3850 
"      Czechoslovakian, n.o.s. [11]",1745,265,1480 
"      Estonian",790,160,625 
"      Hungarian",24505,7495,17010 
"      Latvian",1510,300,1210 
"      Lithuanian",5710,1175,4535 
"      Moldovan",7220,4650,2570 
"      Polish",64895,18855,46040 
"      Romanian",47985,30125,17855 
"      Russian",49275,14315,34960 
"      Slovak",3870,1110,2760 
"      Ukrainian",35055,9120,25935 
"      Eastern European origins, n.i.e. [12]",2695,945,1745 
"    Southern European origins",464080,252525,211550 
"      Albanian",3265,2290,975 
"      Bosnian",940,505,435 
"      Catalan",575,75,500 
"      Croatian",5230,2025,3210 
"      Cypriot",455,75,375 
"      Greek",66395,43830,22560 
"      Italian",279800,151540,128260 
"      Kosovar",380,250,125 
"      Macedonian",610,205,405 
"      Maltese",920,90,830 
"      Montenegrin",365,135,230 
"      Portuguese",56405,32480,23930 
"      Serbian",3625,1655,1975 
"      Sicilian",1070,230,840 
"      Slovenian",2155,865,1285 
"      Spanish",68600,15635,52970 
"      Yugoslavian, n.o.s. [13]",2140,575,1565 
"      Southern European origins, n.i.e. [14]",225,55,175 
"    Other European origins",31690,11710,19985 
"      Basque",2245,225,2020 
"      Jewish",23675,8380,15295 
"      Roma (Gypsy)",340,55,290 
"      Slavic, n.o.s. [15]",265,85,175 
"      Other European origins, n.i.e. [16]",5390,2960,2430 
"  Caribbean origins",184035,129195,54840 
"    Antiguan",360,105,255 
"    Bahamian",370,60,305 
"    Barbadian",5220,1935,3285 
"    Bermudan",90,0,85 
"    Carib",370,25,350 
"    Cuban",7840,3055,4790 
"    Dominican",10035,4500,5540 
