"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Moose Jaw"
"Global non-response rate (GNR) =   5.4 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",34020,13885,20130 
"  North American Aboriginal origins",2560,525,2035 
"    First Nations (North American Indian)",1175,265,915 
"    Inuit",35,0,40 
"    Métis",1435,260,1175 
"  Other North American origins",10085,4785,5305 
"    Acadian",10,0,15 
"    American",505,50,460 
"    Canadian",9730,4730,5000 
"    New Brunswicker",0,0,0 
"    Newfoundlander",20,0,20 
"    Nova Scotian",0,0,0 
"    Ontarian",0,0,0 
"    Québécois",0,0,0 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",26320,6665,19655 
"    British Isles origins",17715,2810,14910 
"      Channel Islander",10,0,0 
"      Cornish",0,0,0 
"      English",11000,1660,9335 
"      Irish",5980,395,5580 
"      Manx",10,0,0 
"      Scottish",7885,575,7305 
"      Welsh",720,35,690 
"      British Isles origins, n.i.e. [7]",800,145,655 
"    French origins",4360,485,3875 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",4355,485,3870 
"    Western European origins (except French origins)",10385,1620,8760 
"      Austrian",495,45,455 
"      Bavarian",10,0,10 
"      Belgian",285,20,265 
"      Dutch",1200,140,1060 
"      Flemish",15,10,10 
"      Frisian",0,0,0 
"      German",9035,1400,7630 
"      Luxembourger",15,10,10 
"      Swiss",205,0,200 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",4320,440,3875 
"      Danish",340,65,275 
"      Finnish",145,15,130 
"      Icelandic",155,0,155 
"      Norwegian",2680,260,2415 
"      Swedish",1165,80,1085 
"      Northern European origins, n.i.e. [9]",155,20,130 
"    Eastern European origins",6230,1085,5150 
"      Bulgarian",0,0,0 
"      Byelorussian",0,0,0 
"      Czech",70,10,60 
"      Czechoslovakian, n.o.s. [10]",95,0,95 
"      Estonian",30,10,30 
"      Hungarian",535,110,430 
"      Latvian",10,0,10 
"      Lithuanian",35,25,10 
"      Moldovan",0,0,0 
"      Polish",1450,140,1310 
"      Romanian",665,115,545 
"      Russian",910,55,855 
"      Slovak",40,10,30 
"      Ukrainian",3515,610,2905 
"      Eastern European origins, n.i.e. [11]",0,0,0 
"    Southern European origins",705,170,540 
"      Albanian",15,20,0 
"      Bosnian",25,0,25 
"      Catalan",0,0,0 
"      Croatian",45,30,15 
"      Cypriot",0,0,0 
"      Greek",25,10,20 
"      Italian",360,65,290 
"      Kosovar",0,0,0 
"      Macedonian",0,0,0 
"      Maltese",10,0,0 
"      Montenegrin",0,0,0 
"      Portuguese",40,10,25 
"      Serbian",20,0,15 
"      Sicilian",10,0,0 
"      Slovenian",0,0,0 
"      Spanish",150,10,140 
"      Yugoslavian, n.o.s. [12]",50,15,30 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",130,60,75 
"      Basque",0,0,0 
"      Jewish",35,0,35 
"      Roma (Gypsy)",10,0,10 
"      Slavic, n.o.s. [14]",10,10,0 
"      Other European origins, n.i.e. [15]",85,55,30 
"  Caribbean origins",110,35,75 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",0,0,0 
"    Bermudan",0,0,0 
"    Carib",0,0,0 
"    Cuban",0,0,0 
"    Dominican",0,10,0 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",0,0,0 
"    Jamaican",75,15,55 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,0 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",25,10,15 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",0,0,0 
"    Caribbean origins, n.i.e. [17]",0,0,0 
"  Latin, Central and South American origins",140,55,90 
"    Aboriginal from Central/South America (except Arawak and Maya)",10,10,0 
"    Arawak",0,0,0 
"    Argentinian",15,0,10 
"    Belizean",0,0,0 
"    Bolivian",0,0,0 
"    Brazilian",0,0,0 
"    Chilean",15,15,10 
"    Colombian",35,20,15 
"    Costa Rican",0,0,0 
"    Ecuadorian",0,0,0 
"    Guatemalan",0,0,0 
"    Guyanese",0,0,0 
"    Hispanic",0,10,0 
"    Honduran",0,0,0 
"    Maya",0,0,0 
"    Mexican",55,10,50 
"    Nicaraguan",20,0,20 
"    Panamanian",0,0,0 
"    Paraguayan",0,0,0 
"    Peruvian",0,0,0 
"    Salvadorean",10,0,10 
"    Uruguayan",0,0,0 
"    Venezuelan",0,0,0 
"    Latin, Central and South American origins, n.i.e. [18]",0,0,0 
"  African origins",475,325,150 
"    Central and West African origins",175,150,20 
"      Akan",0,0,0 
"      Angolan",0,0,0 
"      Ashanti",0,0,0 
"      Beninese",0,0,0 
"      Burkinabe",0,0,0 
"      Cameroonian",0,0,0 
"      Chadian",0,0,0 
"      Congolese",15,15,0 
"      Edo",0,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",35,25,15 
"      Ghanaian",35,35,0 
"      Guinean",0,0,0 
"      Ibo",10,0,0 
"      Ivorian",0,0,0 
"      Liberian",10,0,10 
"      Malian",0,0,0 
"      Malinké",0,0,0 
"      Nigerian",75,70,0 
"      Peulh",0,0,0 
"      Senegalese",0,0,0 
"      Sierra Leonean",0,0,0 
"      Togolese",0,0,0 
"      Wolof",0,0,0 
"      Yoruba",0,0,0 
"      Central and West African origins, n.i.e. [19]",10,0,10 
"    North African origins",90,80,0 
"      Algerian",0,0,0 
"      Berber",10,0,10 
"      Coptic",0,0,0 
"      Dinka",0,0,0 
"      Egyptian",0,0,0 
"      Libyan",10,10,0 
"      Maure",0,0,0 
"      Moroccan",0,0,0 
"      Sudanese",75,70,0 
"      Tunisian",0,10,0 
"      North African origins, n.i.e. [20]",0,0,0 
"    Southern and East African origins",160,80,80 
"      Afrikaner",0,0,0 
"      Amhara",0,0,0 
"      Bantu, n.o.s. [21]",0,0,0 
"      Burundian",0,0,0 
"      Djiboutian",0,0,0 
"      Eritrean",0,0,0 
"      Ethiopian",0,0,0 
"      Harari",0,0,0 
"      Kenyan",0,0,0 
"      Malagasy",0,0,0 
"      Mauritian",25,20,10 
"      Oromo",0,0,0 
"      Rwandan",0,0,0 
"      Seychellois",0,0,0 
"      Somali",45,35,10 
"      South African",70,20,50 
"      Tanzanian",0,0,0 
"      Tigrian",0,0,0 
"      Ugandan",10,0,10 
"      Zambian",0,0,0 
"      Zimbabwean",10,0,10 
"      Zulu",0,0,0 
"      Southern and East African origins, n.i.e. [22]",0,0,0 
"    Other African origins",55,10,45 
