"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Orillia"
"Global non-response rate (GNR) =   3.9 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",29955,13375,16580 
"  North American Aboriginal origins",2250,420,1830 
"    First Nations (North American Indian)",1710,325,1385 
"    Inuit",15,0,15 
"    Métis",560,90,470 
"  Other North American origins",11850,5685,6165 
"    Acadian",25,0,30 
"    American",245,30,220 
"    Canadian",11615,5645,5970 
"    New Brunswicker",0,0,0 
"    Newfoundlander",55,10,45 
"    Nova Scotian",0,0,0 
"    Ontarian",10,0,0 
"    Québécois",10,0,0 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",22390,6240,16155 
"    British Isles origins",18095,4095,13995 
"      Channel Islander",0,0,0 
"      Cornish",10,0,10 
"      English",11180,2235,8940 
"      Irish",7745,580,7165 
"      Manx",0,0,0 
"      Scottish",8390,925,7465 
"      Welsh",705,30,675 
"      British Isles origins, n.i.e. [7]",985,325,660 
"    French origins",3955,325,3630 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",3955,320,3635 
"    Western European origins (except French origins)",4650,740,3910 
"      Austrian",160,0,160 
"      Bavarian",0,0,10 
"      Belgian",85,0,75 
"      Dutch",1555,370,1190 
"      Flemish",10,0,0 
"      Frisian",0,0,0 
"      German",3045,345,2710 
"      Luxembourger",0,0,0 
"      Swiss",145,15,130 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",730,75,650 
"      Danish",150,0,145 
"      Finnish",175,45,130 
"      Icelandic",40,0,30 
"      Norwegian",180,10,175 
"      Swedish",170,10,155 
"      Northern European origins, n.i.e. [9]",55,0,50 
"    Eastern European origins",2145,400,1740 
"      Bulgarian",10,0,10 
"      Byelorussian",0,0,0 
"      Czech",70,20,50 
"      Czechoslovakian, n.o.s. [10]",35,0,25 
"      Estonian",30,10,20 
"      Hungarian",250,45,205 
"      Latvian",40,10,40 
"      Lithuanian",30,10,10 
"      Moldovan",0,0,0 
"      Polish",890,185,705 
"      Romanian",115,15,105 
"      Russian",145,20,130 
"      Slovak",60,20,35 
"      Ukrainian",790,65,725 
"      Eastern European origins, n.i.e. [11]",10,0,0 
"    Southern European origins",1940,580,1360 
"      Albanian",0,0,0 
"      Bosnian",0,0,0 
"      Catalan",0,0,0 
"      Croatian",30,20,10 
"      Cypriot",0,0,0 
"      Greek",115,35,85 
"      Italian",1320,390,925 
"      Kosovar",0,0,0 
"      Macedonian",45,10,30 
"      Maltese",40,15,20 
"      Montenegrin",0,0,0 
"      Portuguese",215,55,165 
"      Serbian",25,15,15 
"      Sicilian",0,0,0 
"      Slovenian",10,0,10 
"      Spanish",155,30,120 
"      Yugoslavian, n.o.s. [12]",25,10,20 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",150,30,120 
"      Basque",0,0,0 
"      Jewish",60,0,65 
"      Roma (Gypsy)",0,0,0 
"      Slavic, n.o.s. [14]",0,0,0 
"      Other European origins, n.i.e. [15]",80,30,55 
"  Caribbean origins",285,60,225 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",25,0,25 
"    Bermudan",10,0,0 
"    Carib",0,0,0 
"    Cuban",0,0,0 
"    Dominican",10,0,10 
"    Grenadian",25,15,0 
"    Guadeloupean",0,0,0 
"    Haitian",0,0,0 
"    Jamaican",140,20,120 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,0 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",35,10,20 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",35,10,30 
"    Caribbean origins, n.i.e. [17]",10,0,10 
"  Latin, Central and South American origins",85,0,80 
"    Aboriginal from Central/South America (except Arawak and Maya)",10,0,10 
"    Arawak",0,0,0 
"    Argentinian",10,0,10 
"    Belizean",0,0,0 
"    Bolivian",0,0,0 
"    Brazilian",10,0,10 
"    Chilean",0,0,0 
"    Colombian",0,0,0 
"    Costa Rican",0,0,0 
"    Ecuadorian",10,0,0 
"    Guatemalan",0,0,0 
"    Guyanese",30,0,30 
"    Hispanic",0,0,0 
"    Honduran",0,0,0 
"    Maya",0,0,0 
"    Mexican",15,10,15 
"    Nicaraguan",0,0,0 
"    Panamanian",0,0,0 
"    Paraguayan",0,0,0 
"    Peruvian",10,0,0 
"    Salvadorean",0,0,0 
"    Uruguayan",0,0,0 
"    Venezuelan",0,0,0 
"    Latin, Central and South American origins, n.i.e. [18]",0,0,0 
"  African origins",135,50,90 
"    Central and West African origins",0,0,0 
"      Akan",0,0,0 
"      Angolan",0,0,0 
"      Ashanti",0,0,0 
"      Beninese",0,0,0 
"      Burkinabe",0,0,0 
"      Cameroonian",0,0,0 
"      Chadian",0,0,0 
"      Congolese",0,0,0 
"      Edo",0,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",0,0,0 
"      Ghanaian",0,0,0 
"      Guinean",0,0,0 
"      Ibo",0,0,0 
"      Ivorian",0,0,0 
"      Liberian",0,0,0 
"      Malian",0,0,0 
"      Malinké",0,0,0 
"      Nigerian",0,0,0 
"      Peulh",0,0,0 
"      Senegalese",0,0,0 
"      Sierra Leonean",0,0,0 
"      Togolese",0,0,0 
"      Wolof",0,0,0 
"      Yoruba",0,0,0 
"      Central and West African origins, n.i.e. [19]",0,0,0 
"    North African origins",40,25,15 
"      Algerian",10,0,10 
"      Berber",0,0,0 
"      Coptic",0,0,0 
"      Dinka",0,0,0 
"      Egyptian",25,25,0 
"      Libyan",0,0,0 
"      Maure",0,0,0 
"      Moroccan",10,0,0 
"      Sudanese",0,0,0 
"      Tunisian",0,0,0 
"      North African origins, n.i.e. [20]",0,0,0 
"    Southern and East African origins",35,10,25 
"      Afrikaner",0,0,0 
"      Amhara",0,0,0 
"      Bantu, n.o.s. [21]",0,0,0 
"      Burundian",0,0,0 
"      Djiboutian",0,0,0 
"      Eritrean",0,0,0 
"      Ethiopian",0,0,0 
"      Harari",0,0,0 
"      Kenyan",0,0,0 
"      Malagasy",0,0,0 
"      Mauritian",0,0,0 
"      Oromo",0,0,0 
"      Rwandan",0,0,0 
"      Seychellois",0,0,0 
"      Somali",0,0,0 
"      South African",35,10,25 
"      Tanzanian",0,0,0 
"      Tigrian",0,0,0 
"      Ugandan",0,0,0 
"      Zambian",0,0,0 
"      Zimbabwean",0,0,0 
"      Zulu",0,0,0 
"      Southern and East African origins, n.i.e. [22]",0,0,0 
"    Other African origins",65,15,50 
"      Black, n.o.s. [23]",20,0,20 
"      Other African origins, n.i.e. [24]",50,15,35 
"  Asian origins",1380,920,455 
"    West Central Asian and Middle Eastern origins",130,40,95 
"      Afghan",0,0,0 
"      Arab, n.o.s. [25]",0,0,0 
"      Armenian",25,0,20 
"      Assyrian",0,0,0 
"      Azerbaijani",0,0,0 
"      Georgian",0,0,0 
"      Hazara",0,0,0 
"      Iranian",45,25,15 
"      Iraqi",10,0,0 
"      Israeli",0,0,0 
"      Jordanian",0,0,0 
"      Kazakh",0,0,0 
"      Kurd",0,0,0 
"      Kuwaiti",0,0,0 
"      Kyrgyz",0,0,0 
"      Lebanese",30,0,25 
"      Palestinian",0,0,0 
"      Pashtun",0,0,0 
"      Saudi Arabian",0,0,0 
"      Syrian",10,0,10 
"      Tajik",0,0,0 
"      Tatar",0,0,0 
"      Turk",15,0,0 
"      Turkmen",0,0,0 
"      Uighur",0,0,0 
"      Uzbek",0,0,0 
"      Yemeni",0,0,0 
"      West Central Asian and Middle Eastern origins, n.i.e. [26]",15,0,15 
"    South Asian origins",365,265,100 
"      Bangladeshi",0,0,0 
"      Bengali",0,0,0 
"      Bhutanese",0,0,0 
"      East Indian",300,205,95 
"      Goan",20,10,10 
"      Gujarati",0,0,0 
"      Kashmiri",0,0,0 
"      Nepali",0,0,0 
"      Pakistani",0,0,0 
"      Punjabi",50,50,0 
"      Sinhalese",0,0,0 
"      Sri Lankan",0,0,0 
"      Tamil",0,0,0 
"      South Asian origins, n.i.e. [27]",0,0,0 
"    East and Southeast Asian origins",895,615,275 
"      Burmese",0,0,0 
"      Cambodian (Khmer)",0,0,0 
"      Chinese",405,290,115 
"      Filipino",385,260,120 
"      Hmong",0,0,0 
"      Indonesian",15,0,15 
"      Japanese",55,20,35 
"      Karen",0,0,0 
"      Korean",40,30,10 
"      Laotian",0,0,0 
"      Malaysian",0,0,0 
"      Mongolian",10,0,0 
"      Singaporean",0,0,0 
"      Taiwanese",0,0,0 
"      Thai",20,0,15 
"      Tibetan",10,0,10 
"      Vietnamese",15,10,10 
"      East and Southeast Asian origins, n.i.e. [28]",0,0,0 
"    Other Asian origins",10,0,10 
"      Other Asian origins, n.i.e. [29]",10,0,10 
"  Oceania origins",65,0,65 
"    Australian",40,0,40 
"    New Zealander",15,0,20 
"    Pacific Islands origins",0,0,0 
"      Fijian",0,0,0 
"      Hawaiian",0,0,0 
"      Maori",0,0,0 
"      Samoan",0,0,0 
"      Polynesian, n.o.s. [30]",0,0,0 
"      Pacific Islands origins, n.i.e. [31]",0,0,0 
"Note"
"[1] For more information on generation status variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Place of Birth, Generation Status, Citizenship and Immigration Reference Guide, Census of Population, 2016."
"[2] Total ethnic origin responses are the sum of single and multiple responses for each ethnic origin. Total response counts indicate the number of persons who reported a specified ethnic origin, either as their only origin or in addition to one or more other ethnic origins. The sum of all ethnic origin responses is greater than the total population estimate due to the reporting of multiple origins."
"[3] A single ethnic origin response occurs when a person provides one ethnic origin only."
"[4] A multiple ethnic origin response occurs when a person provides two or more ethnic origins."
"[5] This is a total population estimate. The sum of the ethnic groups in this table is greater than the total population estimate because a person may report more than one ethnic origin in the census."
"[6] Includes general responses indicating North American origins (e.g., 'North American') as well as more specific responses indicating North American origins that have not been included elsewhere (e.g., 'Maritimer')."
"[7] Includes general responses indicating British Isles origins (e.g., 'British,' 'United Kingdom') as well as more specific responses indicating British Isles origins that have not been included elsewhere (e.g., 'Celtic')."
"[8] Includes general responses indicating Western European origins (e.g., 'Western European') as well as more specific responses indicating Western European origins that have not been included elsewhere (e.g., 'Liechtensteiner')."
"[9] Includes general responses indicating Northern European origins (e.g., 'Northern European') as well as more specific responses indicating Northern European origins that have not been included elsewhere (e.g., 'Faroese,' 'Scandinavian')."
"[10] Includes responses of 'Czechoslovakian,' not otherwise specified."
"[11] Includes general responses indicating Eastern European origins (e.g., 'Eastern European') as well as more specific responses indicating Eastern European origins that have not been included elsewhere (e.g., 'Baltic')."
"[12] Includes responses of 'Yugoslavian,' not otherwise specified."
"[13] Includes general responses indicating Southern European origins (e.g., 'Southern European') as well as more specific responses indicating Southern European origins that have not been included elsewhere (e.g., 'Gibraltarian')."
"[14] Includes responses of 'Slavic,' not otherwise specified."
"[15] Includes general responses indicating Other European origins (e.g., 'European') as well as more specific responses indicating European origins that have not been included elsewhere (e.g., 'Central European')."
"[16] Includes responses of 'West Indian,' not otherwise specified."
"[17] Includes general responses indicating Caribbean origins (e.g., 'Antilles,' 'Caribbean') as well as more specific responses indicating Caribbean origins that have not been included elsewhere (e.g., 'Aruban')."
"[18] Includes general responses indicating Latin, Central or South American origins (e.g., 'South American') as well as more specific responses indicating Latin, Central or South American origins that have not been included elsewhere (e.g., 'Surinamese')."
"[19] Includes general responses indicating Central or West African origins (e.g., 'West African') as well as more specific responses indicating Central or West African origins that have not been included elsewhere (e.g., 'Luba,' 'Mossi')."
"[20] Includes general responses indicating North African origins (e.g., 'North African') as well as more specific responses indicating North African origins that have not been included elsewhere (e.g., 'Maghreb')."
"[21] Includes responses of 'Bantu,' not otherwise specified."
"[22] Includes general responses indicating Southern or East African origins (e.g., 'East African') as well as more specific responses indicating Southern or East African origins that have not been included elsewhere (e.g., 'Hutu,' 'Shona')."
"[23] Includes responses of 'Black,' not otherwise specified."
"[24] Includes general responses indicating Other African origins (e.g., 'African') as well as more specific responses indicating Other African origins that have not been included elsewhere (e.g., 'Saharan')."
"[25] Includes responses of 'Arab,' not otherwise specified."
"[26] Includes general responses indicating West Asian, Central Asian and Middle Eastern origins (e.g., 'West Asian,' 'Middle Eastern') as well as more specific responses indicating West Asian, Central Asian and Middle Eastern origins that have not been included elsewhere (e.g., 'Baloch,' 'Circassian')."
"[27] Includes general responses indicating South Asian origins (e.g., 'South Asian') as well as more specific responses indicating South Asian origins that have not been included elsewhere (e.g., 'Telugu')."
"[28] Includes general responses indicating East and Southeast Asian origins (e.g., 'Southeast Asian') as well as more specific responses indicating East and Southeast Asian origins that have not been included elsewhere (e.g., 'Bruneian')."
"[29] Includes general responses indicating Other Asian origins (e.g., 'Asian') as well as more specific responses indicating Other Asian origins that have not been included elsewhere (e.g., 'Eurasian')."
"[30] Includes responses of 'Polynesian,' not otherwise specified."
"[31] Includes general responses indicating Pacific Islands origins (e.g., 'Pacific Islander') as well as more specific responses indicating Pacific Islands origins that have not been included elsewhere (e.g., 'Tahitian')."
"Source: Statistics Canada - 2016 Census. Catalogue Number 98-400-X2016187."
