"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Peterborough"
"Global non-response rate (GNR) =   4.5 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",118775,51310,67465 
"  North American Aboriginal origins",7515,1135,6380 
"    First Nations (North American Indian)",5785,975,4810 
"    Inuit",40,0,40 
"    Métis",1860,155,1705 
"  Other North American origins",42885,19490,23400 
"    Acadian",160,10,150 
"    American",1365,80,1285 
"    Canadian",41845,19365,22480 
"    New Brunswicker",15,15,0 
"    Newfoundlander",150,10,135 
"    Nova Scotian",10,10,10 
"    Ontarian",15,0,10 
"    Québécois",25,0,25 
"    Other North American origins, n.i.e. [6]",10,0,0 
"  European origins",93050,26930,66120 
"    British Isles origins",78035,18920,59120 
"      Channel Islander",0,0,0 
"      Cornish",30,0,25 
"      English",46475,9295,37180 
"      Irish",38655,5290,33370 
"      Manx",20,0,25 
"      Scottish",31215,3090,28125 
"      Welsh",3140,200,2945 
"      British Isles origins, n.i.e. [7]",3970,1035,2935 
"    French origins",14345,980,13365 
"      Alsatian",10,0,10 
"      Breton",0,0,0 
"      Corsican",25,0,25 
"      French",14315,980,13340 
"    Western European origins (except French origins)",19345,3215,16125 
"      Austrian",675,80,595 
"      Bavarian",0,0,10 
"      Belgian",470,35,435 
"      Dutch",6965,1710,5260 
"      Flemish",10,0,10 
"      Frisian",25,15,10 
"      German",12180,1320,10860 
"      Luxembourger",0,0,0 
"      Swiss",445,60,385 
"      Western European origins, n.i.e. [8]",10,0,10 
"    Northern European origins (except British Isles origins)",2945,340,2600 
"      Danish",720,95,630 
"      Finnish",660,155,505 
"      Icelandic",135,0,130 
"      Norwegian",655,30,625 
"      Swedish",695,45,655 
"      Northern European origins, n.i.e. [9]",205,20,180 
"    Eastern European origins",8185,1770,6420 
"      Bulgarian",85,50,35 
"      Byelorussian",25,0,25 
"      Czech",375,70,305 
"      Czechoslovakian, n.o.s. [10]",65,0,55 
"      Estonian",135,40,95 
"      Hungarian",910,220,695 
"      Latvian",155,40,115 
"      Lithuanian",170,15,160 
"      Moldovan",0,0,0 
"      Polish",3455,765,2690 
"      Romanian",270,40,230 
"      Russian",920,105,815 
"      Slovak",155,20,135 
"      Ukrainian",2535,395,2140 
"      Eastern European origins, n.i.e. [11]",25,15,10 
"    Southern European origins",7595,1585,6010 
"      Albanian",115,80,40 
"      Bosnian",10,10,0 
"      Catalan",0,0,0 
"      Croatian",195,45,145 
"      Cypriot",25,0,25 
"      Greek",505,115,390 
"      Italian",4855,935,3920 
"      Kosovar",0,0,0 
"      Macedonian",135,20,110 
"      Maltese",255,65,195 
"      Montenegrin",0,0,0 
"      Portuguese",670,145,525 
"      Serbian",150,35,120 
"      Sicilian",25,0,25 
"      Slovenian",95,30,70 
"      Spanish",695,90,610 
"      Yugoslavian, n.o.s. [12]",195,25,170 
"      Southern European origins, n.i.e. [13]",15,0,10 
"    Other European origins",460,110,345 
"      Basque",10,0,10 
"      Jewish",250,30,220 
"      Roma (Gypsy)",15,0,15 
"      Slavic, n.o.s. [14]",10,0,10 
"      Other European origins, n.i.e. [15]",175,80,95 
"  Caribbean origins",820,120,705 
"    Antiguan",0,0,0 
"    Bahamian",15,10,10 
"    Barbadian",85,10,80 
"    Bermudan",25,0,25 
"    Carib",0,0,0 
"    Cuban",15,0,15 
"    Dominican",25,0,20 
"    Grenadian",15,0,15 
"    Guadeloupean",0,0,0 
"    Haitian",0,0,10 
"    Jamaican",400,65,335 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",20,0,20 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",115,25,95 
"    Vincentian/Grenadinian",0,0,10 
"    West Indian, n.o.s. [16]",85,10,75 
"    Caribbean origins, n.i.e. [17]",25,0,25 
"  Latin, Central and South American origins",565,105,460 
"    Aboriginal from Central/South America (except Arawak and Maya)",10,0,10 
"    Arawak",0,0,0 
"    Argentinian",10,0,0 
"    Belizean",0,0,0 
"    Bolivian",10,0,0 
"    Brazilian",60,10,55 
"    Chilean",65,0,55 
"    Colombian",10,0,10 
"    Costa Rican",0,0,0 
"    Ecuadorian",15,0,15 
"    Guatemalan",0,0,0 
"    Guyanese",140,25,120 
"    Hispanic",25,0,20 
"    Honduran",0,10,0 
"    Maya",25,0,25 
"    Mexican",175,30,145 
"    Nicaraguan",0,0,0 
"    Panamanian",0,0,0 
"    Paraguayan",0,0,0 
"    Peruvian",40,25,10 
"    Salvadorean",0,0,0 
"    Uruguayan",10,0,10 
"    Venezuelan",0,0,0 
"    Latin, Central and South American origins, n.i.e. [18]",20,10,15 
"  African origins",1010,450,555 
"    Central and West African origins",220,160,55 
"      Akan",0,0,0 
"      Angolan",0,0,0 
"      Ashanti",0,0,0 
"      Beninese",0,0,0 
"      Burkinabe",10,10,0 
"      Cameroonian",0,0,0 
"      Chadian",0,0,0 
"      Congolese",35,30,10 
"      Edo",0,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",0,0,0 
"      Ghanaian",30,10,25 
"      Guinean",0,0,0 
"      Ibo",0,0,0 
"      Ivorian",0,0,0 
"      Liberian",0,0,0 
"      Malian",10,0,10 
"      Malinké",0,0,0 
"      Nigerian",85,70,15 
"      Peulh",0,0,0 
"      Senegalese",0,0,10 
"      Sierra Leonean",0,0,0 
"      Togolese",0,0,0 
"      Wolof",0,0,0 
"      Yoruba",20,20,0 
"      Central and West African origins, n.i.e. [19]",30,20,10 
"    North African origins",195,130,65 
"      Algerian",0,0,0 
"      Berber",0,0,0 
"      Coptic",0,0,0 
"      Dinka",0,0,0 
"      Egyptian",120,80,40 
"      Libyan",0,0,0 
"      Maure",0,0,0 
"      Moroccan",30,20,10 
"      Sudanese",50,35,10 
"      Tunisian",0,0,0 
"      North African origins, n.i.e. [20]",0,0,0 
"    Southern and East African origins",300,100,200 
"      Afrikaner",10,0,0 
"      Amhara",0,0,0 
"      Bantu, n.o.s. [21]",0,0,0 
"      Burundian",0,0,0 
"      Djiboutian",0,0,0 
"      Eritrean",0,0,0 
"      Ethiopian",50,35,20 
"      Harari",0,0,0 
"      Kenyan",20,10,10 
"      Malagasy",0,0,10 
"      Mauritian",0,0,0 
"      Oromo",0,0,0 
"      Rwandan",0,0,0 
"      Seychellois",0,0,0 
"      Somali",25,20,0 
"      South African",165,35,130 
"      Tanzanian",10,0,10 
"      Tigrian",0,0,0 
"      Ugandan",10,0,0 
"      Zambian",0,0,0 
"      Zimbabwean",0,0,0 
"      Zulu",0,0,0 
"      Southern and East African origins, n.i.e. [22]",15,10,10 
"    Other African origins",305,60,245 
"      Black, n.o.s. [23]",45,0,40 
"      Other African origins, n.i.e. [24]",260,55,200 
"  Asian origins",4840,3080,1760 
"    West Central Asian and Middle Eastern origins",745,295,445 
"      Afghan",65,50,10 
"      Arab, n.o.s. [25]",20,0,15 
"      Armenian",20,0,15 
"      Assyrian",0,0,0 
"      Azerbaijani",0,0,0 
"      Georgian",0,0,0 
"      Hazara",0,0,0 
"      Iranian",115,55,65 
"      Iraqi",20,10,10 
"      Israeli",20,0,20 
"      Jordanian",20,0,20 
"      Kazakh",10,10,0 
"      Kurd",0,0,0 
"      Kuwaiti",0,0,0 
"      Kyrgyz",0,0,0 
"      Lebanese",265,85,180 
"      Palestinian",35,0,40 
"      Pashtun",0,0,0 
"      Saudi Arabian",20,10,0 
"      Syrian",120,35,80 
"      Tajik",0,0,0 
"      Tatar",0,0,10 
"      Turk",120,25,90 
"      Turkmen",0,0,0 
"      Uighur",0,0,0 
"      Uzbek",0,0,0 
"      Yemeni",10,0,0 
"      West Central Asian and Middle Eastern origins, n.i.e. [26]",15,0,15 
"    South Asian origins",1610,1165,445 
"      Bangladeshi",65,45,25 
"      Bengali",30,30,0 
"      Bhutanese",0,0,0 
"      East Indian",1295,910,385 
"      Goan",0,0,0 
"      Gujarati",0,0,0 
"      Kashmiri",10,10,0 
"      Nepali",30,25,10 
"      Pakistani",120,85,30 
"      Punjabi",20,20,0 
"      Sinhalese",0,0,0 
"      Sri Lankan",55,45,15 
"      Tamil",25,10,20 
"      South Asian origins, n.i.e. [27]",20,0,20 
"    East and Southeast Asian origins",2515,1595,920 
"      Burmese",0,0,10 
"      Cambodian (Khmer)",95,70,25 
"      Chinese",1215,775,445 
"      Filipino",535,305,230 
"      Hmong",0,0,0 
"      Indonesian",35,0,35 
"      Japanese",235,100,130 
"      Karen",0,0,0 
"      Korean",210,175,40 
"      Laotian",10,0,0 
"      Malaysian",15,0,15 
"      Mongolian",35,10,30 
"      Singaporean",0,0,0 
"      Taiwanese",10,10,0 
"      Thai",35,0,30 
"      Tibetan",25,20,10 
"      Vietnamese",190,140,50 
"      East and Southeast Asian origins, n.i.e. [28]",0,0,0 
"    Other Asian origins",35,20,15 
"      Other Asian origins, n.i.e. [29]",35,20,15 
"  Oceania origins",370,10,360 
"    Australian",275,0,270 
"    New Zealander",90,0,85 
"    Pacific Islands origins",25,0,25 
"      Fijian",0,0,0 
"      Hawaiian",0,0,0 
"      Maori",15,0,20 
"      Samoan",0,0,0 
"      Polynesian, n.o.s. [30]",0,0,0 
"      Pacific Islands origins, n.i.e. [31]",0,0,10 
"Note"
"[1] For more information on generation status variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Place of Birth, Generation Status, Citizenship and Immigration Reference Guide, Census of Population, 2016."
"[2] Total ethnic origin responses are the sum of single and multiple responses for each ethnic origin. Total response counts indicate the number of persons who reported a specified ethnic origin, either as their only origin or in addition to one or more other ethnic origins. The sum of all ethnic origin responses is greater than the total population estimate due to the reporting of multiple origins."
"[3] A single ethnic origin response occurs when a person provides one ethnic origin only."
"[4] A multiple ethnic origin response occurs when a person provides two or more ethnic origins."
"[5] This is a total population estimate. The sum of the ethnic groups in this table is greater than the total population estimate because a person may report more than one ethnic origin in the census."
"[6] Includes general responses indicating North American origins (e.g., 'North American') as well as more specific responses indicating North American origins that have not been included elsewhere (e.g., 'Maritimer')."
"[7] Includes general responses indicating British Isles origins (e.g., 'British,' 'United Kingdom') as well as more specific responses indicating British Isles origins that have not been included elsewhere (e.g., 'Celtic')."
"[8] Includes general responses indicating Western European origins (e.g., 'Western European') as well as more specific responses indicating Western European origins that have not been included elsewhere (e.g., 'Liechtensteiner')."
"[9] Includes general responses indicating Northern European origins (e.g., 'Northern European') as well as more specific responses indicating Northern European origins that have not been included elsewhere (e.g., 'Faroese,' 'Scandinavian')."
"[10] Includes responses of 'Czechoslovakian,' not otherwise specified."
"[11] Includes general responses indicating Eastern European origins (e.g., 'Eastern European') as well as more specific responses indicating Eastern European origins that have not been included elsewhere (e.g., 'Baltic')."
"[12] Includes responses of 'Yugoslavian,' not otherwise specified."
"[13] Includes general responses indicating Southern European origins (e.g., 'Southern European') as well as more specific responses indicating Southern European origins that have not been included elsewhere (e.g., 'Gibraltarian')."
"[14] Includes responses of 'Slavic,' not otherwise specified."
"[15] Includes general responses indicating Other European origins (e.g., 'European') as well as more specific responses indicating European origins that have not been included elsewhere (e.g., 'Central European')."
"[16] Includes responses of 'West Indian,' not otherwise specified."
"[17] Includes general responses indicating Caribbean origins (e.g., 'Antilles,' 'Caribbean') as well as more specific responses indicating Caribbean origins that have not been included elsewhere (e.g., 'Aruban')."
"[18] Includes general responses indicating Latin, Central or South American origins (e.g., 'South American') as well as more specific responses indicating Latin, Central or South American origins that have not been included elsewhere (e.g., 'Surinamese')."
"[19] Includes general responses indicating Central or West African origins (e.g., 'West African') as well as more specific responses indicating Central or West African origins that have not been included elsewhere (e.g., 'Luba,' 'Mossi')."
"[20] Includes general responses indicating North African origins (e.g., 'North African') as well as more specific responses indicating North African origins that have not been included elsewhere (e.g., 'Maghreb')."
"[21] Includes responses of 'Bantu,' not otherwise specified."
"[22] Includes general responses indicating Southern or East African origins (e.g., 'East African') as well as more specific responses indicating Southern or East African origins that have not been included elsewhere (e.g., 'Hutu,' 'Shona')."
"[23] Includes responses of 'Black,' not otherwise specified."
"[24] Includes general responses indicating Other African origins (e.g., 'African') as well as more specific responses indicating Other African origins that have not been included elsewhere (e.g., 'Saharan')."
"[25] Includes responses of 'Arab,' not otherwise specified."
