"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Prince Albert [1]"
"Global non-response rate (GNR) =   7.4 %"
"Generation status (4) = Total - Generation status [2]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [3]","  Single ethnic origin responses [4]","  Multiple ethnic origin responses [5]", 
"Total - Ethnic origin [6]",42380,18775,23605 
"  North American Aboriginal origins",15255,6440,8815 
"    First Nations (North American Indian)",9920,4910,5010 
"    Inuit",95,0,90 
"    Métis",6555,1525,5035 
"  Other North American origins",10310,3885,6420 
"    Acadian",0,0,0 
"    American",525,30,500 
"    Canadian",9945,3850,6095 
"    New Brunswicker",0,0,0 
"    Newfoundlander",0,0,0 
"    Nova Scotian",0,0,0 
"    Ontarian",0,0,0 
"    Québécois",10,0,10 
"    Other North American origins, n.i.e. [7]",10,10,0 
"  European origins",27255,5920,21330 
"    British Isles origins",15175,1705,13470 
"      Channel Islander",0,0,0 
"      Cornish",0,0,0 
"      English",9085,1090,7995 
"      Irish",4970,220,4750 
"      Manx",10,0,10 
"      Scottish",6820,325,6495 
"      Welsh",455,0,450 
"      British Isles origins, n.i.e. [8]",400,60,345 
"    French origins",7365,725,6635 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",7365,725,6635 
"    Western European origins (except French origins)",8540,1120,7420 
"      Austrian",365,0,360 
"      Bavarian",0,0,0 
"      Belgian",245,0,245 
"      Dutch",1160,95,1060 
"      Flemish",30,0,30 
"      Frisian",0,0,0 
"      German",7200,1010,6190 
"      Luxembourger",0,0,10 
"      Swiss",155,10,150 
"      Western European origins, n.i.e. [9]",0,0,0 
"    Northern European origins (except British Isles origins)",4310,320,3990 
"      Danish",395,15,380 
"      Finnish",75,10,60 
"      Icelandic",175,15,165 
"      Norwegian",2805,215,2590 
"      Swedish",1270,55,1210 
"      Northern European origins, n.i.e. [10]",90,0,85 
"    Eastern European origins",9030,1930,7105 
"      Bulgarian",0,0,0 
"      Byelorussian",10,10,0 
"      Czech",145,25,120 
"      Czechoslovakian, n.o.s. [11]",80,20,60 
"      Estonian",10,10,0 
"      Hungarian",805,110,700 
"      Latvian",25,0,25 
"      Lithuanian",20,0,20 
"      Moldovan",0,0,0 
"      Polish",2765,290,2475 
"      Romanian",265,40,225 
"      Russian",910,55,855 
"      Slovak",30,0,25 
"      Ukrainian",6215,1375,4845 
"      Eastern European origins, n.i.e. [12]",15,0,10 
"    Southern European origins",635,95,540 
"      Albanian",15,10,0 
"      Bosnian",0,0,0 
"      Catalan",0,0,0 
"      Croatian",25,10,25 
"      Cypriot",0,0,0 
"      Greek",55,15,40 
"      Italian",270,25,250 
"      Kosovar",0,0,0 
"      Macedonian",0,0,0 
"      Maltese",10,0,0 
"      Montenegrin",0,0,0 
"      Portuguese",60,20,40 
"      Serbian",0,0,0 
"      Sicilian",0,0,0 
"      Slovenian",10,0,10 
"      Spanish",150,15,135 
"      Yugoslavian, n.o.s. [13]",60,0,55 
"      Southern European origins, n.i.e. [14]",0,0,0 
"    Other European origins",155,25,130 
"      Basque",15,0,10 
"      Jewish",50,0,50 
"      Roma (Gypsy)",15,0,10 
"      Slavic, n.o.s. [15]",10,0,10 
"      Other European origins, n.i.e. [16]",75,25,45 
"  Caribbean origins",35,15,25 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",0,0,0 
"    Bermudan",0,0,0 
"    Carib",0,0,0 
"    Cuban",0,0,0 
"    Dominican",0,0,0 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",0,0,0 
"    Jamaican",20,10,10 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,0 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",10,0,10 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [17]",10,0,10 
"    Caribbean origins, n.i.e. [18]",0,0,0 
"  Latin, Central and South American origins",170,95,70 
"    Aboriginal from Central/South America (except Arawak and Maya)",0,0,10 
"    Arawak",0,0,0 
"    Argentinian",0,0,0 
"    Belizean",10,0,0 
"    Bolivian",0,0,0 
"    Brazilian",10,0,10 
"    Chilean",40,20,25 
"    Colombian",35,30,10 
"    Costa Rican",0,0,0 
"    Ecuadorian",0,0,0 
"    Guatemalan",0,0,0 
"    Guyanese",0,0,10 
"    Hispanic",0,0,0 
"    Honduran",0,0,0 
"    Maya",0,0,0 
"    Mexican",40,25,15 
"    Nicaraguan",0,0,0 
"    Panamanian",0,0,0 
"    Paraguayan",10,0,10 
"    Peruvian",0,0,0 
"    Salvadorean",25,0,15 
"    Uruguayan",0,0,0 
"    Venezuelan",0,0,0 
"    Latin, Central and South American origins, n.i.e. [19]",10,0,0 
"  African origins",630,405,225 
"    Central and West African origins",140,100,40 
"      Akan",10,10,0 
"      Angolan",0,0,0 
"      Ashanti",0,0,0 
"      Beninese",0,0,0 
"      Burkinabe",0,0,0 
"      Cameroonian",0,0,0 
"      Chadian",0,0,0 
"      Congolese",65,55,10 
"      Edo",0,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",0,0,0 
"      Ghanaian",0,0,0 
"      Guinean",0,0,0 
"      Ibo",0,0,0 
"      Ivorian",0,0,0 
"      Liberian",0,0,0 
"      Malian",0,0,0 
"      Malinké",0,0,0 
"      Nigerian",45,20,25 
"      Peulh",0,0,0 
"      Senegalese",0,0,0 
"      Sierra Leonean",0,0,0 
"      Togolese",0,0,0 
"      Wolof",0,0,0 
"      Yoruba",30,0,25 
"      Central and West African origins, n.i.e. [20]",20,20,0 
"    North African origins",85,90,0 
"      Algerian",0,0,0 
"      Berber",0,0,0 
"      Coptic",0,0,0 
"      Dinka",0,0,0 
"      Egyptian",50,50,0 
"      Libyan",0,0,0 
"      Maure",0,0,0 
"      Moroccan",0,0,0 
"      Sudanese",40,35,0 
"      Tunisian",0,0,0 
"      North African origins, n.i.e. [21]",0,0,0 
"    Southern and East African origins",225,130,95 
"      Afrikaner",0,0,0 
"      Amhara",10,0,10 
"      Bantu, n.o.s. [22]",10,15,0 
"      Burundian",15,0,10 
"      Djiboutian",10,0,0 
"      Eritrean",40,40,0 
"      Ethiopian",25,0,15 
"      Harari",0,0,0 
"      Kenyan",0,0,0 
"      Malagasy",0,0,0 
"      Mauritian",0,0,0 
"      Oromo",0,0,0 
"      Rwandan",0,0,0 
"      Seychellois",0,0,0 
"      Somali",45,35,15 
"      South African",55,25,30 
"      Tanzanian",15,0,15 
"      Tigrian",0,0,0 
"      Ugandan",0,0,0 
"      Zambian",0,0,0 
"      Zimbabwean",0,0,0 
"      Zulu",0,0,0 
"      Southern and East African origins, n.i.e. [23]",10,10,10 
"    Other African origins",190,90,100 
"      Black, n.o.s. [24]",15,0,20 
"      Other African origins, n.i.e. [25]",170,85,85 
"  Asian origins",2500,2010,490 
"    West Central Asian and Middle Eastern origins",135,100,35 
"      Afghan",0,0,0 
"      Arab, n.o.s. [26]",10,10,0 
"      Armenian",0,0,0 
"      Assyrian",0,0,0 
"      Azerbaijani",0,0,0 
"      Georgian",0,0,0 
"      Hazara",0,0,0 
"      Iranian",0,10,0 
"      Iraqi",0,0,0 
"      Israeli",0,0,0 
"      Jordanian",0,0,0 
"      Kazakh",0,0,0 
"      Kurd",0,0,0 
"      Kuwaiti",0,0,0 
"      Kyrgyz",0,0,0 
"      Lebanese",10,0,10 
"      Palestinian",0,0,0 
"      Pashtun",15,0,10 
"      Saudi Arabian",0,0,0 
"      Syrian",40,45,0 
"      Tajik",0,0,0 
"      Tatar",0,0,0 
"      Turk",0,0,0 
"      Turkmen",0,0,0 
"      Uighur",0,0,0 
"      Uzbek",0,0,0 
"      Yemeni",0,0,0 
"      West Central Asian and Middle Eastern origins, n.i.e. [27]",45,45,0 
"    South Asian origins",765,640,130 
"      Bangladeshi",0,0,0 
