"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Saint-Georges"
"Global non-response rate (GNR) =   5.6 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",31450,26070,5380 
"  North American Aboriginal origins",835,215,620 
"    First Nations (North American Indian)",725,190,535 
"    Inuit",10,0,0 
"    Métis",125,20,105 
"  Other North American origins",26430,21935,4495 
"    Acadian",70,35,35 
"    American",120,0,115 
"    Canadian",25970,21640,4330 
"    New Brunswicker",0,0,0 
"    Newfoundlander",0,0,0 
"    Nova Scotian",0,0,0 
"    Ontarian",0,0,0 
"    Québécois",445,250,190 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",8645,3640,5005 
"    British Isles origins",1255,320,940 
"      Channel Islander",0,0,0 
"      Cornish",0,0,0 
"      English",160,45,115 
"      Irish",980,220,755 
"      Manx",0,0,0 
"      Scottish",180,45,130 
"      Welsh",10,0,10 
"      British Isles origins, n.i.e. [7]",10,0,10 
"    French origins",7470,3085,4390 
"      Alsatian",0,0,0 
"      Breton",35,15,15 
"      Corsican",0,0,0 
"      French",7445,3070,4375 
"    Western European origins (except French origins)",255,45,215 
"      Austrian",0,0,0 
"      Bavarian",0,0,0 
"      Belgian",35,10,25 
"      Dutch",20,0,25 
"      Flemish",0,0,0 
"      Frisian",0,0,0 
"      German",205,30,180 
"      Luxembourger",10,0,0 
"      Swiss",40,10,30 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",55,15,40 
"      Danish",10,0,10 
"      Finnish",0,0,0 
"      Icelandic",0,0,0 
"      Norwegian",30,0,25 
"      Swedish",0,0,0 
"      Northern European origins, n.i.e. [9]",15,15,0 
"    Eastern European origins",100,15,85 
"      Bulgarian",10,10,0 
"      Byelorussian",0,0,0 
"      Czech",10,0,10 
"      Czechoslovakian, n.o.s. [10]",0,0,0 
"      Estonian",0,0,0 
"      Hungarian",10,0,10 
"      Latvian",0,0,0 
"      Lithuanian",0,0,0 
"      Moldovan",0,0,0 
"      Polish",45,0,45 
"      Romanian",10,10,0 
"      Russian",10,0,10 
"      Slovak",0,0,0 
"      Ukrainian",10,0,10 
"      Eastern European origins, n.i.e. [11]",0,0,0 
"    Southern European origins",325,140,185 
"      Albanian",0,0,0 
"      Bosnian",0,0,0 
"      Catalan",0,0,0 
"      Croatian",0,0,0 
"      Cypriot",0,0,0 
"      Greek",45,30,15 
"      Italian",120,45,65 
"      Kosovar",0,0,0 
"      Macedonian",0,0,0 
"      Maltese",0,0,0 
"      Montenegrin",0,0,0 
"      Portuguese",100,50,55 
"      Serbian",0,0,0 
"      Sicilian",0,0,0 
"      Slovenian",0,0,0 
"      Spanish",65,15,55 
"      Yugoslavian, n.o.s. [12]",0,0,0 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",35,20,15 
"      Basque",10,0,0 
"      Jewish",0,0,0 
"      Roma (Gypsy)",0,0,0 
"      Slavic, n.o.s. [14]",0,0,0 
"      Other European origins, n.i.e. [15]",30,15,15 
"  Caribbean origins",70,30,45 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",0,0,10 
"    Bermudan",0,0,0 
"    Carib",0,0,0 
"    Cuban",0,0,0 
"    Dominican",0,0,10 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",40,30,10 
