"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Saskatoon"
"Global non-response rate (GNR) =   4.9 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",288905,125185,163720 
"  North American Aboriginal origins",32430,9495,22935 
"    First Nations (North American Indian)",19765,7370,12390 
"    Inuit",135,15,115 
"    Métis",14615,2105,12505 
"  Other North American origins",57305,21695,35615 
"    Acadian",215,40,185 
"    American",3725,160,3570 
"    Canadian",54590,21485,33100 
"    New Brunswicker",0,0,0 
"    Newfoundlander",20,0,15 
"    Nova Scotian",0,0,0 
"    Ontarian",10,10,0 
"    Québécois",70,0,70 
"    Other North American origins, n.i.e. [6]",20,0,25 
"  European origins",208575,53250,155325 
"    British Isles origins",114695,13000,101700 
"      Channel Islander",0,0,0 
"      Cornish",20,10,10 
"      English",66925,7090,59840 
"      Irish",43520,2105,41415 
"      Manx",50,0,50 
"      Scottish",51805,2915,48890 
"      Welsh",5480,230,5250 
"      British Isles origins, n.i.e. [7]",4885,640,4250 
"    French origins",34305,2580,31725 
"      Alsatian",0,0,0 
"      Breton",0,0,10 
"      Corsican",10,0,10 
"      French",34295,2580,31715 
"    Western European origins (except French origins)",93225,17750,75475 
"      Austrian",3905,225,3680 
"      Bavarian",0,0,0 
"      Belgian",2385,210,2180 
"      Dutch",11630,1590,10050 
"      Flemish",250,10,250 
"      Frisian",25,0,25 
"      German",82285,15650,66635 
"      Luxembourger",125,0,125 
"      Swiss",1295,75,1225 
"      Western European origins, n.i.e. [8]",10,0,10 
"    Northern European origins (except British Isles origins)",30715,2505,28210 
"      Danish",2730,180,2545 
"      Finnish",1545,290,1255 
"      Icelandic",2420,140,2285 
"      Norwegian",18430,1485,16950 
"      Swedish",8545,340,8205 
"      Northern European origins, n.i.e. [9]",995,65,925 
"    Eastern European origins",74495,14950,59540 
"      Bulgarian",135,25,100 
"      Byelorussian",95,10,85 
"      Czech",1335,205,1130 
"      Czechoslovakian, n.o.s. [10]",845,85,760 
"      Estonian",115,10,105 
"      Hungarian",6415,785,5630 
"      Latvian",175,30,140 
"      Lithuanian",365,60,310 
"      Moldovan",230,140,100 
"      Polish",17385,1445,15940 
"      Romanian",2740,515,2230 
"      Russian",13280,1360,11925 
"      Slovak",470,50,420 
"      Ukrainian",47175,10215,36955 
"      Eastern European origins, n.i.e. [11]",85,20,70 
"    Southern European origins",10040,2140,7895 
"      Albanian",145,115,40 
"      Bosnian",225,130,100 
"      Catalan",0,0,0 
"      Croatian",1035,160,870 
"      Cypriot",20,0,10 
"      Greek",815,295,525 
"      Italian",4080,575,3505 
"      Kosovar",20,0,20 
"      Macedonian",65,45,20 
"      Maltese",65,10,60 
"      Montenegrin",25,0,20 
"      Portuguese",965,285,680 
"      Serbian",390,130,260 
"      Sicilian",60,0,60 
"      Slovenian",260,25,235 
"      Spanish",2145,355,1790 
"      Yugoslavian, n.o.s. [12]",305,30,280 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",1235,330,905 
"      Basque",25,0,20 
"      Jewish",550,55,490 
"      Roma (Gypsy)",50,10,35 
"      Slavic, n.o.s. [14]",55,20,40 
"      Other European origins, n.i.e. [15]",560,240,320 
"  Caribbean origins",1485,495,990 
"    Antiguan",0,0,0 
"    Bahamian",10,10,0 
"    Barbadian",35,0,35 
"    Bermudan",15,10,10 
"    Carib",10,0,10 
"    Cuban",85,25,65 
"    Dominican",45,20,25 
"    Grenadian",10,10,10 
"    Guadeloupean",0,0,0 
"    Haitian",60,25,40 
"    Jamaican",850,355,495 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",25,0,25 
"    St. Lucian",30,10,15 
"    Trinidadian/Tobagonian",190,15,170 
"    Vincentian/Grenadinian",10,10,0 
"    West Indian, n.o.s. [16]",105,20,75 
"    Caribbean origins, n.i.e. [17]",80,0,80 
"  Latin, Central and South American origins",2690,1265,1425 
