"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Strathmore"
"Global non-response rate (GNR) =   4.2 %"
"Generation status (4) = Total - Generation status [1]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [2]","  Single ethnic origin responses [3]","  Multiple ethnic origin responses [4]", 
"Total - Ethnic origin [5]",13390,5485,7910 
"  North American Aboriginal origins",1015,145,875 
"    First Nations (North American Indian)",580,85,490 
"    Inuit",25,0,20 
"    Métis",440,60,385 
"  Other North American origins",4415,2105,2310 
"    Acadian",15,10,15 
"    American",295,40,255 
"    Canadian",4195,2040,2155 
"    New Brunswicker",0,0,0 
"    Newfoundlander",40,20,15 
"    Nova Scotian",0,0,0 
"    Ontarian",0,0,0 
"    Québécois",0,0,0 
"    Other North American origins, n.i.e. [6]",0,0,0 
"  European origins",10335,2555,7780 
"    British Isles origins",6750,1000,5745 
"      Channel Islander",0,0,0 
"      Cornish",0,0,0 
"      English",3880,520,3365 
"      Irish",2390,195,2195 
"      Manx",0,0,0 
"      Scottish",2950,180,2770 
"      Welsh",260,0,245 
"      British Isles origins, n.i.e. [7]",450,95,360 
"    French origins",1715,160,1555 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",1715,160,1555 
"    Western European origins (except French origins)",4465,810,3655 
"      Austrian",175,15,160 
"      Bavarian",0,0,0 
"      Belgian",55,10,50 
"      Dutch",1025,250,775 
"      Flemish",15,10,15 
"      Frisian",10,0,0 
"      German",3555,525,3025 
"      Luxembourger",10,0,0 
"      Swiss",100,10,90 
"      Western European origins, n.i.e. [8]",0,0,0 
"    Northern European origins (except British Isles origins)",1620,145,1475 
"      Danish",455,60,395 
"      Finnish",80,10,75 
"      Icelandic",90,0,85 
"      Norwegian",710,70,645 
"      Swedish",365,10,355 
"      Northern European origins, n.i.e. [9]",65,0,65 
"    Eastern European origins",2070,275,1795 
"      Bulgarian",0,0,0 
"      Byelorussian",0,0,0 
"      Czech",55,0,50 
"      Czechoslovakian, n.o.s. [10]",40,0,40 
"      Estonian",0,0,0 
"      Hungarian",220,40,180 
"      Latvian",25,0,25 
"      Lithuanian",40,10,35 
"      Moldovan",0,0,0 
"      Polish",515,50,460 
"      Romanian",75,10,65 
"      Russian",440,20,420 
"      Slovak",15,0,10 
"      Ukrainian",1065,150,910 
"      Eastern European origins, n.i.e. [11]",0,0,0 
"    Southern European origins",590,135,450 
"      Albanian",0,0,0 
"      Bosnian",0,0,0 
"      Catalan",0,0,0 
"      Croatian",25,0,20 
"      Cypriot",0,0,0 
"      Greek",95,55,40 
"      Italian",360,40,320 
"      Kosovar",0,0,0 
"      Macedonian",0,0,0 
"      Maltese",0,0,0 
"      Montenegrin",0,0,0 
"      Portuguese",25,20,10 
"      Serbian",20,0,15 
"      Sicilian",0,0,0 
"      Slovenian",0,0,10 
"      Spanish",55,0,55 
"      Yugoslavian, n.o.s. [12]",20,20,0 
"      Southern European origins, n.i.e. [13]",0,0,0 
"    Other European origins",40,30,10 
"      Basque",0,0,0 
"      Jewish",10,0,10 
"      Roma (Gypsy)",0,0,0 
"      Slavic, n.o.s. [14]",0,0,0 
"      Other European origins, n.i.e. [15]",35,25,0 
"  Caribbean origins",120,25,90 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",0,0,0 
"    Bermudan",0,0,0 
"    Carib",0,0,0 
"    Cuban",0,0,0 
"    Dominican",0,0,0 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",10,0,10 
"    Jamaican",70,15,50 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",10,0,10 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",0,0,0 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [16]",30,0,30 
"    Caribbean origins, n.i.e. [17]",0,0,0 
"  Latin, Central and South American origins",80,35,45 
"    Aboriginal from Central/South America (except Arawak and Maya)",0,0,0 
"    Arawak",0,0,0 
"    Argentinian",10,10,10 
"    Belizean",0,0,0 
"    Bolivian",0,0,0 
"    Brazilian",10,10,0 
"    Chilean",0,0,0 
"    Colombian",0,10,0 
"    Costa Rican",0,0,0 
"    Ecuadorian",0,0,0 
"    Guatemalan",0,0,0 
"    Guyanese",15,0,15 
"    Hispanic",0,0,0 
"    Honduran",0,0,0 
"    Maya",0,0,0 
"    Mexican",20,0,15 
"    Nicaraguan",0,0,0 
"    Panamanian",15,10,10 
"    Paraguayan",0,0,0 
"    Peruvian",0,0,0 
"    Salvadorean",0,0,0 
"    Uruguayan",0,0,0 
"    Venezuelan",0,0,0 
"    Latin, Central and South American origins, n.i.e. [18]",0,0,0 
"  African origins",140,100,40 
"    Central and West African origins",30,20,10 
"      Akan",0,0,0 
"      Angolan",0,0,0 
"      Ashanti",0,0,0 
"      Beninese",0,0,0 
"      Burkinabe",0,0,0 
"      Cameroonian",0,0,0 
"      Chadian",0,0,0 
"      Congolese",0,0,0 
"      Edo",0,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",0,0,0 
"      Ghanaian",0,0,0 
"      Guinean",0,0,0 
"      Ibo",0,0,0 
"      Ivorian",0,0,0 
"      Liberian",0,0,0 
"      Malian",0,0,0 
"      Malinké",0,0,0 
"      Nigerian",25,25,0 
"      Peulh",0,0,0 
"      Senegalese",0,0,0 
"      Sierra Leonean",0,0,0 
"      Togolese",0,0,0 
"      Wolof",0,0,0 
"      Yoruba",0,0,0 
"      Central and West African origins, n.i.e. [19]",0,0,0 
"    North African origins",10,10,0 
"      Algerian",0,0,0 
"      Berber",0,0,0 
"      Coptic",0,0,0 
"      Dinka",0,0,0 
"      Egyptian",0,0,0 
"      Libyan",0,0,0 
