"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Whitehorse [1]"
"Global non-response rate (GNR) =   5.5 %"
"Generation status (4) = Total - Generation status [2]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [3]","  Single ethnic origin responses [4]","  Multiple ethnic origin responses [5]", 
"Total - Ethnic origin [6]",27660,10595,17065 
"  North American Aboriginal origins",4995,1315,3680 
"    First Nations (North American Indian)",4065,1130,2935 
"    Inuit",345,80,270 
"    Métis",870,105,765 
"  Other North American origins",8095,2775,5320 
"    Acadian",135,15,120 
"    American",545,30,515 
"    Canadian",7540,2695,4845 
"    New Brunswicker",0,0,0 
"    Newfoundlander",50,15,35 
"    Nova Scotian",0,0,0 
"    Ontarian",0,0,0 
"    Québécois",75,15,60 
"    Other North American origins, n.i.e. [7]",10,10,10 
"  European origins",20600,4435,16165 
"    British Isles origins",14660,1945,12715 
"      Channel Islander",0,0,0 
"      Cornish",10,0,10 
"      English",8415,990,7425 
"      Irish",5765,285,5485 
"      Manx",10,10,0 
"      Scottish",7050,480,6570 
"      Welsh",755,35,715 
"      British Isles origins, n.i.e. [8]",1005,150,855 
"    French origins",4150,360,3785 
"      Alsatian",0,0,10 
"      Breton",15,0,15 
"      Corsican",0,0,0 
"      French",4125,365,3765 
"    Western European origins (except French origins)",6435,1130,5300 
"      Austrian",285,25,260 
"      Bavarian",10,0,0 
"      Belgian",150,15,135 
"      Dutch",1525,245,1285 
"      Flemish",10,0,10 
"      Frisian",15,0,15 
"      German",4630,755,3875 
"      Luxembourger",10,10,0 
"      Swiss",345,80,265 
"      Western European origins, n.i.e. [9]",30,10,25 
"    Northern European origins (except British Isles origins)",2815,205,2605 
"      Danish",485,15,470 
"      Finnish",245,55,190 
"      Icelandic",200,20,180 
"      Norwegian",1140,75,1060 
"      Swedish",935,40,895 
"      Northern European origins, n.i.e. [10]",160,0,165 
"    Eastern European origins",3865,495,3380 
"      Bulgarian",40,0,45 
"      Byelorussian",20,0,20 
"      Czech",140,35,105 
"      Czechoslovakian, n.o.s. [11]",30,0,25 
"      Estonian",15,10,10 
"      Hungarian",450,95,360 
"      Latvian",50,10,40 
"      Lithuanian",35,0,40 
"      Moldovan",0,0,0 
"      Polish",975,80,895 
"      Romanian",120,0,115 
"      Russian",655,75,580 
"      Slovak",95,15,85 
"      Ukrainian",1945,170,1775 
"      Eastern European origins, n.i.e. [12]",30,0,30 
"    Southern European origins",1260,220,1035 
"      Albanian",10,10,0 
"      Bosnian",10,0,15 
"      Catalan",0,0,0 
"      Croatian",50,20,30 
"      Cypriot",0,0,0 
"      Greek",65,0,55 
"      Italian",785,80,705 
"      Kosovar",0,0,0 
"      Macedonian",10,10,0 
"      Maltese",0,0,10 
"      Montenegrin",0,0,0 
"      Portuguese",60,20,40 
"      Serbian",10,0,0 
"      Sicilian",10,0,10 
"      Slovenian",45,40,0 
"      Spanish",235,25,210 
"      Yugoslavian, n.o.s. [13]",15,0,10 
"      Southern European origins, n.i.e. [14]",0,0,0 
"    Other European origins",340,80,260 
"      Basque",20,0,15 
"      Jewish",135,0,135 
"      Roma (Gypsy)",0,0,10 
"      Slavic, n.o.s. [15]",25,0,25 
"      Other European origins, n.i.e. [16]",160,75,90 
"  Caribbean origins",135,20,120 
"    Antiguan",0,0,0 
"    Bahamian",0,0,10 
