"Ethnic Origin (279), Single and Multiple Ethnic Origin Responses (3), Generation Status (4), Age (12) and Sex (3) for the Population in Private Households of Canada, Provinces and Territories, Census Metropolitan Areas and Census Agglomerations, 2016 Census - 25% Sample Data"
"Geography = Williams Lake [1]"
"Global non-response rate (GNR) =   5.8 %"
"Generation status (4) = Total - Generation status [2]"
"Age (12) = Total - Age"
"Sex (3) = Total - Sex"
"Ethnic origin (279)","Total - Single and multiple ethnic origin responses [3]","  Single ethnic origin responses [4]","  Multiple ethnic origin responses [5]", 
"Total - Ethnic origin [6]",17835,7690,10150 
"  North American Aboriginal origins",3855,1405,2445 
"    First Nations (North American Indian)",3160,1305,1855 
"    Inuit",25,0,25 
"    Métis",785,100,685 
"  Other North American origins",5235,2340,2895 
"    Acadian",10,10,0 
"    American",420,20,400 
"    Canadian",4985,2310,2675 
"    New Brunswicker",0,0,0 
"    Newfoundlander",10,0,10 
"    Nova Scotian",0,0,0 
"    Ontarian",0,0,0 
"    Québécois",0,0,0 
"    Other North American origins, n.i.e. [7]",0,0,0 
"  European origins",12925,3250,9670 
"    British Isles origins",9050,1590,7465 
"      Channel Islander",0,0,0 
"      Cornish",10,0,0 
"      English",5590,900,4690 
"      Irish",3270,280,2985 
"      Manx",0,0,0 
"      Scottish",4260,340,3920 
"      Welsh",545,10,530 
"      British Isles origins, n.i.e. [8]",265,65,200 
"    French origins",2255,185,2070 
"      Alsatian",0,0,0 
"      Breton",0,0,0 
"      Corsican",0,0,0 
"      French",2255,180,2075 
"    Western European origins (except French origins)",4455,775,3675 
"      Austrian",215,30,185 
"      Bavarian",0,0,0 
"      Belgian",105,0,100 
"      Dutch",1040,230,810 
"      Flemish",10,0,10 
"      Frisian",0,0,0 
"      German",3270,495,2775 
"      Luxembourger",0,0,0 
"      Swiss",165,20,145 
"      Western European origins, n.i.e. [9]",0,0,10 
"    Northern European origins (except British Isles origins)",1625,155,1475 
"      Danish",190,25,170 
"      Finnish",125,10,120 
"      Icelandic",120,0,115 
"      Norwegian",720,70,645 
"      Swedish",590,30,555 
"      Northern European origins, n.i.e. [10]",65,0,55 
"    Eastern European origins",2425,380,2050 
"      Bulgarian",0,0,0 
"      Byelorussian",0,0,10 
"      Czech",90,30,55 
"      Czechoslovakian, n.o.s. [11]",15,0,10 
"      Estonian",25,10,20 
"      Hungarian",200,20,180 
"      Latvian",0,0,0 
"      Lithuanian",15,0,15 
"      Moldovan",0,0,0 
"      Polish",550,70,480 
"      Romanian",185,0,180 
"      Russian",515,90,425 
"      Slovak",15,0,10 
"      Ukrainian",1190,145,1040 
"      Eastern European origins, n.i.e. [12]",0,0,0 
"    Southern European origins",715,130,585 
"      Albanian",0,0,0 
"      Bosnian",0,0,0 
"      Catalan",0,0,0 
"      Croatian",95,30,70 
"      Cypriot",0,0,0 
"      Greek",20,0,25 
"      Italian",415,55,360 
"      Kosovar",0,0,0 
"      Macedonian",0,0,0 
"      Maltese",10,0,10 
"      Montenegrin",0,0,0 
"      Portuguese",65,40,30 
"      Serbian",10,0,0 
"      Sicilian",0,0,0 
"      Slovenian",0,0,0 
"      Spanish",110,10,100 
"      Yugoslavian, n.o.s. [13]",20,0,15 
"      Southern European origins, n.i.e. [14]",0,0,0 
"    Other European origins",110,45,65 
"      Basque",0,0,0 
"      Jewish",25,10,15 
"      Roma (Gypsy)",0,0,0 
"      Slavic, n.o.s. [15]",0,0,0 
"      Other European origins, n.i.e. [16]",85,40,50 
"  Caribbean origins",50,10,45 
"    Antiguan",0,0,0 
"    Bahamian",0,0,0 
"    Barbadian",0,0,0 
"    Bermudan",20,0,20 
"    Carib",0,0,0 
"    Cuban",0,0,0 
"    Dominican",0,0,0 
"    Grenadian",0,0,0 
"    Guadeloupean",0,0,0 
"    Haitian",10,0,10 
"    Jamaican",15,10,0 
"    Kittitian/Nevisian",0,0,0 
"    Martinican",0,0,0 
"    Montserratan",0,0,0 
"    Puerto Rican",0,0,0 
"    St. Lucian",0,0,0 
"    Trinidadian/Tobagonian",0,0,0 
"    Vincentian/Grenadinian",0,0,0 
"    West Indian, n.o.s. [17]",0,0,0 
"    Caribbean origins, n.i.e. [18]",10,0,10 
"  Latin, Central and South American origins",140,20,120 
"    Aboriginal from Central/South America (except Arawak and Maya)",10,0,15 
"    Arawak",0,0,0 
"    Argentinian",0,0,0 
"    Belizean",0,0,0 
"    Bolivian",0,0,0 
"    Brazilian",10,0,10 
"    Chilean",30,10,20 
"    Colombian",0,0,0 
"    Costa Rican",0,0,0 
"    Ecuadorian",0,0,0 
"    Guatemalan",0,0,0 
"    Guyanese",0,0,0 
"    Hispanic",0,0,0 
"    Honduran",0,0,0 
"    Maya",0,0,0 
"    Mexican",85,0,80 
"    Nicaraguan",0,0,0 
"    Panamanian",0,0,0 
"    Paraguayan",0,0,10 
"    Peruvian",0,0,0 
"    Salvadorean",0,0,0 
"    Uruguayan",0,0,0 
"    Venezuelan",0,0,0 
"    Latin, Central and South American origins, n.i.e. [19]",0,0,0 
"  African origins",85,25,60 
"    Central and West African origins",20,0,10 
"      Akan",0,0,0 
"      Angolan",0,0,0 
"      Ashanti",0,0,0 
"      Beninese",0,0,0 
"      Burkinabe",0,0,0 
"      Cameroonian",0,0,0 
"      Chadian",0,0,0 
"      Congolese",0,0,0 
"      Edo",0,0,0 
"      Ewe",0,0,0 
"      Gabonese",0,0,0 
"      Gambian",0,0,0 
"      Ghanaian",0,0,0 
"      Guinean",0,0,0 
"      Ibo",0,0,0 
"      Ivorian",0,0,0 
"      Liberian",0,0,0 
"      Malian",0,0,0 
"      Malinké",0,0,0 
"      Nigerian",15,10,15 
"      Peulh",0,0,0 
