nationality,total_population,total_population_MOE_Appx,percentage
Total Classes in CSV,169,,
American Samoa,212,357.46888732434223,0.003346297077625095
Albania,615,608.834752802378,0.009707418409148271
Austria,826,705.5819791838983,0.013037931066595888
Belgium,949,756.2893525483832,0.014979414748425544
Bulgaria,954,758.2788846414232,0.015058336849312928
Czechoslovakia,536,568.3893424894007,0.008460449215127598
Denmark,832,708.1397837693995,0.01313263758766075
Finland,474,534.5077429703892,0.007481815164124034
France,2877,1316.6926753500604,0.04541177685060094
Germany,15546,3058.850275499191,0.2453845960790553
Greece,2670,1268.453223158324,0.04214440187386323
Hungary,1335,896.9896394194363,0.021072200936931615
Iceland,223,366.6253741189299,0.00351992569957734
Ireland,2107,1126.8416445320488,0.03325777331394375
Italy,4992,1734.2330537880396,0.07879582552596451
Netherlands,1359,905.015504615694,0.021451027021191057
Norway,408,495.9024958261395,0.006440043432410561
Poland,3757,1504.5847230360184,0.05930206660678057
Portugal,753,673.6843736325525,0.01188566839364008
Azores Islands,90,232.91321394631763,0.0014205978159729177
Romania,3060,1357.9111916592444,0.0483003257430792
Spain,1924,1076.8048145535392,0.030369224421465484
Sweden,1660,1000.2165344662046,0.026202137494611595
Switzerland,810,698.7153770993268,0.012785380343756259
"United Kingdom, n.o.s",8525,2265.913435375064,0.13456218201299025
England,9660,2411.908840247301,0.1524774989144265
Scotland,1619,987.7891893825338,0.02555497626733504
Northern Ireland,194,341.9570485821295,0.0030621775144305118
Yugoslavia,219,363.3224455897535,0.003456788018867433
Czech Republic,524,561.9910848109387,0.008271036172997875
Slovakia,366,469.6860212794334,0.005777097784956532
Bosnia and Herzegovina,1929,1078.202821304206,0.03044814652235287
Croatia,537,568.9192819170894,0.008476233635305076
Macedonia,95,239.29552188133653,0.001499519916860302
Serbia,282,412.2810808651148,0.004451206490048476
Latvia,364,468.4010133809442,0.005745528944601578
Lithuania,204,350.6594677948231,0.0032200217162052804
Armenia,111,258.6627693615484,0.0017520706396999318
Azerbaijan,300,425.2350970613934,0.004735326053243059
Belarus,937,751.4929779052825,0.014790001706295821
Georgia (country),52,177.04160628751418,0.0008207898492287969
Moldova,1677,1005.3242549572328,0.0264704726376287
Russia,7270,2092.6164421862804,0.1147527346902568
Ukraine,5118,1755.972343097587,0.08078466246832659
USSR,647,624.4725409343581,0.01021251985482753
Europe,59,188.58169227461067,0.000931280790471135
Kosovo,80,219.592789922772,0.001262753614198149
Montenegro,184,333.02728441869857,0.002904333312655743
"Other Europe, n.o.s",633,617.6797368681661,0.009991537972342854
Afghanistan,1120,821.599770368194,0.017678550598774087
Bangladesh,2056,1113.12322580125,0.03245276788489243
Bhutan,1398,917.9077990667369,0.022066619408112654
Myanmar,4222,1594.943933905779,0.06664182198930732
Cambodia,2618,1256.0436615185345,0.04132361202463443
China,28502,4139.182754362239,0.4498875438984456
Hong Kong,2089,1122.019017674722,0.03297365375074916
India,77157,6794.230113866599,1.2178785076335825
Indonesia,1740,1024.0305984087674,0.027464891108809744
Iran,4089,1569.6312946234311,0.0645424941057029
Iraq,2324,1183.4342566853406,0.03668299249245623
Israel,1167,838.6596360793013,0.0184204183471155
Japan,6301,1948.2625284395544,0.09945763153828172
Jordan,2004,1098.95937293039,0.03163197803566364
Korea,15971,3100.3164685714937,0.252092974654483
Kazakhstan,1128,824.5285159282948,0.017804825960193903
Kyrgyzstan,110,257.49499807684583,0.001736286219522455
Kuwait,736,666.0368359758218,0.011617333250622973
Laos,6213,1934.6181551887464,0.09806860256266374
Lebanon,2269,1169.349878718548,0.035814849382695
Malaysia,2116,1129.2452282993995,0.033399833095541044
Mongolia,108,255.1434209368459,0.0017047173791675011
Nepal,4486,1644.0325402094152,0.0708089089161612
Pakistan,6057,1910.1903140685297,0.09560623301497737
Philippines,20113,3478.4958509455337,0.31747204302959214
Saudi Arabia,1206,852.5564614311546,0.019036010734037098
Singapore,586,594.3076108227426,0.009249670224001442
Sri Lanka,1347,901.0115131244818,0.021261613979061334
Syria,1746,1025.7943520877222,0.027559597629874606
Taiwan,3188,1386.0124421794785,0.05032073152579624
Thailand,6124,1920.7199112980643,0.09666378916686831
Turkey,2449,1214.8365462237475,0.038656045014640844
United Arab Emirates,364,468.4010133809442,0.005745528944601578
Uzbekistan,388,483.5957708923885,0.0061243550288610235
Vietnam,22896,3710.859036677557,0.36140008438351023
Yemen,1209,853.6160728862014,0.01908336399456953
Asia,915,742.6191414842317,0.014442744462391329
"South Central Asia, n.o.s",70,205.41034519412557,0.0011049094124233804
"Other Asia, n.o.s",270,403.4140180413024,0.004261793447918753
Bermuda,288,416.6438445524237,0.004545913011113336
Canada,17966,3287.939474635255,0.2835828929085493
Mexico,219250,11373.729494851386,3.4607341239118026
Belize,376,476.0590276984704,0.005934941986731301
Costa Rica,3116,1370.276487153769,0.049184253273017904
El Salvador,32381,4411.035709412136,0.5111153097668784
Guatemala,21567,3601.781932745683,0.3404225899676435
Honduras,37868,4768.879053690666,0.5977244232806939
Nicaragua,4181,1587.1839005032446,0.06599466076203077
Panama,3208,1390.3518956091943,0.050636419929345776
Antigua & Barbuda,487,541.7875716653374,0.007687012626431232
Bahamas,833,708.5651865692786,0.013148422007838226
Barbados,974,766.1853341598185,0.015374025252862465
Cuba,8672,2285.349748528585,0.13688249177907938
Dominica,270,403.4140180413024,0.004261793447918753
Dominican Republic,14357,2939.718049600026,0.22661692048803533
Grenada,773,682.5717560325545,0.012201356797189616
Haiti,4906,1719.2369847463203,0.0774383653907015
Jamaica,10373,2499.249225123849,0.1637317905009675
St. Kitts-Nevis,146,296.65257906435073,0.0023045253459116222
St Lucia,251,388.9612721101885,0.0039618894645466925
St Vincent & the Grenadines,118,266.6940279273681,0.00186256158094227
Trinidad & Tobago,3089,1364.3286559127057,0.04875807392822603
West Indies,378,477.3234168898143,0.005966510827086254
"Caribbean, n.o.s",282,412.2810808651148,0.004451206490048476
Argentina,3376,1426.2815110359468,0.05328820251916189
Bolivia,374,474.7912709074547,0.005903373146376347
Brazil,8137,2213.78995362729,0.12843782698412923
Chile,2313,1180.630834693911,0.036509363870503984
Colombia,15995,3102.6414566814105,0.2524718007387424
Ecuador,6783,2021.3594262217623,0.10706572206382557
Guyana,2365,1193.8253271813169,0.037330153719732785
Paraguay,172,321.98480667314607,0.0027149202705260204
Peru,6264,1942.537394506818,0.09887360799171506
Uruguay,1155,834.3371024080753,0.018231005304985778
Venezuela,8799,2302.0090969831617,0.13888711314161892
South America,413,498.93174085654425,0.006518965533297944
"Americas, n.o.s",204,350.6594677948231,0.0032200217162052804
Algeria,565,583.5621930932089,0.008918197400274427
Cameroon,1128,824.5285159282948,0.017804825960193903
Cabo Verde,94,238.03275134464332,0.0014837354966828252
Congo,2778,1293.8462862609613,0.04384911925303073
Egypt,3431,1437.848868870187,0.054156345628923123
Ethiopia,4268,1603.6055407660006,0.06736790531747125
Eritrea,1546,965.2662431919808,0.024402713594379233
Gambia,433,510.8691022492264,0.006834653936847482
Ghana,3605,1473.8451945622812,0.05690283473980409
Guinea,241,381.13447308878045,0.0038040452627719243
Ivory Coast,896,734.869114623961,0.014142840479019269
