origin,population
Total:,"67,209"
Europe:,"5,663"
Denmark,3
Ireland,101
Norway,13
Sweden,14
"United Kingdom, excluding England and Scotland",217
England,590
Scotland,147
Other Northern Europe,34
Austria,76
Belgium,0
France,112
Germany,"1,049"
Netherlands,341
Switzerland,45
Other Western Europe,0
Greece,184
Italy,526
Portugal,81
Azores Islands,0
Spain,203
Other Southern Europe,0
Albania,48
Belarus,28
Bosnia and Herzegovina,0
Bulgaria,319
Croatia,16
Czechoslovakia (includes Czech Republic and Slovakia),31
Hungary,108
Latvia,49
Lithuania,9
Moldova,20
North Macedonia (Macedonia),0
Poland,448
Romania,57
Russia,478
Serbia,100
Ukraine,139
Other Eastern Europe,77
"Europe, n.o.c.",0
"China, excluding Hong Kong and Taiwan","5,022"
Hong Kong,724
Taiwan,739
Japan,372
Korea,"1,063"
Other Eastern Asia,0
Afghanistan,58
Bangladesh,768
Bhutan,0
India,"10,288"
Iran,198
Kazakhstan,11
Nepal,180
Pakistan,"1,041"
Sri Lanka,155
Uzbekistan,19
Other South Central Asia,153
Burma (Myanmar),8
Cambodia,13
Indonesia,40
Laos,35
Malaysia,128
Philippines,"1,739"
Singapore,12
Thailand,130
Vietnam,964
Other South Eastern Asia,7
Armenia,5
Azerbaijan,0
Georgia,0
Iraq,0
Israel,51
Jordan,73
Kuwait,18
Lebanon,253
Saudi Arabia,88
Syria,31
Turkey,699
United Arab Emirates,64
Yemen,396
Other Western Asia,171
"Asia, n.o.c.",0
Eritrea,130
Ethiopia,268
Kenya,"1,574"
Somalia,0
Tanzania,84
Uganda,25
Zimbabwe,91
Other Eastern Africa,53
Cameroon,673
Congo,0
Democratic Republic of Congo (Zaire),170
Other Middle Africa,0
Algeria,48
Egypt,231
Morocco,284
Sudan,63
Other Northern Africa,13
South Africa,177
Other Southern Africa,0
Cabo Verde,0
Ghana,"1,135"
Ivory Coast,137
Liberia,435
Nigeria,"1,779"
Senegal,0
Sierra Leone,396
Togo,34
Other Western Africa,313
"Africa, n.o.c.","1,032"
Australia,89
Other Australian and New Zealand Subregion,3
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,10
Barbados,196
Cuba,353
Dominica,0
Dominican Republic,"2,323"
Grenada,139
Haiti,496
Jamaica,"3,254"
St. Lucia,43
St. Vincent and the Grenadines,101
Trinidad and Tobago,"1,142"
West Indies,40
Other Caribbean,220
Belize,10
Costa Rica,232
El Salvador,350
Guatemala,751
Honduras,559
Mexico,"11,498"
Nicaragua,7
Panama,359
Other Central America,0
Argentina,423
Bolivia,42
Brazil,456
Chile,363
Colombia,948
Ecuador,314
Guyana,439
Peru,358
Uruguay,18
Venezuela,352
Other South America,68
Canada,616
Other Northern America,113
