origin,population
Total:,"14,624"
Europe:,"5,425"
Denmark,12
Ireland,49
Norway,0
Sweden,19
"United Kingdom, excluding England and Scotland",252
England,174
Scotland,53
Other Northern Europe,0
Austria,45
Belgium,0
France,33
Germany,666
Netherlands,0
Switzerland,2
Other Western Europe,0
Greece,45
Italy,332
Portugal,"1,311"
Azores Islands,38
Spain,146
Other Southern Europe,0
Albania,0
Belarus,71
Bosnia and Herzegovina,0
Bulgaria,0
Croatia,16
Czechoslovakia (includes Czech Republic and Slovakia),87
Hungary,30
Latvia,0
Lithuania,33
Moldova,24
North Macedonia (Macedonia),0
Poland,484
Romania,27
Russia,769
Serbia,0
Ukraine,447
Other Eastern Europe,151
"Europe, n.o.c.",147
"China, excluding Hong Kong and Taiwan",201
Hong Kong,0
Taiwan,0
Japan,19
Korea,95
Other Eastern Asia,97
Afghanistan,0
Bangladesh,74
Bhutan,0
India,107
Iran,30
Kazakhstan,247
Nepal,0
Pakistan,149
Sri Lanka,34
Uzbekistan,41
Other South Central Asia,0
Burma (Myanmar),0
Cambodia,24
Indonesia,71
Laos,0
Malaysia,0
Philippines,793
Singapore,0
Thailand,217
Vietnam,208
Other South Eastern Asia,0
Armenia,16
Azerbaijan,0
Georgia,14
Iraq,0
Israel,0
Jordan,15
Kuwait,0
Lebanon,0
Saudi Arabia,16
Syria,49
Turkey,18
United Arab Emirates,0
Yemen,0
Other Western Asia,0
"Asia, n.o.c.",0
Eritrea,0
Ethiopia,0
Kenya,0
Somalia,0
Tanzania,0
Uganda,0
Zimbabwe,0
Other Eastern Africa,35
Cameroon,0
Congo,0
Democratic Republic of Congo (Zaire),0
Other Middle Africa,15
Algeria,0
Egypt,17
Morocco,0
Sudan,0
Other Northern Africa,11
South Africa,7
Other Southern Africa,0
Cabo Verde,0
Ghana,0
Ivory Coast,0
Liberia,0
Nigeria,14
Senegal,0
Sierra Leone,19
Togo,0
Other Western Africa,0
"Africa, n.o.c.",0
Australia,67
Other Australian and New Zealand Subregion,0
Fiji,0
Marshall Islands,0
Micronesia,0
"Oceania, n.o.c.",0
Bahamas,0
Barbados,61
Cuba,565
Dominica,0
Dominican Republic,183
Grenada,0
Haiti,466
Jamaica,370
St. Lucia,0
St. Vincent and the Grenadines,0
Trinidad and Tobago,268
West Indies,0
Other Caribbean,39
Belize,12
Costa Rica,60
El Salvador,330
Guatemala,166
Honduras,16
Mexico,347
Nicaragua,37
Panama,82
Other Central America,0
Argentina,102
Bolivia,0
Brazil,690
Chile,0
Colombia,859
Ecuador,134
Guyana,512
Peru,534
Uruguay,43
Venezuela,55
Other South America,57
Canada,485
Other Northern America,6
