ID Race,Race,ID Ethnicity,Ethnicity,ID Year,Year,Hispanic Population Moe,Geography,ID Geography,Slug Geography,Population,share
0,"White Alone",0,"Not Hispanic or Latino",2021,"2021",2447,"New York, NY","16000US3651000","new-york-ny",2790346,0.3194060196791524
0,"White Alone",1,"Hispanic or Latino",2021,"2021",11206,"New York, NY","16000US3651000","new-york-ny",684459,0.07834882298595693
1,"Black or African American Alone",0,"Not Hispanic or Latino",2021,"2021",6005,"New York, NY","16000US3651000","new-york-ny",1844333,0.21111756839220303
1,"Black or African American Alone",1,"Hispanic or Latino",2021,"2021",6178,"New York, NY","16000US3651000","new-york-ny",198227,0.022690697520285776
2,"American Indian & Alaska Native Alone",0,"Not Hispanic or Latino",2021,"2021",1204,"New York, NY","16000US3651000","new-york-ny",15510,0.0017754025361814102
2,"American Indian & Alaska Native Alone",1,"Hispanic or Latino",2021,"2021",3041,"New York, NY","16000US3651000","new-york-ny",30274,0.003465411758888202
3,"Asian Alone",0,"Not Hispanic or Latino",2021,"2021",4147,"New York, NY","16000US3651000","new-york-ny",1233852,0.14123687750306288
3,"Asian Alone",1,"Hispanic or Latino",2021,"2021",1448,"New York, NY","16000US3651000","new-york-ny",10658,0.0012200025938505139
4,"Native Hawaiian & Other Pacific Islander Alone",0,"Not Hispanic or Latino",2021,"2021",551,"New York, NY","16000US3651000","new-york-ny",2589,0.0002963582956914037
4,"Native Hawaiian & Other Pacific Islander Alone",1,"Hispanic or Latino",2021,"2021",865.0000000000001,"New York, NY","16000US3651000","new-york-ny",3011,0.0003446638966113621
5,"Some Other Race Alone",0,"Not Hispanic or Latino",2021,"2021",4959,"New York, NY","16000US3651000","new-york-ny",89779,0.010276844893348215
5,"Some Other Race Alone",1,"Hispanic or Latino",2021,"2021",14453.000000000002,"New York, NY","16000US3651000","new-york-ny",1212006,0.13873620414359034
6,"Two or More Races",0,"Not Hispanic or Latino",2021,"2021",6850.274884995492,"New York, NY","16000US3651000","new-york-ny",238616,0.02731395561402085
6,"Two or More Races",1,"Hispanic or Latino",2021,"2021",9381.942496093227,"New York, NY","16000US3651000","new-york-ny",382387,0.04377117018715673
0,"White Alone",0,"Not Hispanic or Latino",2020,"2020",2094,"New York, NY","16000US3651000","new-york-ny",2676732,0.31943617033464317
0,"White Alone",1,"Hispanic or Latino",2020,"2020",11508,"New York, NY","16000US3651000","new-york-ny",786554,0.09386587731659163
1,"Black or African American Alone",0,"Not Hispanic or Latino",2020,"2020",5506,"New York, NY","16000US3651000","new-york-ny",1795055,0.2142184928263468
1,"Black or African American Alone",1,"Hispanic or Latino",2020,"2020",5482,"New York, NY","16000US3651000","new-york-ny",201066,0.02399483886489397
