Cuisine Type,Name,Address,Website
Mexican,La Taqueria Pinche Taco Shop,"4580 Brentwood Blvd Unit 1210, Burnaby, BC V5C 3Z6, Canada",http://www.lataqueria.com/
Mexican,Don Oso's Restaurant - Burnaby,"4421 Hastings St, Burnaby, BC V5C 2K1, Canada",https://www.donososrestaurant.com/
Mexican,Quesada Burritos & Tacos,"8961 Cornerstone Mews, Burnaby, BC V5A 4Y7, Canada",http://www.quesada.ca/
Mexican,Chipotle Mexican Grill,"3778 Grande Prom. unit 440, Burnaby, BC V3J 1N5, Canada",https://locations.chipotle.ca/bc/burnaby/3778-grand-promenade?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Chipotle Mexican Grill,"4700 Kingsway #2200, Burnaby, BC V5H 4M1, Canada",https://locations.chipotle.ca/bc/burnaby/4700-kingsway?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Mucho Burrito Fresh Mexican Grill,"100, 7515 Market Crossing #100, Burnaby, BC V5J 0A3, Canada",https://locations.muchoburrito.com/ll/CA/BC/Burnaby/100~7515-Market-Crossing
Mexican,Quesada Burritos & Tacos,"4297 Hastings St, Burnaby, BC V5C 2J5, Canada",http://www.quesada.ca/
Mexican,Quesada Burritos & Tacos,"7155 Kingsway #245, Burnaby, BC V5E 2V1, Canada",http://www.quesada.ca/
Mexican,Market Cocina,"4420 Lougheed Hwy., Burnaby, BC V5C 3Z3, Canada",
Mexican,Chronic Tacos,"4820 Kingsway #324, Burnaby, BC V5H 4P1, Canada",http://www.chronictacos.com/metro-town
Mexican,Quesada Burritos & Tacos,"8605 Glenlyon Pkwy, Burnaby, BC V5J 0B9, Canada",http://www.quesada.ca/
Mexican,Tacofino Metrotown,"6036 McKay Ave, Burnaby, BC V5H 4L6, Canada",https://www.tacofino.com/
Mexican,Olivo Cafe,"3871 N Fraser Wy Unit 17, Burnaby, BC V5J 5G6, Canada",https://www.instagram.com/olivocafe.burnaby/
Mexican,El Comal,"7650 Winston St, Burnaby, BC V5A 2H4, Canada",http://elcomal.ca/
Mexican,Border Burrito,"4453 Boundary Rd, Vancouver, BC V5R 2N3, Canada",http://borderburrito.ca/
Mexican,Good Taco,"4567 Lougheed Hwy. Unit F16, Burnaby, BC V5C 3Z6, Canada",https://goodtaco.ca/
Mexican,Vallarta's Mexican Restaurant,"2891 E Broadway, Vancouver, BC V5M 1Y9, Canada",https://vallartasmexicanvancouver.com/?
Mexican,CanaMex,"9600 Cameron St, Burnaby, BC V3J 7N3, Canada",https://canamex-e.accountants/training-program/
Mexican,El Chilakil by Body Balance Bar,"4500 Kingsway #1235, Burnaby, BC V5H 2A9, Canada",https://bodybalancebar.ca/
