cuisine,name
Mexican,Cantina del Centro - Kelowna
Mexican,barBURRITO
Mexican,Hector's Casa
Mexican,"El Taquero - Tacos, Tequila & Catering"
Mexican,Fiesta Del Sol
Mexican,Latin Fiesta
Mexican,Mucho Burrito Fresh Mexican Grill
Mexican,Quesada Burritos & Tacos
Mexican,Quesada Burritos & Tacos
Mexican,Quesada Burritos & Tacos
Mexican,TacoTime Hollywood
Mexican,Mucho Burrito Fresh Mexican Grill
Mexican,TAMM Mexican Restaurant
Mexican,Hugo's Mexican Kitchen
Mexican,Chilango Modern Mexican
Mexican,barBURRITO
Mexican,YLW Tacos
Mexican,Hector's Casa Cantina
Mexican,Salsa & Sabor
Mexican,Laneway Canteen
Swedish,Lakeside Dining Room
Swedish,Salt & Brick
Swedish,OAK + CRU Social Kitchen & Wine Bar
Swedish,Krafty Kitchen + Bar
Swedish,Bohemian Café & Catering Co.
Swedish,Okanagan Street Food
Swedish,Curious Cafe
Swedish,Erica Jane Restaurant
Swedish,Gather Restaurant
Swedish,Central Kitchen + Bar
Swedish,My Neighbourhood Restaurant
Swedish,Habibi Tapas Grill
Swedish,Little Hobo Soup & Sandwich Shop
Swedish,Bouchons Bistro
Swedish,Moxies Kelowna Restaurant
Swedish,JOEY Kelowna
Swedish,Skinny Duke's Glorious Emporium
Swedish,Mid-Town Station Kitchen + Drink
Swedish,Gulfstream
Swedish,Waterfront Wines Restaurant
Latvian,USTAAD G76 KELOWNA
Latvian,Erica Jane Restaurant
Latvian,LVS Restaurant
Latvian,Salt & Brick
Latvian,Yamas Taverna
Latvian,Frankie We Salute You!
Latvian,Habibi Tapas Grill
Latvian,Old Vines Restaurant @ Quails' Gate Winery
Latvian,OAK + CRU Social Kitchen & Wine Bar
Latvian,Bouchons Bistro
Latvian,La Bussola Restaurant
Latvian,Maestro's Mediterranean Restaurant and Terrace
Latvian,Okanagan Street Food
Latvian,Krafty Kitchen + Bar
Latvian,My Neighbourhood Restaurant
Latvian,Little Hobo Soup & Sandwich Shop
Latvian,JOEY Kelowna
Latvian,Roma Nord Bistro
Latvian,Cantina del Centro - Kelowna
Latvian,Hector's Casa
Italian,La Bussola Restaurant
Italian,The Old Spaghetti Factory (Kelowna)
Italian,Antico Pizza Napoletana
Italian,Mamma Rosa Restaurant
Italian,La Vela Pizzeria
Italian,Roma Nord Bistro
Italian,City Pizza - Home of the BIG SLICE!
Italian,The Fixx Cafe
Italian,Famoso Italian Pizzeria - Sopa Square
Italian,Pizza Factory
Italian,Vino italian Restaurant
Italian,Gather Restaurant
Italian,YLW Pizza & Pasta
Italian,Villages Pizza
Italian,Okanagan Pizza
Italian,Villages Pizza
Italian,Tutt Street Tapas + Wine
Italian,DunnEnzies Pizza Downtown
Italian,Boston Pizza
