Cuisine Type,Name,Address,Website
Mexican,Little Mexico Cantina,"3131 Chatham St #150, Richmond, BC V7E 2Y4, Canada",https://www.littlemexicocantina.ca/
Mexican,barBURRITO,"11666 Steveston Hwy Unit 3090, Richmond, BC V7A 5J3, Canada",https://www.barburrito.ca/location/richmond-iron-woods/?utm_source=GMB_610&utm_medium=organic
Mexican,El Chiquito,"Sea Island, Richmond, BC V7B 0A6, Canada",https://www.yvr.ca/en/passengers/shop-dine-and-services/dine/536
Mexican,Hugo's Churros & Tacos,"7899 Templeton Station Rd, Richmond, BC V7B 0B7, Canada",https://www.hugosmexicankitchen.com/
Mexican,Chipotle Mexican Grill,"4720 Mcclelland Rd #1845, Richmond, BC V6X 0M6, Canada",https://locations.chipotle.ca/bc/richmond/1845-4720-mcclelland-rd?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Sal y Limón Mexican Cuisine,"3211 Grant McConachie Way Level 3 Departures, Domestic Terminal, Gate C45, Vancouver International Airport, Richmond, BC V7B 0A4, Canada",https://salylimon.ca/
Mexican,La Callejera Mexican Food,"11060 No 5 Rd #155, Richmond, BC V7A 0A2, Canada",https://lacallejera.ca/
Mexican,Taco Del Mar,"3080 St Edwards Dr #108, Richmond, BC V6X 4C4, Canada",https://locations.tacodelmar.com/taco-del-mar-6bd9be357b29?y_source=1_MTE5NzQyMDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Mexican,Taco 'N Todo Mexican Taqueria,"6196 Fraser St, Vancouver, BC V5W 3A1, Canada",https://www.tacontodo.ca/
Mexican,Taco Luis,"5300 No. 3 Rd, Richmond, BC V6X 2X9, Canada",https://taco-luis.business.site/
Mexican,Quesada Burritos & Tacos,"703 SE Marine Dr, Vancouver, BC V5X 2T9, Canada",http://www.quesada.ca/
Mexican,Mucho Burrito Fresh Mexican Grill,"100, 7515 Market Crossing #100, Burnaby, BC V5J 0A3, Canada",https://locations.muchoburrito.com/ll/CA/BC/Burnaby/100~7515-Market-Crossing
Mexican,Taco Del Mar,"805 Boyd St, New Westminster, BC V3M 5G7, Canada",https://www.tacodelmar.com/
Mexican,Adelitas Restaurant,"5178 Victoria Dr, Vancouver, BC V5P 3T8, Canada",https://www.facebook.com/adelitasrestaurant.van/
Swedish,White Spot Sweden Way,"12800 Bridgeport Rd #120, Richmond, BC V6V 0B4, Canada",https://www.whitespot.ca/locations/richmond-sweden-way/?utm_source=G&utm_medium=local&utm_campaign=google-local
Latvian,Lamajoun,"11782 River Rd Unit 128, Richmond, BC V6X 1Z7, Canada",https://lamajoun.com/
Italian,Italian Tomato Restaurant,"8380 Bridgeport Rd, Richmond, BC V6X 3C7, Canada",https://italiantomato.ca/
Italian,The Old Spaghetti Factory (Richmond),"Riverport Entertainment Complex, 14200 Entertainment Blvd #110, Richmond, BC V6W 1K3, Canada",http://www.oldspaghettifactory.ca/locations/richmond
Italian,Broli Kitchen,"186-8180 No 2 Rd, Richmond, BC V7C 5K1, Canada",https://brolikitchen.com/
Italian,Mozza Restaurant and Lounge,"8181 Cambie Rd., Richmond, BC V6X 3X9, Canada",https://www.choicehotels.com/british-columbia/richmond/radisson-hotels/cnc31/dining?mc=llgoxxpx
Italian,Romilano Pizza Restaurant,"4000 No. 3 Rd #130, Richmond, BC V6X 0J8, Canada",http://www.romilanopizza.com/
Italian,Wasuta Pasta,"7080 River Rd #202, Richmond, BC V6X 1X5, Canada",http://wasutapasta.com/
Italian,Bella Roma Italian Ristorante Richmond,"8368 Alexandra Rd, Richmond, BC V6X 4A6, Canada",https://bellaromarichmond.ca/
Italian,BiBo Pizzeria,"1067c Templeton Station Rd, Richmond, BC V7B 0B7, Canada",http://www.thebibo.com/
Italian,Tino's Pizza,"103-10151 No. 3 Rd, Richmond, BC V7A 4R6, Canada",http://www.tinospizza.ca/
Italian,"Solo Pasta, Freshly Home Made Pasta","8620 Granville St, Vancouver, BC V6P 5A1, Canada",https://solopasta.net/
Italian,The Story Cafe - Eatery & Bar,"2800 Sexsmith Rd, Richmond, BC V6X 1V5, Canada",http://thestory.cafe/
Italian,Tramonto at River Rock Casino Resort,"8811 River Rd, Richmond, BC V6X 3P8, Canada",https://riverrock.com/dining/tramonto/preshow/
Spanish,Jamoneria by ARC,"1020-12471 Horseshoe Way, Richmond, BC V7A 4X6, Canada",https://arcimports.ca/pages/jamoneria-by-arc
American,75 West Coast Grill,"7571 Westminster Hwy, Richmond, BC V6X 1A3, Canada",http://75west.ca/
American,Flying Beaver Bar & Grill,"4760 Inglis Dr, Richmond, BC V7B 1W4, Canada",https://theflyingbeaver.com/
American,The Story Cafe - Eatery & Bar,"2800 Sexsmith Rd, Richmond, BC V6X 1V5, Canada",http://thestory.cafe/
American,White Spot Richmond Centre,"6551 No. 3 Rd #1902, Richmond, BC V6Y 2B7, Canada",https://www.whitespot.ca/locations/richmond-richmond-centre/?utm_source=G&utm_medium=local&utm_campaign=google-local
American,Kove Kitchen,"3900 Bayview St, Richmond, BC V7E 0A4, Canada",http://www.kovekitchen.com/
American,the apron,"3099 Corvette Way, Richmond, BC V6X 3A3, Canada",https://www.theapronrichmond.com/
American,Denny's,"10211 St Edwards Dr, Richmond, BC V6X 2M9, Canada",https://www.dennys.ca/locations/richmond/
American,Hog Shack Cook House,"3900 Bayview St #160, Richmond, BC V7E 4R7, Canada",http://www.hogshack.ca/
American,Moxies Richmond Restaurant,"3233 St Edwards Dr, Richmond, BC V6X 3K4, Canada",https://moxies.com/restaurants/vancouver-richmond-airport?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic
American,White Spot Ackroyd,"5880 No. 3 Rd, Richmond, BC V6X 2E1, Canada",https://www.whitespot.ca/locations/richmond-ackroyd/
American,Fatburger Richmond,"4700 Mcclelland Rd Unit 1725, Richmond, BC V6X 2K5, Canada",https://www.fatburgercanada.com/locations/fatburger-richmond
American,White Spot Sweden Way,"12800 Bridgeport Rd #120, Richmond, BC V6V 0B4, Canada",https://www.whitespot.ca/locations/richmond-sweden-way/?utm_source=G&utm_medium=local&utm_campaign=google-local
American,好吃,"Cosmo Plaza, 8788 McKim Way #1205, Richmond, BC V6X 4E2, Canada",
American,LA Grill and Bistro,"8100 No 2 Rd #128, Richmond, BC V7C 5J9, Canada",https://lagrillandbistro.com/
American,The Canadian Brewhouse & Grill (Richmond),"4755 Mcclelland Rd Unit 1305, Richmond, BC V6X 0M5, Canada",https://www.thecanadianbrewhouse.com/
American,Chop Steakhouse & Bar,"10251 St Edwards Dr, Richmond, BC V6X 2M9, Canada",https://chop.ca/locations/richmond-airport?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic
American,Triple O's,"6386 No. 3 Rd #170, Richmond, BC V6Y 2B3, Canada",http://tripleos.ca/
American,Fogg N' Suds Restaurant Beer Bar,"10720 Cambie Rd., Richmond, BC V6X 3K9, Canada",http://www.foggnsuds.ca/
American,IHOP,"6780 No. 3 Rd, Richmond, BC V6Y 2C4, Canada",http://www.ihop.ca/?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=0304&utm_content=website
American,CAVU Kitchen Bar,"5911 Minoru Blvd, Richmond, BC V6X 4C7, Canada",http://cavukitchenbar.com/
Scottish,Flying Beaver Bar & Grill,"4760 Inglis Dr, Richmond, BC V7B 1W4, Canada",https://theflyingbeaver.com/
Scottish,O'Hare's GastroPub,"5031 Steveston Hwy, Richmond, BC V7E 2K5, Canada",http://www.ohares.pub/
Scottish,Fogg N' Suds Restaurant Beer Bar,"10720 Cambie Rd., Richmond, BC V6X 3K9, Canada",http://www.foggnsuds.ca/
Scottish,TugBoat Annie's Pub & Grille,"6911 Graybar Rd, Richmond, BC V6W 1H3, Canada",http://www.tugboatannies.ca/
Scottish,Legends Pub & Restaurant,"9031 Blundell Rd, Richmond, BC V6Y 1K4, Canada",https://legendspub.com/
Scottish,Chop Steakhouse & Bar,"10251 St Edwards Dr, Richmond, BC V6X 2M9, Canada",https://chop.ca/locations/richmond-airport?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic
Scottish,The Canadian Brewhouse & Grill (Richmond),"4755 Mcclelland Rd Unit 1305, Richmond, BC V6X 0M5, Canada",https://www.thecanadianbrewhouse.com/
