cuisine,name
Mexican,The Mexican Antojitos y Cantina
Mexican,La Mezcaleria
Mexican,La Casita - Gastown
Mexican,Patron Tacos & Cantina
Mexican,Las Margaritas
Mexican,Sal y Limon
Mexican,Mi Casa Mexicana
Mexican,El Camino's
Mexican,Alimentaria Mexicana
Mexican,Los Cuervos Taqueria & Cantina
Mexican,Gringo Gastown
Mexican,Tequila Cocina
Mexican,Los Amigos Taqueria
Mexican,Holy Guacamole
Mexican,Lucha Libre Taqueria
Mexican,Chancho Tortilleria
Mexican,Chipotle Mexican Grill
Mexican,Adelitas Restaurant
Mexican,Maizal RMF
Mexican,El Guapo Restaurant
Swedish,Published on Main
Latvian,Ukrainian Village
Italian,Ask For Luigi Restaurant
Italian,CinCin Ristorante + Bar
Italian,La Quercia
Italian,La Terrazza
Italian,Italian Kitchen
Italian,Tavola
Italian,Zefferelli's Spaghetti Joint
Italian,Osteria Savio Volpe
Italian,Frankie's Italian Vancouver
Italian,Pepino's Spaghetti House
Italian,Al Porto Ristorante
Italian,Robba da Matti
Italian,Robba da Matti (Yaletown)
Italian,Cioppino's Mediterranean Grill
Italian,"Fiorino, Italian Street Food Chinatown Vancouver"
Italian,Sopra Sotto Pizzeria
Italian,Carlino Restaurant
Italian,Tutto Restaurant & Bar
Italian,Di Beppe Restaurant
Italian,Il Nido Italian Restaurant
Spanish,Bodega on Main
Spanish,Como Taperia
Spanish,España Restaurant
Spanish,Cuchillo
Spanish,La Boqueria Tapas and Pintxos Bar
Spanish,Alimentaria Mexicana
Spanish,El Camino's
Spanish,La Mezcaleria
Spanish,Mangos Kitchen Bar
Spanish,La Casita - Gastown
Spanish,Mi Casa Mexicana
Spanish,Salsa & Agave Mexican Grill
Spanish,Casa Molina
Spanish,Holy Guacamole
Spanish,El Caracol Cafe
Spanish,Patron Tacos & Cantina
Spanish,Chancho Tortilleria
Spanish,Tacofino Commissary
Spanish,VV Tapas Lounge
Spanish,Bar Corso
American,The American
American,White Spot Granville & Drake
American,The Flying Pig Yaletown
American,Roxy Burger
American,Red Robin Gourmet Burgers and Brews
American,Hundy
American,The Main
American,MrBeast Burger
American,A&W Canada
American,White Spot Dunsmuir
American,Romer's Burger Bar
American,Salmon n' Bannock
American,per se Social Corner
American,Lucy's Eastside Diner
American,Rogue Kitchen & Wetbar
American,Man Vs Fries
American,Fable Diner
American,Fable Diner & Bar
American,Original Joe's
American,White Spot (Best Western)
Scottish,The Irish Heather Shebeen
Scottish,The Cheese Inn
Scottish,Shamrock Bar & Grill
Scottish,The Three Brits Public House
Scottish,Smith's Irish Pub
Scottish,Mahony's Tavern Convention Centre
Scottish,Johnnie Fox's Irish Pub
Scottish,The Blarney Stone
Scottish,Stock & Supply
Scottish,The Wolf & Hound
Scottish,Lions Pub
Scottish,The Butcher & Bullock Public House
Scottish,Dublin Crossing - Vancouver
Scottish,Salmon n' Bannock
Scottish,The Ox Pub
Scottish,Donnellan's Irish Pub
Scottish,The Moose Vancouver
Scottish,Relish The Pub
Scottish,The Cascade Room
Scottish,Alibi Room
British,The Cheese Inn
British,The Three Brits Public House
British,Windjammer Restaurant
Thai,Bai Bua Thai Cuisine
Thai,Sala Thai
Thai,Sawasdee Thai Restaurant
Thai,Thai Basil Restaurant
Thai,Thai Away Home on Granville
Thai,Maenam
Thai,Thai Town Restaurant
Thai,Bob Likes Thai Food.
Thai,Thida
Thai,Zab Zaab Thai Cuisine
Thai,Thai Basil Restaurant
Thai,Take Thai Home Restaurants
Thai,Thailicious by Thai Away Home
Thai,Thai Away Home on Cambie
Thai,Thai Basil Restaurant
Thai,Mali Thai Restaurant
Thai,Papaya Hut Restaurant
Thai,Thai Basil Restaurant
Thai,Kin Kao - Commercial Dr
Thai,Thai Son
Japanese,Masayoshi
Japanese,Kishimoto Japanese Restaurant
Japanese,Shizenya
Japanese,Suika Japanese Restaurant
Japanese,Kadoya Japanese Restaurant
Japanese,Samurai Japanese Restaurant
Japanese,Miku Vancouver
Japanese,Kamei Royale Japanese Restaurant
Japanese,Masa Japanese Restaurant Vancouver
Japanese,Miko Sushi Japanese Restaurant
Japanese,Minami
Japanese,Kingyo
Japanese,Yamato Sushi
Japanese,Dosanko Restaurant
Japanese,O Sushi Downtown Vancouver
Japanese,Hoshi Japanese Cuisine
Japanese,Kamei on Broadway
Japanese,Gyu-Kaku Japanese BBQ
Japanese,Raisu
Japanese,Tojo's Restaurant
Chinese,ChongQing On Commercial
Chinese,Ho Yuen Kee Restaurant
Chinese,Dynasty Seafood Restaurant
Chinese,Bao Bei
Chinese,Chang 'An
Chinese,Happy Noodle House
Chinese,Mott 32 Vancouver
Chinese,Dinesty Dumpling House
Chinese,Shoom Restaurant
Chinese,James on Hastings Chinese Restaurant
Chinese,Pink Pearl
Chinese,Yu Xiang Yuan Restaurant
Chinese,ChongQing on Robson
Chinese,Congee Noodle House
Chinese,Kwan Luck Restaurant
Chinese,Lin Chinese Cuisine and Tea House
Chinese,Floata Seafood Restaurant 富大海鮮酒家
Chinese,Cindys Palace (10% off for orders from our Website!)
Chinese,Golden Seafood Restaurant
Chinese,Kirin Restaurant
Indian,"Sula Indian Restaurant, Commercial Drive"
Indian,"Madras Spice Restaurant, Vancouver"
Indian,Spicy 6 Fine Indian Cuisine
Indian,Davie Dosa Company
Indian,"Sula Indian Restaurant, Main Street"
Indian,Curry Hut Indian Bistro
Indian,Kinara Indian Cuisine
Indian,Cilantro Indian Cuisine
Indian,Dosa Corner
Indian,Crave India Restaurant
Indian,Indian Delicacy
Indian,Modern Handi Indian Cuisine
Indian,Tasty Indian Bistro | Yaletown
Indian,House Of Dosas
Indian,Vij's
Indian,Grace of India Restaurant
Indian,New India Buffet + Bar & Restaurant
Indian,Dosa Factory
Indian,Monsoon Curry Indian Restaurant
Indian,Indian Roti Kitchen
Canadian,The Flying Pig Yaletown
Canadian,Published on Main
Canadian,Salmon n' Bannock
Canadian,The Mackenzie Room
Canadian,ARC RESTAURANT
Canadian,Eh! Restaurant
Canadian,Nightingale
Canadian,AnnaLena
Canadian,Belgard Kitchen
Canadian,The Flying Pig Olympic Village
Canadian,Notch8 Restaurant & Bar
Canadian,District Bar Restaurant
Canadian,Hawksworth Restaurant
Canadian,Café One
Canadian,Five Sails Restaurant
Canadian,Canada Water
Canadian,Chambar Restaurant
Canadian,Archer
Canadian,Top Of Vancouver Revolving Restaurant
Canadian,Forage
Russian,Mr. Pelmen
Jewish,Maple Grill
Jewish,Sabra Kosher Bakery & Restaurant Ltd
Jewish,Omnitsky Kosher
Jewish,Kosher Experience
Jewish,Kosher Food Warehouse
Jewish,Café FortyOne
Jewish,Nava Creative Kosher Cuisine
Jewish,Kosher Events
Jewish,VanKoshary Eats
Polish,Zofia Polish Store
Polish,Kozak Ukrainian Eatery & Mill
Polish,Kozak Ukrainian Restaurant
Polish,Ukrainian Village
Polish,Moltaqa Moroccan Restaurant Mainland Street Yaletown
Polish,Pierogi On A Day Pass
Polish,Polonia Sausage House Ltd
German,Jägerhof Restaurant
German,The Old Bavaria Haus Restaurant
German,Kaisereck Deli
German,Deutsches Haus (Vancouver Alpen Club)
German,MunChi German Foods
French,St. Lawrence Restaurant
French,Les Faux Bourgeois
French,Le Crocodile
French,Alouette Bistro
French,Au Petit Comptoir
French,Absinthe Bistro
French,Au Comptoir
French,French Table
French,Café Salade de Fruits
French,Is That French
French,Dahlia
French,Lavidas Restaurant
French,Tour De Feast
French,Provence Marinaside
French,Le Cáfe Miro 81 FD5 Filming Location
French,Chez Michel
French,Tableau Bar Bistro
French,PETRICHOR SOCIAL cuisine & bar
French,Carthage Cafe
French,Restaurant Vignette
Hawaiian,PokeLani
Hawaiian,Hula
Hawaiian,The hoke poke
Hawaiian,Steve's Poké Bar
Hawaiian,The Poke Guy
Hawaiian,Steve's Poké Bar
Hawaiian,Poke Bar (E.Broadway)
Hawaiian,Steve's Poké Bar
Hawaiian,Hanai Family Table
Hawaiian,Hanai Vancouver
Hawaiian,Steve’s Poké Bar
Hawaiian,Poke Bar (Lonsdale)
Hawaiian,Pokay Vancouver
Hawaiian,The Poke Guy
Hawaiian,Pokerrito
Hawaiian,Pokerrito
Hawaiian,Hula Poke Yaletown
Hawaiian,Westcoast Poké
Hawaiian,Pokey Okey Hornby
