cuisine,name
Mexican,La Taqueria Pinche Taco Shop
Mexican,Don Oso's Restaurant - Burnaby
Mexican,Quesada Burritos & Tacos
Mexican,Chipotle Mexican Grill
Mexican,Chipotle Mexican Grill
Mexican,Mucho Burrito Fresh Mexican Grill
Mexican,Quesada Burritos & Tacos
Mexican,Quesada Burritos & Tacos
Mexican,Market Cocina
Mexican,Chronic Tacos
Mexican,Quesada Burritos & Tacos
Mexican,Tacofino Metrotown
Mexican,Olivo Cafe
Mexican,El Comal
Mexican,Border Burrito
Mexican,Good Taco
Mexican,Vallarta's Mexican Restaurant
Mexican,CanaMex
Mexican,El Chilakil by Body Balance Bar
Mexican,El Santo
Swedish,Tenen Restaurant
Swedish,Balkan House Restaurant
Swedish,The Dolar Shop Hot Pot
Swedish,Anatolia's Gate Restaurant
Swedish,Happy Valley Food City
Swedish,Hart House Restaurant
Swedish,Burnaby Mountain Restaurant
Swedish,HanSang Korean Cuisine
Swedish,Villa Bistro
Swedish,JOEY Burnaby
Swedish,Singapore Hawker Burnaby
Swedish,Anton's Pasta Bar
Swedish,Burnaby Palace Restaurant
Swedish,Swedish Canadian Rest Home
Swedish,Lougheed Village Bar & Grill
Swedish,Gokudo Shabu Shabu Hot Pot-Burnaby
Swedish,Cayenne Bistro and Grill
Swedish,Stem Japanese Eatery
Swedish,IHOP
Swedish,Neptune Noodle Bar (Burnaby)
Latvian,Tenen Restaurant
Latvian,Balkan House Restaurant
Latvian,Little Billy's
Latvian,L'Artista Italian Restaurant
Latvian,La Forchetta
Latvian,Atlas Steak + Fish
Latvian,Trattoria Burnaby
Latvian,Mama’s Rice Bowl
Latvian,JOEY Burnaby
Latvian,Cactus Club Cafe
Latvian,Lougheed Village Bar & Grill
Latvian,Happy Valley Food City
Latvian,Portobello Restaurant Burnaby
Latvian,White Spot Gilmore
Italian,Trattoria Burnaby
Italian,L'Artista Italian Restaurant
Italian,La Forchetta
Italian,Anton's Pasta Bar
Italian,Baci Ristorante
Italian,Sopra Sotto Pizzeria
Italian,Claudio's Ristorante
Italian,Basil Pasta Bar
Italian,Portobello Restaurant Burnaby
Italian,Amorosa Pasta House
Italian,Bella Pizza
Italian,Circolo Ristorante Italiano
Italian,Argo Greek Cuisine Pizza & Pasta
Italian,Famoso Italian Pizzeria - Solo
Italian,Little Billy's
Italian,Cioffi’s Cucina
Italian,Reverie Kitchen
Spanish,Olivo Cafe
Spanish,El Inka restaurant
Spanish,Don Oso's Restaurant - Burnaby
Spanish,The Keg Steakhouse + Bar - Burnaby
Spanish,Como Taperia
Spanish,Little Billy's
Spanish,El Comal
Spanish,Market Cocina
Spanish,Quesada Burritos & Tacos
Spanish,Quesada Burritos & Tacos
Spanish,Mucho Burrito Fresh Mexican Grill
Spanish,La Taqueria Pinche Taco Shop
Spanish,Bodega on Main
Spanish,Quesada Burritos & Tacos
Spanish,El Chilakil by Body Balance Bar
Spanish,Quesada Burritos & Tacos
Spanish,Personas Patio Restaurant And Lounge
Spanish,El Santo
Spanish,Tacofino Metrotown
Spanish,Don Chepe's Restaurant
American,Earl's Kitchen + Bar
American,Birdies
American,White Spot North Road
American,22's Grill
American,The Keg Steakhouse + Bar - Burnaby
American,R + D Kitchen by White Spot
American,Fatburger Lougheed Burnaby
American,White Spot Metrotown
American,White Spot Kensington
American,White Spot Gilmore
American,American Cheesesteak Company - Metrotown
American,Triple O's
American,Denny's
American,A&W Canada
American,Ricky's Cafe - Burnaby
American,Time & Place Kitchen | Bar
American,JOEY Burnaby
American,50s Burgers
American,"Acqua Restaurant, Patio and Bar"
American,X-Site Grill & Bistro
