Cuisine Type,Name,Address,Website
Mexican,Don Lupe Mexican Restaurant,"122 Old Mill Rd, Cartersville, GA 30120, USA",https://www.donlupemexicanrestaurant.com/
Mexican,Santana Mexican Grill,"114 Merchants Square Dr, Cartersville, GA 30121, USA",https://santanamex.weebly.com/
Mexican,El Charro Mexican Grill,"700 Douthit Ferry Rd suite 750, Cartersville, GA 30120, USA",https://www.elcharromexicangrillga.com/
Mexican,Los Arcos Mexican Restaurant,"1008 N Tennessee St STE#100, Cartersville, GA 30120, USA",https://losarcosmex.com/
Mexican,El Dorado Salvadorian and Mexican Restaurant,"910 Joe Frank Harris Pkwy SE, Cartersville, GA 30121, USA",https://eldoradocartersvillega.com/
Mexican,El Nopal Mexican Restaurant,"540 Old Mill Rd, Cartersville, GA 30120, USA",http://elnopalga.net/
Mexican,Taco Jalisco,"199 N Morningside Dr, Cartersville, GA 30121, USA",
Mexican,Las Palmas,"140 Main St Mkt Pl SE, Cartersville, GA 30121, USA",https://cartersville.laspalmasmexicanrest.com/
Mexican,Campechanos Mexican Food Truck,"118 N Tennessee St, Cartersville, GA 30120, USA",https://sites.google.com/view/campechanosmexicanfood
Mexican,Tarascos Tacos & Wings,"1350 Joe Frank Harris Pkwy SE, Cartersville, GA 30120, USA",https://tarascosrestaurants.com/
Mexican,Tarascos Mexican Restaurant,"1325 Cassville Rd NW, Cartersville, GA 30120, USA",https://tarascosrestaurants.com/
Mexican,Willy's Mexicana Grill,"100 Main St Market Pl, Cartersville, GA 30121, USA",http://www.willys.com/
Mexican,Taco Macho,"804 Burnt Hickory Rd, Cartersville, GA 30120, USA",https://www.facebook.com/tacomacho2023?mibextid=LQQJ4d
Mexican,Poblanos Mexican Grill,"3344 Cobb Pkwy N, Acworth, GA 30101, USA",http://www.poblanosmexicanrestaurant.com/
Mexican,Vickos Tacos & Tequila,"940 Hwy 140 NW suite B, Adairsville, GA 30103, USA",
Mexican,Los Mezquites Mexican Grill,"24 Eagle Pkwy suite f, Adairsville, GA 30103, USA",https://losmezquitesmexicangrill.com/
Mexican,Mariscos El Nuevo Nayarit,"212 S Tennessee St, Cartersville, GA 30120, USA",
Mexican,Largos,"214 E Cherokee Ave, Cartersville, GA 30120, USA",http://www.largos214.com/
Mexican,Rosa Negra Tapas & Tequila,"1305 Cedarcrest Rd #101, Dallas, GA 30132, USA",https://rosanegraatlanta.com/
Mexican,Taqueria La Reina,"146 S S Tennessee St, Emerson, GA 30137, USA",
Swedish,DaéBreak Café,"650 Henderson Dr Ste 501, Cartersville, GA 30120, USA",http://daebreakcafe.com/
Latvian,Doug's Place,"696 GA-293, Emerson, GA 30137, USA",https://www.dougsplaceemerson.com/
Italian,Armando's Italian Restaurant,"3 S Dixie Ave, Cartersville, GA 30120, USA",
Spanish,El Dorado Salvadorian and Mexican Restaurant,"910 Joe Frank Harris Pkwy SE, Cartersville, GA 30121, USA",https://eldoradocartersvillega.com/
Spanish,El Nopal Mexican Restaurant,"540 Old Mill Rd, Cartersville, GA 30120, USA",http://elnopalga.net/
Spanish,Santana Mexican Grill,"114 Merchants Square Dr, Cartersville, GA 30121, USA",https://santanamex.weebly.com/
