Cuisine Type,Name,Address,Website
Mexican,Torero Mexican Restaurant,"2470 Memorial Dr, Waycross, GA 31503, USA",
Mexican,Rodeo Mexican Restaurant,"2020 Memorial Dr, Waycross, GA 31501, USA",http://www.rodeomexican.com/
Mexican,"Surcheros - Waycross, GA","1912 Memorial Dr #200, Waycross, GA 31501, USA",http://www.surcheros.com/
Mexican,Loco Burrito,"3351 US-84, Blackshear, GA 31516, USA",
Mexican,El Santo Coyote Mexican Restaurant Bar and Grill,"1506 Memorial Dr, Waycross, GA 31501, USA",https://elsantocoyotega.com/
Mexican,Los 3 Mariachis,"3861 Main St, Folkston, GA 31537, USA",
Mexican,El Vaquero mexican restaurant,"6270 US-84, Patterson, GA 31557, USA",https://www.vaquerogrill.com/
Mexican,Chipotle Mexican Grill,"1751 Memorial Dr, Waycross, GA 31501, USA",https://locations.chipotle.com/ga/waycross/1751-memorial-dr?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,"Surcheros - Blackshear, GA","3577 US-84, Blackshear, GA 31516, USA",https://www.surcheros.com/
Mexican,Taco Bell,"1909 Memorial Dr, Waycross, GA 31501, USA",https://locations.tacobell.com/ga/waycross/1909-memorial-drive.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=037351&utm_content=website&y_source=1_Mjg3OTc2MjAtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Mexican,Taco Bell,"1911 Memorial Dr, Waycross, GA 31501, USA",
Mexican,Taqueria Pancho Villa: The Mexican Trailer,"105 S Augusta Ave, Waycross, GA 31503, USA",http://taqueriapanchovilla.com/
Mexican,La Orquidea Tienda Mexicana,"226 Hwy Ave, Blackshear, GA 31516, USA",https://www.facebook.com/profile.php?id=100080886850469&mibextid=ZbWKwL
Mexican,Taqueria El Mandilon,"800 Memorial Dr, Waycross, GA 31501, USA",https://www.facebook.com/pg/Taqueria-El-Mandil%C3%B3n-108508348673025/about/
Mexican,Burger King,"13200 W Cleveland St, Nahunta, GA 31553, USA",https://burgerking.com/store-locator/store/restaurant_27690
Mexican,The taco box,"202 Altman St, Blackshear, GA 31516, USA",
Mexican,Los Habaneros Mexican Restaurant,"1417 S 1st St #7701, Jesup, GA 31545, USA",
Mexican,Laredo Mexican Restaurant,"112 Sunset Blvd, Jesup, GA 31545, USA",https://www.laredojesup.com/
Mexican,1800 Mexican restaurant,"5296 New Jesup Hwy, Brunswick, GA 31523, USA",
Mexican,La Casita Mexican Restaurant,"5369 Laurel Island Pkwy, Kingsland, GA 31548, USA",
Italian,Olive Garden Italian Restaurant,"2497 Memorial Dr, Waycross, GA 31501, USA",https://www.olivegarden.com/locations/ga/waycross/waycross-memorial-drive/5814?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:waycross-ga-5814_pl:locurl_rd:1830
Spanish,Sal y Pimienta Latin Restaurant,"2040 10th St, Woodbine, GA 31569, USA",
Spanish,Starters Bistro,"104 N Main St, Nahunta, GA 31553, USA",
Spanish,La cuchara restaurant,"1098 cone blvd, Kingsland, GA 31548, USA",
Spanish,La Islita Food Truck,"1508 Boone St, Kingsland, GA 31548, USA",https://www.facebook.com/LaIslitaFoodTruck?mibextid=LQQJ4d
Spanish,Torero Mexican Restaurant,"2470 Memorial Dr, Waycross, GA 31503, USA",
Spanish,El Vaquero mexican restaurant,"6270 US-84, Patterson, GA 31557, USA",https://www.vaquerogrill.com/
Spanish,El Santo Coyote Mexican Restaurant Bar and Grill,"1506 Memorial Dr, Waycross, GA 31501, USA",https://elsantocoyotega.com/
Spanish,"Surcheros - Waycross, GA","1912 Memorial Dr #200, Waycross, GA 31501, USA",http://www.surcheros.com/
Spanish,Los 3 Mariachis,"3861 Main St, Folkston, GA 31537, USA",
Spanish,Rodeo Mexican Restaurant,"2020 Memorial Dr, Waycross, GA 31501, USA",http://www.rodeomexican.com/
Spanish,TEQUILA & SAZÓN,"1301 E King Ave, Kingsland, GA 31548, USA",https://tequilaysazon.com/
Spanish,1800 Mexican restaurant,"5296 New Jesup Hwy, Brunswick, GA 31523, USA",
Spanish,San José Mexican Restaurant,"887 Kings Bay Rd, St Marys, GA 31558, USA",https://sanjosemexicanrestaurant.co/
Spanish,"Surcheros - Blackshear, GA","3577 US-84, Blackshear, GA 31516, USA",https://www.surcheros.com/
Spanish,Loco Burrito,"3351 US-84, Blackshear, GA 31516, USA",
Spanish,Buenos Dias,"2796 Colerain Rd, St Marys, GA 31558, USA",http://buenosdiasrestaurant.com/
Spanish,Laredo Mexican Restaurant,"112 Sunset Blvd, Jesup, GA 31545, USA",https://www.laredojesup.com/
Spanish,Tequila's Mexican Restaurant,"1109 N 1st St, Jesup, GA 31545, USA",https://jesup.tequilasmexicanrest.com/
Spanish,Mi Casa,"745 Kings Bay Rd, St Marys, GA 31558, USA",http://www.micasastmarys.com/
Spanish,"Surcheros - Jesup, GA","480 W Cherry St, Jesup, GA 31545, USA",http://www.surcheros.com/
American,Gold House Restaurant,"135 N Main St, Nahunta, GA 31553, USA",
American,Huddle House,"101 Allen Rd, Nahunta, GA 31553, USA",https://www.huddlehouse.com/
American,Local,"13299 W Cleveland St #13299, Nahunta, GA 31553, USA",https://www.thelocalnahunta.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=11793697448751942616
American,Jerry J's Nahunta,"125 E Cleveland St, Nahunta, GA 31553, USA",http://jerryjs.com/
American,Starters Bistro,"104 N Main St, Nahunta, GA 31553, USA",
American,Cracker Barrel Old Country Store,"2501 Memorial Dr, Waycross, GA 31503, USA",https://www.crackerbarrel.com/Locations/States/ga/waycross/744/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl
American,Burger King,"13200 W Cleveland St, Nahunta, GA 31553, USA",https://burgerking.com/store-locator/store/restaurant_27690
American,Huddle House,"1010 Memorial Dr, Waycross, GA 31501, USA",https://huddlehouse.com/locations/ga/waycross/1010-memorial-dr
American,Dairy Queen Grill & Chill,"113 W Cleveland St, Nahunta, GA 31553, USA",https://www.dairyqueen.com/en-us/locations/ga/nahunta/113-w-cleveland-st/3029/?utm_source=organic&utm_campaign=yext%2F&y_source=1_ODk5Nzk0OS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
American,Subway,"13591 W Cleveland St, Nahunta, GA 31553, USA",https://restaurants.subway.com/united-states/ga/nahunta/13591-cleveland-street-west?utm_source=yxt-goog&utm_medium=local&utm_term=acq&utm_content=51234&utm_campaign=evergreen-2020&y_source=1_MTQ5MDY3NzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
American,Country Boy Restaurant,"221 Chicago Ave, Hoboken, GA 31542, USA",
American,Ruby Tuesday,"2263 Memorial Dr, Waycross, GA 31501, USA",https://rubytuesday.com/
American,The Village Snack Bar,"21496 why 82 east, 9003 State Rte 259, Waynesville, GA 31566, USA",https://www.toasttab.com/the-village-snack-bar-21496-us-82/v3/?mode=fulfillment
American,Huddle House,"3428 US-84, Blackshear, GA 31516, USA",https://huddlehouse.com/locations/ga/blackshear/3428-us-84
American,Rockin Bear Cafe,"3725 US-84, Blackshear, GA 31516, USA",https://www.facebook.com/rockinbearcafe/
American,Hwy 55 Burgers Shakes & Fries,"2275 Memorial Dr, Waycross, GA 31501, USA",http://hwy55.com/
American,Applebee's Grill + Bar,"1901 Memorial Dr, Waycross, GA 31501, USA",https://restaurants.applebees.com/en-us/ga/waycross/1901-memorial-drive-89014?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=89014&utm_content=website
American,Curly's wings and burgers,"510 Wilkerson St, Waycross, GA 31501, USA",
American,Arby's,"2469 Memorial Dr, Waycross, GA 31503, USA",https://locations.arbys.com/ga/waycross/2469-memorial-dr.html?utm_source=google%20my%20business&utm_medium=organic&utm_campaign=website%20link
American,Jerry J's Plant Avenue Waycross,"1406 Plant Ave, Waycross, GA 31501, USA",http://jerryjs.com/
Scottish,Reedy Creek Steakhouse,"1633 Clifford Jones Rd, Screven, GA 31560, USA",
British,Huddle House,"101 Allen Rd, Nahunta, GA 31553, USA",https://www.huddlehouse.com/
Thai,Thai Spice (formerly Thai Smile),"314 Pendleton St, Waycross, GA 31501, USA",http://www.thaispicewaycross.com/
Thai,ThaiSmile Folkston by OK Group,"3925 Main St, Folkston, GA 31537, USA",https://www.facebook.com/profile.php?id=61550019991475&mibextid=LQQJ4d
Thai,Nakorn Thai Cuisine,"5448 New Jesup Hwy, Brunswick, GA 31525, USA",http://www.nakornthaicuisine.com/
Thai,Tup Tim Thai cuisine,"250 Golden Isles Plaza, Brunswick, GA 31520, USA",https://www.tuptimthaibrunswick.com/
Thai,Nang's Thai Restaurant,"697 W Cherry St, Jesup, GA 31545, USA",https://www.facebook.com/pages/Nangs-Thai-Restaurant/117079341643034
Thai,Thai & Osaka Sushi Bar,"1390 Boone Ave, Kingsland, GA 31548, USA",https://thai-and-osaka-ga.hipierce.com/
Thai,Drunken noodle saint marys Ga,"888 Kings Bay Rd ste E, St Marys, GA 31558, USA",https://www.drunkennoodlestmarys.com/
Thai,Basil Thai and Sushi,"1401 Newcastle St, Brunswick, GA 31520, USA",http://basilthaiandsushi.com/hello-world
Japanese,Kobe Japanese,"2441 Memorial Dr, Waycross, GA 31503, USA",http://kobewaycross.com/
Japanese,Fuji Express,"2201 Memorial Dr, Waycross, GA 31501, USA",
Japanese,Fuji Westside,"1832 S Georgia Pkwy W, Waycross, GA 31503, USA",
Japanese,Fuji,"3332 US-84, Blackshear, GA 31516, USA",
Japanese,Fancy Q Sushi Bar And Grill Waycross,"514 Mary St, Waycross, GA 31501, USA",http://www.fancyqwaycross.com/
Japanese,Kobe Japanese Steak House,"967 S 1st St, Jesup, GA 31545, USA",http://www.kobejesup.com/
Japanese,Wasabi Sushi,"6586 GA-40, Kingsland, GA 31548, USA",http://www.wasabipalace7779.com/?utm_source=gmb&utm_medium=website
Japanese,Oishii Japanese Restaurant,"323 US Hwy 301 S, Jesup, GA 31546, USA",https://www.oishiijesupga.com/
Japanese,Thai Spice (formerly Thai Smile),"314 Pendleton St, Waycross, GA 31501, USA",http://www.thaispicewaycross.com/
Japanese,Kobe Japanese Restaurant,"118 #13, 118 Azalea Rd, Baxley, GA 31513, USA",
Japanese,Kyoto Express,"211 Village At Glynn Pl, Brunswick, GA 31525, USA",
Japanese,New Hong Kong Restaurant,"2306 Memorial Dr, Waycross, GA 31501, USA",
Japanese,TNT Teriyaki Grill,"109 Haddock Rd, Kingsland, GA 31548, USA",https://www.skiplinow.com/shop/LNJtF1UtU/site
Japanese,El Dorado Mexican & Japanese Cuisine,"146 S Macon St, Jesup, GA 31545, USA",http://eldorado.zenfoody.com/
Japanese,Osaka Japanese Steak House & Seafood,"860 Kings Bay Rd, St Marys, GA 31558, USA",https://www.osakastmary.com/
