Cuisine Type,Name,Address,Website
Mexican,BluTaco,"3772 Durham-Pentz Rd, Oroville, CA 95965, USA",https://theblutaco.com/locations/clear-creek-crossing-oroville-ca/
Mexican,Maria's Kitchen,"1132 Elliott Rd, Paradise, CA 95969, USA",https://www.facebook.com/pages/category/Caterer/Marias-Kitchen-1698445750220742/
Mexican,Pueblito | Mexican Restaurant,"9402 Midway, Durham, CA 95938, USA",http://pueblitomexicangrill.com/
Mexican,Mariscos La Costa Mexican Seafood Grill,"1141 Forest Ave UNIT 10, Chico, CA 95928, USA",
Mexican,Raliberto's Taco Shop,"2031 Forest Ave, Chico, CA 95928, USA",
Mexican,MI OAXACA Mexican grill,"6150 Clark Rd, Paradise, CA 95969, USA",
Mexican,La Fiesta Mexican Bar and Grill,"2490 Fair St, Chico, CA 95928, USA",https://lafiestamexicanbarandgrillca.com/
Mexican,Meehos Mexican Restaurant,"6808 Skyway, Paradise, CA 95969, USA",http://www.meehosmexicanrestaurant.com/
Mexican,Los Arcos | Mexican Restaurant,"2454 Notre Dame Blvd, Chico, CA 95928, USA",
Mexican,Burrito Bandito,"2485 Notre Dame Blvd, Chico, CA 95928, USA",http://www.juanmeanburrito.com/
Mexican,Tacos El Paraiso Paradise,"052-250-114-000, 5610 Skyway, Paradise, CA 95969, USA",
Mexican,Tacos el grulense,"396 E Park Ave, Chico, CA 95928, USA",https://www.facebook.com/TacosElGrullense530/
Mexican,Fiesta Taco,"Clark Rd &, Armstrong Pl, Paradise, CA 95969, USA",
Mexican,Chipotle Mexican Grill,"1960 E 20th St Ste 100, Chico, CA 95928, USA",https://locations.chipotle.com/ca/chico/1960-e-20th-st?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,La Perla Taqueria | Méxican Grill,"450 Broadway St, Chico, CA 95928, USA",https://laperlataqueriamexicangrill.negocio.site/
Mexican,Mi Jalisco Mexican Grille,"1002 W 5th St, Chico, CA 95928, USA",http://ordermijaliscomexicangrill.com/
Mexican,La Familia Restaurant,"1008 W Sacramento Ave Suite E, Chico, CA 95926, USA",https://www.lafamiliachico.net/
Mexican,El Guayacan | Méxican Restaurant,"2201 Pillsbury Rd UNIT 124, Chico, CA 95926, USA",http://orderelguayacanmexicanrestaurant.com/
Mexican,La Cocina Economica,"905 Wall St, Chico, CA 95928, USA",https://www.lacocinaeco.com/
Mexican,Los Compadres Restaurant,"771 Oro Dam Blvd W, Oroville, CA 95965, USA",https://m.facebook.com/pages/Los-Compadres/158022004218386
Swedish,Debbie's Restaurant,"7967 Skyway A, Paradise, CA 95969, USA",
Latvian,Nic's,"6256 Skyway, Paradise, CA 95969, USA",https://www.facebook.com/NicsParadise/
Italian,Olive Garden Italian Restaurant,"2020 Business Ln, Chico, CA 95928, USA",https://www.olivegarden.com/locations/ca/chico/across-from-chico-mall/1402?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:chico-ca-1402_pl:locurl_rd:1299
Italian,Italian Cottage,"2234 Esplanade, Chico, CA 95926, USA",http://www.theitaliancottage.com/
Italian,Rione Italian Restaurant,"1990 Belgium Ave, Chico, CA 95928, USA",
Italian,Sicilian Cafe,"240 Wall St, Chico, CA 95928, USA",http://www.siciliancafe.com/
Italian,Celestino's | Pasta & Pizza,"1354 East Ave A, Chico, CA 95926, USA",https://order.online/store/celestino's-pasta-and-ny-pizza-chico-778852/?hideModal=true&pickup=true
