Cuisine Type,Name,Address,Website
Mexican,Tequilas Mexican Grill,"360 14th St, Burlington, CO 80807, USA",https://m.facebook.com/profile.php?id=1133360193374439
Mexican,Mexico Burlington Restaurant,"460 14th St, Burlington, CO 80807, USA",https://mexicoburlington.com/
Mexican,Guadalajara Mexican Restaurant Cheyenne,"1745 Dell Range Blvd, Cheyenne, WY 82009, USA",https://www.cheyenne.guadalajaramexicanrestaurants.com/
Mexican,Tres Amigos (Lincolnway),"2414 W Lincolnway, Cheyenne, WY 82001, USA",https://www.tresamigosmexican.com/
Mexican,Tortilla Factory,"2706 S Greeley Hwy, Cheyenne, WY 82007, USA",https://www.tortillafactory.net/
Mexican,Miguel's Mexican Bar & Grill,"110 E Cheyenne Mountain Blvd, Colorado Springs, CO 80906, USA",https://www.miguelsmex.com/
Mexican,Rodolfo's Mexican Grill,"801 E Lincolnway, Cheyenne, WY 82001, USA",
Mexican,Hacienda Guadalajara Cheyenne,"317 E Lincolnway, Cheyenne, WY 82001, USA",https://www.hacienda.guadalajaramexicanrestaurants.com/
Mexican,Tres Amigos (Dell Range),"1802 Dell Range Blvd #2, Cheyenne, WY 82009, USA",https://www.tresamigosmexican.com/
Mexican,QDOBA Mexican Eats,"1958 Dell Range Blvd Unit F, Cheyenne, WY 82009, USA",https://locations.qdoba.com/us/wy/cheyenne/1958-dell-range-blvd.html
Mexican,Best Tacos y Burritos la Paz,"200 E 18th St, Cheyenne, WY 82001, USA",
Mexican,Chipotle Mexican Grill,"1508 Dell Range Blvd, Cheyenne, WY 82009, USA",https://locations.chipotle.com/wy/cheyenne/1508-dell-range-blvd?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Las Brisas Restaurant,"302 S Main St, Lamar, CO 81052, USA",
Mexican,QDOBA Mexican Eats,"3927 E Pershing Blvd, Cheyenne, WY 82001, USA",https://locations.qdoba.com/us/wy/cheyenne/3927-e-pershing-blvd.html
Mexican,Authentic Mexican Cuisine,"474 14th St, Burlington, CO 80807, USA",
Mexican,Taqueria Mexicana LJ Mi Tierra,"314 Dell Range Blvd, Cheyenne, WY 82009, USA",
Italian,Napoli's,"1901 Central Ave suite a, Cheyenne, WY 82001, USA",https://www.facebook.com/Napolis-Cheyenne-294106584608518/
Italian,L'Osteria Mondello,"1507 Stillwater Ave STE D, Cheyenne, WY 82009, USA",https://www.facebook.com/profile.php?id=100089266542531
Italian,PizzAmoré,"236 E Cheyenne Mountain Blvd, Colorado Springs, CO 80906, USA",http://www.pizzamoreco.com/
Italian,Olive Garden Italian Restaurant,"1536 Dell Range Blvd, Cheyenne, WY 82009, USA",https://www.olivegarden.com/locations/wy/cheyenne/cheyenne-frontier-mall/1716?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:cheyenne-wy-1716_pl:locurl_rd:1564
Italian,Fazoli's,"1790 E Cheyenne Mountain Blvd, Colorado Springs, CO 80906, USA",https://locations.fazolis.com/co/colorado-springs/1790-e--cheynne-mt--blvd.html?utm_source=yext+GMB&utm_medium=local&utm_campaign=website&y_source=1_MzExNjk3OC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Italian,Bronx Pizza Wy,"1611 Central Ave, Cheyenne, WY 82001, USA",https://www.facebook.com/grandpasdowntownpizzaria/
