Cuisine Type,Name,Address,Website
Mexican,The Taco Factory,"418 E Columbia St, New Westminster, BC V3L 3W9, Canada",http://www.thetacofactory.ca/
Mexican,El Santo,"680 Columbia St, New Westminster, BC V3M 0E3, Canada",http://www.elsanto.ca/
Mexican,Vallarta's Mexican Restaurant,"2891 E Broadway, Vancouver, BC V5M 1Y9, Canada",https://vallartasmexicanvancouver.com/?
Mexican,Taqueria Playa Tropical,"334 6th St, New Westminster, BC V3L 3A8, Canada",http://www.facebook.com/TaqueriaPlayaTropical
Mexican,El Comal,"7650 Winston St, Burnaby, BC V5A 2H4, Canada",http://elcomal.ca/
Mexican,The Mexican Antojitos y Cantina,"1049 Granville St, Vancouver, BC V6Z 1L4, Canada",http://www.themexican.ca/
Mexican,Los Cuervos Taqueria & Cantina,"LOS CUERVOS, 603 Kingsway, Vancouver, BC V5T 3K5, Canada",https://www.loscuervostaqueria.net/
Mexican,Ole Ole Mexican Cuisine,"831 12th St, New Westminster, BC V3M 4K4, Canada",https://www.facebook.com/Ole-Ole-Mexican-Deli-129537510412618/
Mexican,Adelitas Restaurant,"5178 Victoria Dr, Vancouver, BC V5P 3T8, Canada",https://www.facebook.com/adelitasrestaurant.van/
Mexican,Mi Casa Mexicana,"2015 Burrard St, Vancouver, BC V6J 3H4, Canada",http://www.micasamexicana.net/
Mexican,Las Tortas Mexican Gourmet Sandwiches,"3353 Cambie St, Vancouver, BC V5Z 2W6, Canada",http://www.lastortas.ca/
Mexican,Taqueria El Asadero,"3513 Rainier Ave S, Seattle, WA 98144, USA",https://m.facebook.com/pages/El-Asadero/113043985423939
Mexican,Poquitos Bothell,"18505 Bothell Way NE Suite #103, Bothell, WA 98011, USA",https://www.poquitosbothell.com/
Mexican,Tapatio Mexican Grill,"6920 Coal Creek Pkwy SE, Newcastle, WA 98059, USA",https://www.tapatiomexicangrill.com/
Mexican,Mi Rancho Taqueria - $1 Tacos,"3092 Northwest Ave, Bellingham, WA 98225, USA",https://www.miranchomeatmarket.com/
Mexican,Viva Mexicana,"9685 BC-97 #117, Lake Country, BC V4V 1P5, Canada",https://www.vivamexicana.ca/
