Cuisine Type,Name,Address,Website
Mexican,Mrs Rios,"124 Main St, San Luis, CO 81152, USA",
Mexican,Lindo Jalisco,"1019 6th St, Alamosa, CO 81101, USA",https://cyrusramsey.com/places/lindo-jalisco/
Mexican,Juanito's Mexican Kitchen,"2069 First St, Alamosa, CO 81101, USA",https://juanitosmexicankitchen.com/
Mexican,El Super Taco,"415 Main St, Alamosa, CO 81101, USA",https://elsupertaco.net/alamosa/?utm_source=google-gmb-maps&utm_medium=gmb-website-button&utm_campaign=locl.io&utm_content=a20697c6-fe20-49fa-b1c1-8193f8728a4e
Mexican,Dos Hermanas Mexican/American Steakhouse,"435 Main St, Antonito, CO 81120, USA",http://doshermanas-steakhouse.com/
Mexican,Calvillo's Mexican Restaurant,"400 Main St, Alamosa, CO 81101, USA",https://calvillosmexicanrestaurant.wordpress.com/menu/
Mexican,Nino's Del Sol LLC,"326 Main St, Alamosa, CO 81101, USA",http://www.ninosdelsolrestaurant.com/
Mexican,Dels Diner,"19568 US-160, Fort Garland, CO 81133, USA",
Mexican,Taqueria y Antojitos Los Lopez,"1042 Park Ave, Monte Vista, CO 81144, USA",
Mexican,Oscar's Mexican Restaurant,"520 Main St, Alamosa, CO 81101, USA",http://oscarsslv.com/
Mexican,Nino's Mexican Family Restaurant,"118 Adams St, Monte Vista, CO 81144, USA",https://ninosmontevista.com/
Mexican,Emma's Authentic Food Of The Southwest,"924 Main St, Alamosa, CO 81101, USA",https://www.facebook.com/emmasfoodofthesw
Mexican,Mi Taquito,"400 Main St, Alamosa, CO 81101, USA",https://m.facebook.com/pages/Mi-Taquito/222336111159308
Mexican,Dutch Mill Cafe,"401 Main St, Antonito, CO 81120, USA",https://m.facebook.com/pages/Dutch-Mill-Restaurant/108079019233283
Mexican,Vallecitos,"404 E Main St, La Jara, CO 81140, USA",
Mexican,Taco Bell,"2435 Main St Lot 4B-2, Alamosa, CO 81101, USA",https://locations.tacobell.com/co/alamosa/2435-main-street.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=032052&utm_content=website&y_source=1_NjE0NDg5My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Lu's Main Street Cafe,"609 Main St, Blanca, CO 81123, USA",
Mexican,Chavolos Mexican Restaurant,"582 Grand Ave, Del Norte, CO 81132, USA",https://loschavalosrestaurants.com/
Mexican,Val's Place,"501 Main St, Manassa, CO 81141, USA",https://www.facebook.com/valsplacemanassa
Mexican,Baldo's Mexican Restaurant,"1100 Park Ave, Monte Vista, CO 81144, USA",
Italian,Piccadilly Circus Pizza,"513 Main St, San Luis, CO 81152, USA",
Italian,All-Gon Restaurant & Pizzeria,"319 Beaubien Ave, Fort Garland, CO 81133, USA",http://allgonrestaurant.com/
Italian,The Friar's Fork & Sanctuary,"607 Fourth St, Alamosa, CO 81101, USA",https://www.friarsfork.com/
Italian,My Brothers Place,"613 Main St, Alamosa, CO 81101, USA",
Italian,Stiano,"103 W Ryus Ave, La Veta, CO 81055, USA",https://www.stianoitalian.com/
Italian,The Purple Pig Pizzeria & Pub,"624 Main St, Alamosa, CO 81101, USA",https://purplepigpizzeria.com/
Italian,Nino's Del Sol LLC,"326 Main St, Alamosa, CO 81101, USA",http://www.ninosdelsolrestaurant.com/
Italian,Sbarro,"102 US-160, Alamosa, CO 81101, USA",https://sbarro.com/
Italian,Little Caesars Pizza,"2431 Main St, Alamosa, CO 81101, USA",https://littlecaesars.com/en-us/store/10276
Italian,Stella's Italian Restaurant,"112 Cam De La Placita, Taos, NM 87571, USA",https://www.facebook.com/StellasItalianRestaurant/
Italian,Pizza Hut,"814 Main St, Alamosa, CO 81101, USA",https://locations.pizzahut.com/co/alamosa/814-main-st?utm_medium=organic&utm_source=local&utm_campaign=googlelistings&utm_content=website&utm_term=294164
Italian,Mondo Italiano Taos,"832 Paseo Del Pueblo Sur, Taos, NM 87571, USA",http://mondoitalianotaos.com/
Italian,Chili's Grill & Bar,"3231 Main St, Alamosa, CO 81101, USA",https://www.chilis.com/locations/us/colorado/alamosa/alamosa?utm_source=google&utm_medium=local&utm_campaign=Chilis
Italian,Godfather's Pizza Express,"1537 Grand Ave, Monte Vista, CO 81144, USA",https://shop.godfathers.com/menu/
Italian,Chuds,"108 S 2nd St, Westcliffe, CO 81252, USA",http://chudspizza.com/
Italian,Domino's Pizza,"1109 6th St, Alamosa, CO 81101, USA",https://www.dominos.com/en/?utm_source=google&utm_medium=loclist&utm_campaign=localmaps
Italian,BEEZA’s Restaurant & Pub,"215 W Main St, Westcliffe, CO 81252, USA",
Italian,Paravicini's Italian Bistro,"2802 W Colorado Ave, Colorado Springs, CO 80904, USA",https://paravicinis.com/
Italian,It's Just Wings,"3231 Main St, Alamosa, CO 81101, USA",https://locations.itsjustwings.com/co/alamosa/alamosa-its-just-wings?utm_source=google&utm_medium=local&utm_campaign=IJW
Italian,Tony's Mountain Pizza,"630 Main St, Silver Cliff, CO 81252, USA",http://www.tonysmountainpizza.com/
Spanish,Mrs Rios,"124 Main St, San Luis, CO 81152, USA",
Spanish,Lu's Main Street Cafe,"609 Main St, Blanca, CO 81123, USA",
Spanish,Dels Diner,"19568 US-160, Fort Garland, CO 81133, USA",
Spanish,Dos Hermanas Mexican/American Steakhouse,"435 Main St, Antonito, CO 81120, USA",http://doshermanas-steakhouse.com/
Spanish,Dutch Mill Cafe,"401 Main St, Antonito, CO 81120, USA",https://m.facebook.com/pages/Dutch-Mill-Restaurant/108079019233283
Spanish,Lindo Jalisco,"1019 6th St, Alamosa, CO 81101, USA",https://cyrusramsey.com/places/lindo-jalisco/
Spanish,Vallecitos,"404 E Main St, La Jara, CO 81140, USA",
Spanish,Nino's Del Sol LLC,"326 Main St, Alamosa, CO 81101, USA",http://www.ninosdelsolrestaurant.com/
Spanish,Juanito's Mexican Kitchen,"2069 First St, Alamosa, CO 81101, USA",https://juanitosmexicankitchen.com/
Spanish,El Super Taco,"415 Main St, Alamosa, CO 81101, USA",https://elsupertaco.net/alamosa/?utm_source=google-gmb-maps&utm_medium=gmb-website-button&utm_campaign=locl.io&utm_content=a20697c6-fe20-49fa-b1c1-8193f8728a4e
Spanish,All-Gon Restaurant & Pizzeria,"319 Beaubien Ave, Fort Garland, CO 81133, USA",http://allgonrestaurant.com/
Spanish,101 Bar & Grill,"101 County Rd 13.2, Garcia, CO 81152, USA",https://www.facebook.com/101bargrillgarcia/
Spanish,Emma's Authentic Food Of The Southwest,"924 Main St, Alamosa, CO 81101, USA",https://www.facebook.com/emmasfoodofthesw
Spanish,Calvillo's Mexican Restaurant,"400 Main St, Alamosa, CO 81101, USA",https://calvillosmexicanrestaurant.wordpress.com/menu/
Spanish,Val's Place,"501 Main St, Manassa, CO 81141, USA",https://www.facebook.com/valsplacemanassa
Spanish,Nino's Mexican Family Restaurant,"118 Adams St, Monte Vista, CO 81144, USA",https://ninosmontevista.com/
Spanish,Casita de Rivera,"501 Main St, Manassa, CO 81141, USA",https://www.facebook.com/profile.php?id=61550561740628&mibextid=D4KYlr
Spanish,Taqueria y Antojitos Los Lopez,"1042 Park Ave, Monte Vista, CO 81144, USA",
Spanish,Oscar's Mexican Restaurant,"520 Main St, Alamosa, CO 81101, USA",http://oscarsslv.com/
Spanish,Dos Rios,"1635 US Hwy 285, Monte Vista, CO 81144, USA",
American,Mountain View Diner,"403 Miranda Ave, Fort Garland, CO 81133, USA",https://www.mountainviewdinerco.com/
American,Dels Diner,"19568 US-160, Fort Garland, CO 81133, USA",
American,Lu's Main Street Cafe,"609 Main St, Blanca, CO 81123, USA",
American,Mrs Rios,"124 Main St, San Luis, CO 81152, USA",
American,4th Street Grille,"408 Fourth St, Alamosa, CO 81101, USA",https://www.alamosaeats4thstreet.com/
American,The Rubi Slipper LLC,"506 State Ave, Alamosa, CO 81101, USA",
American,Piccadilly Circus Pizza,"513 Main St, San Luis, CO 81152, USA",
American,Knee Knockers Bar & Grill,"500 Cottonwood Dr, Alamosa, CO 81101, USA",https://www.kneeknockersbg.com/
American,"Mountain View Restaurant , Monte Vista Colorado","2099 Sherman Ave, Monte Vista, CO 81144, USA",http://mountainviewdining.net/
American,Dos Hermanas Mexican/American Steakhouse,"435 Main St, Antonito, CO 81120, USA",http://doshermanas-steakhouse.com/
American,The Friar's Fork & Sanctuary,"607 Fourth St, Alamosa, CO 81101, USA",https://www.friarsfork.com/
