Cuisine Type,Name,Address,Website
Mexican,Sonora Mx Taqueria,"5168 A Ladner Trunk Rd, Delta, BC V4K 1W4, Canada",https://www.sonoramxtaqueria.com/
Mexican,Taps and Tacos,"91 Moody St, Port Moody, BC V3H 0H1, Canada",https://www.tapsandtacos.ca/
Mexican,El Tapatio | Mexican Restaurant,"353 Main St, Delta, CO 81416, USA",http://tapatiorestaurants.com/
Mexican,Fiesta Vallarta,"447 Main St, Delta, CO 81416, USA",
Mexican,TacoTime,"707 Main St, Delta, CO 81416, USA",https://www.tacotime.com/stores/6125?utm_source=gmb&utm_medium=gmb&utm_campaign=gmb&utm_id=gmb
Mexican,TAQUERIA MASTER LLC,"268 CO-92, Delta, CO 81416, USA",https://www.facebook.com/profile.php?id=100089486620001&mibextid=LQQJ4d
Mexican,Taco Bell,"674 Stafford Ln, Delta, CO 81416, USA",https://locations.tacobell.com/co/delta/674-stafford-lane.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=036772&utm_content=website&y_source=1_NjE0MjU0MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,Tacos Garcia,"802 Main St, Delta, CO 81416, USA",
Swedish,Kumare Restaurant and Bakery,"8047 120 St #100, Delta, BC V4C 6P8, Canada",
Italian,Apollo Pizza + Pasta,"11161 84 Ave #9, Delta, BC V4C 2K4, Canada",http://www.apollopizza.ca/
Italian,Il Posto,"4866 Delta St, Delta, BC V4K 2T8, Canada",https://www.ilpostoresto.com/
Italian,Mario's Kitchen,"1105 56 St, Delta, BC V4L 2A2, Canada",http://www.marioskitchen.ca/
Italian,Claudio's Ristorante,"4402 Skyline Dr #103, Burnaby, BC V5C 0M7, Canada",http://www.claudiosristorante.ca/
Italian,"Illuminaté Restorante - Steakhouse, Seafood, Italian","1077 56 St, Delta, BC V4L 2A2, Canada",https://illuminaterestorante.com/contact-reservation/
Italian,The Old Spaghetti Factory (Richmond),"Riverport Entertainment Complex, 14200 Entertainment Blvd #110, Richmond, BC V6W 1K3, Canada",http://www.oldspaghettifactory.ca/locations/richmond
Italian,Alfa Greco Roman Cuisine,"1097 56 St, Delta, BC V4L 2A2, Canada",http://alfapizza.net/
Italian,Italian Tomato Restaurant,"8380 Bridgeport Rd, Richmond, BC V6X 3C7, Canada",https://italiantomato.ca/
Italian,Robba da Matti (Gastown),"12 Powell St, Vancouver, BC V6A 1G1, Canada",https://www.robbadamatti.com/
Italian,Sprezzatura Restaurant,"265 Kingsway, Vancouver, BC V5T 3J5, Canada",http://www.sprezzatura.ca/
Italian,Emilio Finatti Pizzeria Port Moody,"2818 St Johns St, Port Moody, BC V3H 2C1, Canada",http://www.emiliofinatti.com/
Italian,Stefanos Restaurant,"315 Columbia St, New Westminster, BC V3L 1A7, Canada",http://www.stefanos.ca/
Italian,M N' A Wings Corner N' Pizza,"6461 120 St, Delta, BC V4E 3G3, Canada",https://mnawingscorner.ca/
Italian,"Blue Heron Pizza Co. Tsawwassen Mills - Pizza, Chai, Tea, Golgappa, Chat Papri, Samosa, Punjabi Food / Indian Food 'n Snacks,","5000 Canoe Pass Wy Suite 312, Tsawwassen, BC V4M 4G8, Canada",https://blueheronpizza.com/
Italian,Viva Sue Pizza,"5115 Canada Wy, Burnaby, BC V5E 3N1, Canada",http://www.vivasuepizza.com/
Italian,HellCrust Pizza - New Westminster,"800 12th St, New Westminster, BC V3M 4K1, Canada",https://hellcrustpizza.com/
Italian,Pinch Of Spice | Indian Cuisine • Banquet Hall,"Next to Dollarama, 8655 120 St, Delta, BC V4C 6R4, Canada",https://pinchofspice.ca/
Italian,Daveto's | Italian Restaurant,"520 Main St, Delta, CO 81416, USA",http://www.davetos.com
Spanish,Kumare Restaurant and Bakery,"8047 120 St #100, Delta, BC V4C 6P8, Canada",
Spanish,Taps and Tacos,"91 Moody St, Port Moody, BC V3H 0H1, Canada",https://www.tapsandtacos.ca/
Spanish,El Tapatio | Mexican Restaurant,"353 Main St, Delta, CO 81416, USA",http://tapatiorestaurants.com/
Spanish,Fiesta Vallarta,"447 Main St, Delta, CO 81416, USA",
Spanish,Bread & Cheese Food Truck,"1608 Cliveden Ave, Delta, BC V3M 6M2, Canada",https://www.breadandcheeseco.ca/
Spanish,The Keg Steakhouse + Bar - Scott Road,"7948 120 St, Surrey, BC V3W 3N2, Canada",http://www.thekeg.com/en/locations/scott-road
Spanish,Kelly O'Bryan's Restaurant & Carlos O'Bryan's Pub,"800 Columbia St, New Westminster, BC V3M 5V2, Canada",https://www.kobcob.com/new-Westminster/
Spanish,Francisco's Restaurant,"353 Main St, Delta, CO 81416, USA",https://franciscos-co.com/
Spanish,Rico Antojo Mexican Food,"396 W Main St, Delta, UT 84624, USA",https://ricoantojomexicanfoodut.com/
Spanish,The Keg Steakhouse + Bar - Burnaby,"4510 Still Creek Ave, Burnaby, BC V5C 0B5, Canada",http://www.thekeg.com/en/locations/burnaby
Spanish,C&J Cafe,"311 Main St, Delta, CO 81416, USA",
