Cuisine Type,Name,Address,Website
Mexican,Choza PDX,"7361 SW Bridgeport Rd, Tigard, OR 97224, USA",http://www.chozapdx.com/
Italian,Pastini,"7307 SW Bridgeport Rd B-105, Tigard, OR 97224, USA",http://www.pastini.com/
Spanish,La Bodega Del Mofongo Restaurant,"4 Crescent Ave, Bridgeport, CT 06608, USA",
American,American Steakhouse,"210 Boston Ave, Bridgeport, CT 06610, USA",http://americansteakhouse.com/
Thai,Patsara Thai,"528 Carnarvon St, New Westminster, BC V3L 1C4, Canada",https://www.patsara.ca/
Japanese,Sinju Sushi,"7339 SW Bridgeport Rd, Tigard, OR 97224, USA",http://sinjurestaurant.com/sushi-menu/bridgeport-tualatin-sushi-restaurant/#menu
Chinese,Cantonese BBQ Seafood Restaurant Authentic Cantonese Food (Order from our website & SAVE MORE!),"3320 Kingsway #320, Vancouver, BC V5R 5L1, Canada",https://cantonesebbqseafood.zomi.menu/
Chinese,HK BBQ Master,"4651 No. 3 Rd, Richmond, BC V6X 2C4, Canada",https://www.facebook.com/HK-BBQ-Master-146374932074763
Chinese,Hakka Momo Corner,"3031 Beckman Pl #140, Richmond, BC V6X 3R3, Canada",https://hakkamomocorner.com/
Chinese,CHOCHO Hot Pot,"4361 Kingsway #4A, Burnaby, BC V5H 1Z9, Canada",https://www.dolarshop.com/location/chochohotpotkingsway
Chinese,P.F. Chang's,"7463 SW Bridgeport Rd, Tigard, OR 97224, USA",https://www.pfchangs.com/locations/us/or/tigard/7463-sw-bridgeport-rd/9974-bridgeport-village-mall.html?utm_source=google_gbp&utm_medium=organic
Chinese,Uno Beef Noodle,"2811 No. 3 Rd #135, Richmond, BC V6X 2B2, Canada",https://www.facebook.com/UnoBeefNoodle/
Chinese,Kook Korean BBQ Restaurant,"2800 E 1st Ave #211A, Vancouver, BC V5M 4N9, Canada",http://kookbbq.ca/
Chinese,Bridgeport,"Bridgeport, Richmond, BC V6X 0L1, Canada",
Chinese,Bridgeport Station,"Richmond, BC V6X, Canada",http://www.translink.ca/
Chinese,River Rock Casino Resort,"8811 River Rd, Richmond, BC V6X 3P8, Canada",http://www.riverrock.com/
Chinese,Gang Nam Korean BBQ,"4580 No. 3 Rd #2065, Richmond, BC V6X 4E8, Canada",http://restaurantwebx.com/GangNamKorean/
Chinese,Great Wall Chinese Restaurant,"4175 Main St, Bridgeport, CT 06606, USA",
Chinese,CT NO1 Chinese Restaurant,"Across from Treeland .Vazzy near the Trumbull line, 1055 Huntington Turnpike, Bridgeport, CT 06610, USA",https://tapthru.com/store/ct-no1-chinese-restaurant-bridgeport-9017/
Chinese,Panda Chinese Restaurant,"983 Main St, Bridgeport, CT 06604, USA",http://www.pandabridgeport.com/
Chinese,Great China,"52 Huntington Turnpike, Bridgeport, CT 06610, USA",
Chinese,Peking Restaurant,"264 Wade St, Bridgeport, CT 06604, USA",https://www.facebook.com/pages/Peking-Restaurant/115195955169513
Chinese,Jade Lee Kitchen,"2640 Main St, Bridgeport, CT 06606, USA",
Chinese,China Sky Chinese Restaurant,"2675 Fairfield Ave, Bridgeport, CT 06605, USA",
Chinese,New Kitchen,"280 Washington Ave #4, Bridgeport, CT 06604, USA",
Chinese,King's Wok Chinese Restaurant,"1664 Park Ave, Bridgeport, CT 06604, USA",http://www.kingswokbridgeport.com/?utm_source=gmb&utm_medium=website
Indian,Aayat Kitchen,"2350 Main St, Bridgeport, CT 06606, USA",https://www.aayatkitchen.com/
Indian,Tasty Halal Restaurant,"988 State St #1500, Bridgeport, CT 06605, USA",
Canadian,Chop Steakhouse & Bar,"10251 St Edwards Dr, Richmond, BC V6X 2M9, Canada",https://chop.ca/locations/richmond-airport?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic
French,Chop Steakhouse & Bar,"10251 St Edwards Dr, Richmond, BC V6X 2M9, Canada",https://chop.ca/locations/richmond-airport?utm_source=GMB&utm_medium=google-location-listing&utm_campaign=organic
Hawaiian,Hawaii Five-O-Three Café,"619 NE 3rd St, McMinnville, OR 97128, USA",
Brazilian,Bridgeport,"Bridgeport, Richmond, BC V6X 0L1, Canada",
Peruvian,Bridgeport,"Bridgeport, Richmond, BC V6X 0L1, Canada",
Salvadorian,Bridgeport Station,"Richmond, BC V6X, Canada",http://www.translink.ca/
Cuban,Boy With A Knife,"3331 Viking Way #7, Richmond, BC V6V 1X7, Canada",http://www.bwak.ca/
Egyptian,Shawarma Palace,"11020 No 5 Rd #123, Richmond, BC V7A 4E7, Canada",https://shawarmapalacebc.com/
Greek,Urban Greek Kitchen,"702 Bridgeport Ave Suite 102A, Shelton, CT 06484, USA",http://urbangreekct.com/
Belgian,Bridgeport,"Bridgeport, Richmond, BC V6X 0L1, Canada",
Irish,Brennan's Shebeen Irish Bar and Grill,"2652 Fairfield Ave, Bridgeport, CT 06605, USA",http://brennans-bar-grill.keeq.io/
Irish,"The Castle, Black Rock","3171 Fairfield Ave, Bridgeport, CT 06605, USA",https://www.thecastleblackrock.com/
Irish,Matty's Corner,"2816 Fairfield Ave, Bridgeport, CT 06605, USA",
Irish,O'Neil's Bar & Lounge,"2720 Fairfield Ave, Bridgeport, CT 06605, USA",
Irish,Limerick Pub,"600 Main St, Bridgeport, CT 06604, USA",
Irish,Murphy's Law,"239 Fairfield Ave, Bridgeport, CT 06604, USA",
Irish,Tautog Tavern,"2926 Fairfield Ave, Bridgeport, CT 06605, USA",https://www.instagram.com/tautog_tavern
Cajun,Crab Du Jour Xpress Cajun Seafood,"4086 Main St, Bridgeport, CT 06606, USA",http://www.crabdujour.com/
Portuguese,Avenida Restaurant,"757 Madison Ave, Bridgeport, CT 06606, USA",
Portuguese,Solmar Restaurant,"290 George St, Bridgeport, CT 06604, USA",
Portuguese,O'Manel Restaurant,"1909 Main St, Bridgeport, CT 06604, USA",http://omanelrestaurant.com/
Portuguese,Don Raphael Brazilian/Portuguese Cuisine,"256 Oak St, Bridgeport, CT 06604, USA",https://donraphaelbrazilianportuguesecuisinect.com/
Portuguese,Brasa Pub & Restaurant,"1439 Madison Ave, Bridgeport, CT 06606, USA",
Turkish,Shawarma Palace,"11020 No 5 Rd #123, Richmond, BC V7A 4E7, Canada",https://shawarmapalacebc.com/
Haitian,Creole Fusion Cuisine,"1985 Main St, Bridgeport, CT 06604, USA",https://www.creolefusioncuisine.com/
Haitian,Jean's Cuisine,"344 James St, Bridgeport, CT 06604, USA",https://www.thejeanscuisine.com/
Haitian,Ronald's Haitian Cuisine,"1147 Madison Ave UNIT A, Bridgeport, CT 06606, USA",
Haitian,Milah's Cuisine,"252 Lindley St, Bridgeport, CT 06606, USA",
Nigerian,Safari77 Cuisine,"2434 Main St, Bridgeport, CT 06606, USA",https://www.safari77cuisine.com/
Moroccan,Bridgeport,"Bridgeport, Richmond, BC V6X 0L1, Canada",
Vietnamese,Ivy's Kitchen Vietnamese Restaurant,"4598 Main St, Vancouver, BC V5V 3R5, Canada",
Mediterranean,Bereket Turkish Restaurant,"4031 Main St, Bridgeport, CT 06606, USA",http://www.bereketturkishrestaurant.com/
Ethiopian,Lalibela Ethiopian Restaurant,"176 Temple St, New Haven, CT 06510, USA",http://lalibelact.com/
Soul,Thelma’s Soul Food Restaurant & Bar,"138 Fairfield Ave, Bridgeport, CT 06604, USA",https://thelmassoulfood.com/
Argentinian,Bridgeport,"Bridgeport, Richmond, BC V6X 0L1, Canada",
Chilean,Al Chile,"1340 Davie St, Vancouver, BC V6E 1N6, Canada",https://instagram.com/alchilevan?igshid=MzRlODBiNWFlZA==
Colombian,Bridgeport Station,"Richmond, BC V6X, Canada",http://www.translink.ca/
Ecuadorian,Karen's Ecuadorian Restaurant,"1204 E Main St, Bridgeport, CT 06608, USA",https://www.facebook.com/KarensEcuadorianRestaurant/
Ghanaian,Safari77 Cuisine,"2434 Main St, Bridgeport, CT 06606, USA",https://www.safari77cuisine.com/
Guatemalan,Antojitos Latinos,"2810 Fairfield Ave, Bridgeport, CT 06605, USA",
Honduran,Bridgeport,"Bridgeport, Richmond, BC V6X 0L1, Canada",
Icelandic,Bridgeport,"Bridgeport, Richmond, BC V6X 0L1, Canada",
Iranian,Shawarma Palace,"11020 No 5 Rd #123, Richmond, BC V7A 4E7, Canada",https://shawarmapalacebc.com/
Jamaican,Family Spice Restaurant,"188 Pequonnock St, Bridgeport, CT 06604, USA",
Jamaican,Flavaz,"794 Boston Ave, Bridgeport, CT 06610, USA",
Jamaican,Yard Jerk,"1065 Housatonic Ave, Bridgeport, CT 06606, USA",
Jamaican,Island Vybez Jamaican Restaurant,"690 Beechmont Ave, Bridgeport, CT 06606, USA",
Jamaican,Yard Jerk,"2099 E Main St, Bridgeport, CT 06610, USA",
Jamaican,Rootsman Kitchen,"500 Park Ave, Bridgeport, CT 06604, USA",
Jamaican,Christine's Pot Of Gold,"1374 Park Ave, Bridgeport, CT 06604, USA",
Jamaican,One love KV INC Restaurant,"2175 Boston Ave, Bridgeport, CT 06610, USA",
Jamaican,Awesome Sauce Caribbean Flavors,"840 State St, Bridgeport, CT 06604, USA",https://www.facebook.com/Awesome-Sauce-Caribbean-Flavors-765077306876293/timeline
Jamaican,4 Styles Chicken,"468 Huntington Turnpike, Bridgeport, CT 06610, USA",
Jamaican,ZLicious Caribbean Kitchen,"1126 Main St, Bridgeport, CT 06604, USA",http://zliciouscaribbeankitchen.com/?utm_source=gmb&utm_medium=referral
Jamaican,Grill Master Dex Jerk Spot,"4700 Park Ave, Bridgeport, CT 06606, USA",https://instagram.com/grillmasterdexjerkspot?utm_medium=copy_link
Jamaican,Harvey's Kitchen LLC,"392 Granfield Ave, Bridgeport, CT 06610, USA",
Jamaican,Jam-Rock Cuisine,"1304 Boston Ave, Bridgeport, CT 06610, USA",https://caribbeanfoodbridgeport.com/
Jamaican,Avery's Place,"25 Cannon St, Bridgeport, CT 06604, USA",
Jamaican,So Good Jamaican Cuisine,"1289 Railroad Ave Apt.402, Bridgeport, CT 06605, USA",https://finger-lickin-gud-jamaican-restaurant.business.site/?utm_source=gmb&utm_medium=referral
Jamaican,Grill 2,"1020 Broad St, Bridgeport, CT 06604, USA",http://grill2ct.com/
Jamaican,CJs Jerk Center Jamaican Restaurant,"1529 Stratford Ave, Bridgeport, CT 06607, USA",
Jamaican,876 sky level restaurant,"1439 Boston Ave, Bridgeport, CT 06610, USA",http://876skylevelrestaurant.com/?utm_source=gmb&utm_medium=referral
Jamaican,Daleys Jamaican restaurant,"1575 Iranistan Ave, Bridgeport, CT 06604, USA",
Malaysian,Uno Beef Noodle,"2811 No. 3 Rd #135, Richmond, BC V6X 2B2, Canada",https://www.facebook.com/UnoBeefNoodle/
Nepalese,Royal Nepalese Momo Palace - #1 Place for Momos + Sugarcane Juice,"3490 Kingsway, Vancouver, BC V5R 5L7, Canada",https://www.royalmomopalace.com/
Nicaraguan,Bridgeport,"Bridgeport, Richmond, BC V6X 0L1, Canada",
Pakistani,Tasty Halal Restaurant,"988 State St #1500, Bridgeport, CT 06605, USA",
Peruvian,Bridgeport,"Bridgeport, Richmond, BC V6X 0L1, Canada",
Puerto Rican,La Bodega Del Mofongo Restaurant,"4 Crescent Ave, Bridgeport, CT 06608, USA",
Puerto Rican,El Coquito,"510 E Main St, Bridgeport, CT 06608, USA",http://www.elcoquitoct.com/
Puerto Rican,Rainbow,"1329 E Main St, Bridgeport, CT 06608, USA",
Puerto Rican,El Cochinito,"883 E Main St, Bridgeport, CT 06608, USA",http://el-cochinito.lany.io/
