Cuisine Type,Name,Address,Website
Mexican,Pepper's Mexican Grill & Cantina,"309 Reid Ave, Port St Joe, FL 32456, USA",https://www.peppersmexicancantina.com/dinner
Mexican,Quatro Locos Tacos and Cantina,"301 Monument Ave, Port St Joe, FL 32456, USA",https://www.facebook.com/QuatroLocosPSJ/
Mexican,Taqueria Las Brasitas,"2604 US-98, Mexico Beach, FL 32456, USA",
Mexican,El Jalisco Wewahitchka,"1790 FL-22, Wewahitchka, FL 32465, USA",https://eljalisco.com/locations/wewahitchka/
Mexican,Taco Bell,"Ave B and, W Hwy 98, Port St Joe, FL 32456, USA",https://locations.tacobell.com/fl/port-st-joe/ave-b-and-hwy-98.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=037369&utm_content=website&y_source=1_MzI3MzYxNDMtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Mexican,T K hibachi,"1000 US-98, Mexico Beach, FL 32456, USA",
Mexican,El Jalisco Eastpoint,"260 US-98, Eastpoint, FL 32328, USA",https://www.eljalisco.com/locations/eastpoint/
Mexican,Mango Marley's,"3102 US-98, Mexico Beach, FL 32456, USA",http://www.mangomarleys.com/
Swedish,Sand Dollar Cafe,"301 Monument Ave, Port St Joe, FL 32456, USA",http://sanddollarcafepsj.com/
Latvian,Provisions Restaurant & Catering,"222 Reid Ave, Port St Joe, FL 32456, USA",http://www.provisionsfl.com/
Italian,The Italian Kitchen,"101 Monument Ave, Port St Joe, FL 32456, USA",https://theitaliankitchenpsj.com/
Italian,Joe Mama's Wood Fired Kitchen,"406 Reid Ave, Port St Joe, FL 32456, USA",http://www.joemamaspizza.com/
Italian,Pomodoro Italian Grill and Bar,"700 Country Club Rd, Port St Joe, FL 32456, USA",https://www.facebook.com/pomodoroitaliangrillandbar.psj
Italian,Provisions Restaurant & Catering,"222 Reid Ave, Port St Joe, FL 32456, USA",http://www.provisionsfl.com/
Italian,Hungry Howie's Pizza & Subs,"418 Monument Ave, Port St Joe, FL 32456, USA",https://www.hungryhowies.com/stores/fl/port-st-joe/418-monument-ave?utm_source=google&utm_medium=organic&utm_campaign=googlebusinessprofile
