Cuisine Type,Name,Address,Website
Mexican,Don Jose Mexican Restaurant,"4731 Lakeview Dr, Sebring, FL 33870, USA",http://www.donjosemexican.com/
Mexican,Azul Tequila,"2521 US Hwy 27 N, Sebring, FL 33870, USA",http://azultequilacuisine.com/
Mexican,La Hacienda Restaurant,"825 N Ridgewood Dr, Sebring, FL 33870, USA",https://lahaciendasebring.com/
Mexican,Ranchero Cafe Restaurant,"344 N Ridgewood Dr, Sebring, FL 33870, USA",
Mexican,Casa Tequila Mexican Restaurant,"3601 Placid Lakes Blvd, Lake Placid, FL 33852, USA",https://www.facebook.com/CasaTequilaMexicanRestaurantBar
Mexican,Taqueria Y Tienda Jalisco,"928 S Main Ave, Lake Placid, FL 33852, USA",
Mexican,Chipotle Mexican Grill,"1310 US Hwy 27 N, Sebring, FL 33870, USA",https://www.chipotle.com/?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,La Malquerida Restaurant & Tienda Avon Park,"600 W Main St, Avon Park, FL 33825, USA",https://www.facebook.com/LaMalqueridaTienda/
Mexican,Oscar's Family Restaurant,"267 US Hwy 27 N, Sebring, FL 33870, USA",https://www.oscarsfamilyrestaurant.online/
Mexican,Taco Bell,"1698 US Hwy 27, Sebring, FL 33870, USA",https://locations.tacobell.com/fl/sebring/1698-us-27-north.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=032190&utm_content=website&y_source=1_NjE0NTg3Ni03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Mexican,El Paso Tienda Mexican Food,"209 US Hwy 27 N, Avon Park, FL 33825, USA",
Mexican,Tacos Y Pupusas La Libertad,"913 FL-17, Sebring, FL 33870, USA",
Mexican,La Yerbita,"19 N Central Ave, Avon Park, FL 33825, USA",http://layerbita.com/
Mexican,Taqueria Merlo,"1004 W Main St, Avon Park, FL 33825, USA",https://taqueriamerlos.com/
Mexican,Chili's Grill & Bar,"821 US Hwy 27 N, Sebring, FL 33870, USA",https://www.chilis.com/locations/us/florida/sebring/sebring?utm_source=google&utm_medium=local&utm_campaign=Chilis
Mexican,SENOR JALAPENO,"2451 US Hwy 27 S, Avon Park, FL 33825, USA",http://www.senorjalapenorestaurant.com/
