Cuisine Type,Name,Address,Website
Mexican,El Catorce Mexican Diner,"230 Gunnison Ave, Lake City, CO 81235, USA",https://www.toasttab.com/el_catorce/v3
Mexican,Mi Mexico Family Mexican restaurant,"118 7th Ave, Ouray, CO 81432, USA",https://www.mimexicofamily.com/
Mexican,El Agave Azul,"665 Sherman St, Ridgway, CO 81432, USA",https://elagaveazulridgway.com/
Mexican,Chavolo's Mexican Restaurant,"637 E Colorado Dr A, Bayfield, CO 81122, USA",
Mexican,Vallecito Lake Country Market,"18071 Co Rd 501, Bayfield, CO 81122, USA",http://vallecitolakecountrymarket.com/
Mexican,Tequilas Family Mexican Restaurant,"14 E Mill St, Bayfield, CO 81122, USA",https://www.tequilasmexicanbayfield.com/
Mexican,Chavolos Taqueria,"301 N Pagosa Blvd b2, Pagosa Springs, CO 81147, USA",http://chavolospagosasprings.com/
Mexican,Ramon's Mexican Restaurant,"56 Talisman Dr # 1, Pagosa Springs, CO 81147, USA",http://www.ramonspagosa.com/
Mexican,ESPERANZA'S Tequila Restaurant,"226 W Colorado Ave, Telluride, CO 81435, USA",https://www.facebook.com/Esperanzas-Tequilas-Telluride-738636292817851/
Mexican,Tequila's Pagosa,"439 San Juan St, Pagosa Springs, CO 81147, USA",http://tequilaspagosa.com/
Mexican,Beny's Authentic Mexican Restaurant and Bar,"180 E Pagosa St, Pagosa Springs, CO 81147, USA",https://www.benysmexicanrestaurant.com/
Mexican,La Cocina de Luz,"123 E Colorado Ave, Telluride, CO 81435, USA",
Mexican,Don Gilberto Mexican Food,"16367 S Townsend Ave Unit 14, Montrose, CO 81401, USA",
Mexican,El Jimador,"1201 S Townsend Ave, Montrose, CO 81401, USA",
Mexican,Fiesta Guadalajara,"1571 Ogden Rd, Montrose, CO 81401, USA",http://fiestaguadalajaraco.com/
Mexican,La Hacienda Mexican Restaurant,"2850 Main Ave, Durango, CO 81302, USA",
Mexican,Mi Mexico,"1706 E Main St, Montrose, CO 81401, USA",https://www.mimexicofamily.com/
Mexican,Tequila's Family Mexican Restaurant,"948 Main Ave, Durango, CO 81301, USA",http://www.tequilasmexicandurango.com/
Mexican,Agave Family Mexican Restaurant,"800 N Main St, Gunnison, CO 81230, USA",https://www.agavefamilymexican.com/
Mexican,Nayarit Restaurant,"1135 S Camino Del Rio, Durango, CO 81303, USA",http://nayaritmexicandurango.com/
Swedish,Natalia's 1912 Restaurant,"1159 Blair St, Silverton, CO 81433, USA",http://www.natalias1912.com/
Italian,Trattoria Di Sofia,"1343 Mayfly Dr, Montrose, CO 81401, USA",https://www.trattoriadisofia.com/
Italian,Bella Vino,"220 S Lena St, Ridgway, CO 81432, USA",https://bellavinorestaurant.com/
Italian,Gustoso Italian Restaurant,"117 Navajo Trail Dr d, Pagosa Springs, CO 81147, USA",
Italian,Pahgre's,"1541 Oxbow Dr, Montrose, CO 81401, USA",https://www.pahgres.com/
Italian,Perbacco Cucina Italiana,"505 Main Ave, Durango, CO 81301, USA",https://www.perbaccodurango.com/
Italian,Garlic Mike's,"2674 CO-135, Gunnison, CO 81230, USA",http://garlicmikes.com/
Italian,PRIMI Pasta & Wine Bar,"1201 Main Ave #102, Durango, CO 81301, USA",http://www.primidurango.com/
Italian,Mamma Silvia's Italian Kitchen,"150 E College Dr, Durango, CO 81301, USA",https://www.mammasilvias.com/
Italian,Rustico Ristorante,"114 E Colorado Ave, Telluride, CO 81435, USA",http://www.rusticoristorante.com/
Italian,La Piazza del Villaggio Ristorante,"117 Lost Creek Ln, Mountain Village, CO 81435, USA",http://telluridepizzeria.com/
Italian,Bon Ton Restaurant,"P.O. 622, 426 Main St, Ouray, CO 81427, USA",http://bonton-restaurant.com/
Italian,The Wrangler,"300 3rd St, Lake City, CO 81235, USA",https://www.facebook.com/profile.php?id=100090742721193&mibextid=LQQJ4d
Italian,Mario's Pizza & Pasta,"213 W Tomichi Ave, Gunnison, CO 81230, USA",https://www.mariosgunnison.com/?y_source=1_Mjg5OTI3MjItNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Alpino Vino,"12100 Camels' Garden Rd, Colorado 81320, USA",http://www.tellurideskiresort.com/events-activities/dining/alpino-vino/
Italian,Alce' Restaurant,"589 Co Rd 252, Durango, CO 81301, USA",http://www.daltonranch.com/
Italian,Scalzotto Italian Restaurant Loveland,"530 Cleveland Ave, Loveland, CO 80537, USA",https://scalzottoitalianrestaurant.com/
Italian,Crazy Elk Pizza,"562 Mountain Village Blvd, Mountain Village, CO 81435, USA",https://tellurideskiresort.com/dine/#Crazy%20Elk%20Pizza
Italian,Colorado Boy Pizzeria & Brewery,"320 E Main St, Montrose, CO 81401, USA",https://coloradoboymontrose.com/
Italian,The Saloon at Gorrono Ranch Restaurant,"Mountain Village, CO 81435, USA",
Italian,Arrowhead Mountain Lodge,"21401 Alpine Plateau Rd, Cimarron, CO 81220, USA",http://www.arrowheadmountainlodge.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=14539968348735028223
Spanish,El Catorce Mexican Diner,"230 Gunnison Ave, Lake City, CO 81235, USA",https://www.toasttab.com/el_catorce/v3
Spanish,Vallecito Lake Country Market,"18071 Co Rd 501, Bayfield, CO 81122, USA",http://vallecitolakecountrymarket.com/
Spanish,Mi Mexico Family Mexican restaurant,"118 7th Ave, Ouray, CO 81432, USA",https://www.mimexicofamily.com/
Spanish,ESPERANZA'S Tequila Restaurant,"226 W Colorado Ave, Telluride, CO 81435, USA",https://www.facebook.com/Esperanzas-Tequilas-Telluride-738636292817851/
Spanish,Land & Ocean,"185 Sherman St UNIT 101, Ridgway, CO 81432, USA",https://www.facebook.com/costaricanrestaurant/
Spanish,La Cocina de Luz,"123 E Colorado Ave, Telluride, CO 81435, USA",
Spanish,Chavolo's Mexican Restaurant,"637 E Colorado Dr A, Bayfield, CO 81122, USA",
Spanish,El Buen Sabor,"82 Rose Ln, Montrose, CO 81401, USA",https://cyrusramsey.com/places/el-buen-sabor/
Spanish,Beny's Authentic Mexican Restaurant and Bar,"180 E Pagosa St, Pagosa Springs, CO 81147, USA",https://www.benysmexicanrestaurant.com/
Spanish,Los Chavalos Mexican Restaurant,"30333 US-160, South Fork, CO 81154, USA",https://loschavalosrestaurants.com/
Spanish,1880 Tapas & Spirits,"206 N Main St, Gunnison, CO 81230, USA",http://www.1880tapas.com/
Spanish,El Jimador,"1201 S Townsend Ave, Montrose, CO 81401, USA",
Spanish,Gazpacho Restaurant,"431 E 2nd Ave, Durango, CO 81301, USA",http://www.gazpachodurango.com/
Spanish,Breakfast Hangout & Euphoria,"925 Ocean Wave Dr, Lake City, CO 81235, USA",http://www.breakfasthangout.com/
Spanish,Chavolos Taqueria,"301 N Pagosa Blvd b2, Pagosa Springs, CO 81147, USA",http://chavolospagosasprings.com/
Spanish,Tequilas Family Mexican Restaurant,"14 E Mill St, Bayfield, CO 81122, USA",https://www.tequilasmexicanbayfield.com/
Spanish,El Agave Azul,"665 Sherman St, Ridgway, CO 81432, USA",https://elagaveazulridgway.com/
Spanish,Nayarit Restaurant,"1135 S Camino Del Rio, Durango, CO 81303, USA",http://nayaritmexicandurango.com/
Spanish,Cafe Silvestre,"903 N Main St, Gunnison, CO 81230, USA",https://www.cafesilvestreltd.com/
Spanish,Don Gilberto Mexican Food,"16367 S Townsend Ave Unit 14, Montrose, CO 81401, USA",
American,Packer Saloon & Cannibal Grill,"310 Silver St, Lake City, CO 81235, USA",http://www.packersaloonandcannibalgrill.com/
American,Sportsman's BBQ Station,"173 S Gunnison Ave, Lake City, CO 81235, USA",http://sportsmansbbqbackyard.com/
American,El Catorce Mexican Diner,"230 Gunnison Ave, Lake City, CO 81235, USA",https://www.toasttab.com/el_catorce/v3
American,Climb Elevated Eatery,"808 Gunnison Ave, Lake City, CO 81235, USA",http://climbeatery.com/
American,True Grit Cafe,"123 N Lena St, Ridgway, CO 81432, USA",https://truegritcafe.com/
American,Big Billies Restaurant,"332-398 Adams Ranch Rd, Mountain Village, CO 81435, USA",https://tellurideskiresort.com/dine/#Big%20Billies
American,Antlers Riverside Restaurant,"26222 CO-149, Creede, CO 81130, USA",http://www.antlerslodge.com/
American,Tommyknocker Tavern,"107 Wall St, Creede, CO 81130, USA",http://www.tommyknockertavern.com/
American,Eatery 66,"520 Sherman St, Ridgway, CO 81432, USA",http://www.eatery66.com/
American,Palisades Restaurant,"820 N Main St, Gunnison, CO 81230, USA",https://www.palisadesrestaurantco.com/#menu
American,Tavern at Cobble Creek,"699 Cobble Dr, Montrose, CO 81403, USA",https://www.cobblecreek.com/take-out-menu
American,The Ridgway,"304 S Lena St, Ridgway, CO 81432, USA",
American,Diamond Belle Saloon,"699 Main Ave, Durango, CO 81301, USA",https://strater.com/dining/diamond-belle-saloon/
American,Animas Grille & Lounge,"501 Camino Del Rio, Durango, CO 81301, USA",
American,Lazy Dog Saloon,"153 US-550, Ridgway, CO 81432, USA",
American,FullTilt Saloon,"726 Main St, Ouray, CO 81427, USA",https://www.fulltiltsaloon.com/
American,Floradora Saloon,"103 W Colorado Ave, Telluride, CO 81435, USA",http://www.floradorasaloon.com/
American,Kate's Place,"615 Clinton St, Ridgway, CO 81432, USA",http://katesplaceridgway.com/
American,Hermosa Creek Grill,"32223 US-550, Durango, CO 81301, USA",
American,Brickhouse 737,"737 Main St, Ouray, CO 81427, USA",http://brickhouse737.com/
Scottish,Chop House Restaurant at New Sheridan,"231 W Colorado Ave, Telluride, CO 81435, USA",https://www.newsheridan.com/chop-house-restaurant-telluride-new-sheridan/
British,The Brit,"5905 Corporate Dr, Colorado Springs, CO 80919, USA",https://www.greatbritish.net/?utm_source=gmb&utm_medium=organic
Thai,Thai Chili Restaurant Ouray Colorado,"740 Main St, Ouray, CO 81427, USA",https://order.thaichilico.com/
Thai,Thai Paradise,"146/1North, N Cora St, Ridgway, CO 81432, USA",https://m.facebook.com/thaiparadiserestaurantRidgway/
Thai,The Wok of Joy,"200 W Colorado Ave, Telluride, CO 81435, USA",https://www.thewokofjoy.com/
Thai,Thai Kitchen,"101 W 11th St, Durango, CO 81301, USA",https://thaikitchen99.wixsite.com/my-site
Thai,Thai Pagosa,"565 Village Dr UNIT D, Pagosa Springs, CO 81147, USA",http://www.thaipagosa.com/
Thai,Baan Thai Montrose Food Truck,"1 S Uncompahgre Ave, Montrose, CO 81401, USA",http://www.baanthaico.com/
Thai,Sizzling Siam,"519 1/2 Main Ave, Durango, CO 81301, USA",https://order.online/business/sizzling-siam-361500
Thai,Siam Talay Grille,"119 Lost Creek Ln, Mountain Village, CO 81435, USA",https://tellurideskiresort.com/dine/#Siam%20at%20the%20Inn
Thai,Chang Thai Durango,"2477 Main Ave, Durango, CO 81301, USA",http://www.changthaidurangoco.com/
Thai,Chang's Thai Viet & Japanese,"1015 S Townsend Ave, Montrose, CO 81401, USA",https://www.chang-thaicuisine.com/
Thai,Patcharee's Kitchen,"804 N Main St, Gunnison, CO 81230, USA",https://www.patcharees.com/
Thai,"Biegel & Company, LLC","29 Rio Vista Cir, Durango, CO 81301, USA",
Thai,Authentic Cuisine From Thailand,"Telluride, CO 81435, USA",
Thai,Grub Thai Restaurant,"11 Snowmass Mall, Snowmass Village, CO 81615, USA",https://www.grubthai.xyz/
Thai,Real Thai Restaurant,"4980 Kipling St, Wheat Ridge, CO 80033, USA",http://www.realthaico.com/
Thai,Thai House Co. & Sushi,"60 El Jebel Rd UNIT 103, El Jebel, CO 81623, USA",https://www.facebook.com/thcsushi
Thai,NANA SUSHI THAI,"32156 Castle Ct, Evergreen, CO 80439, USA",https://www.facebook.com/profile.php?id=100092732970300&mibextid=LQQJ4d
Thai,US Thai Cafe,"5228 W 25th Ave, Edgewater, CO 80214, USA",https://www.usthaicafeco.com/
Thai,Tuanjai Thai Noodle,"104 S Main Ave, Aztec, NM 87410, USA",
Thai,Siam,"200 S Davis St, Telluride, CO 81435, USA",http://siamtelluride.com/
Japanese,Hiro Japanese Steakhouse,"228 E Main St #3649, Montrose, CO 81401, USA",http://www.hirojapanesesteakhouseonline.com/
Japanese,Rokko Izakaya,"725 E 2nd Ave, Durango, CO 81301, USA",https://www.rokkoizakaya.com/
Japanese,Kazahana Telluride,"126 E Colorado Ave, Telluride, CO 81435, USA",http://kazahanatelluride.com/
Japanese,Pop Sushi,"42 Co Rd 250 #400, Durango, CO 81301, USA",http://www.popsushidurango.com/
Japanese,Victor's Sushi 2,"118 N Pagosa Blvd, Pagosa Springs, CO 81147, USA",
Japanese,Hinsdale County,"Hinsdale County, CO, USA",
Japanese,Akami Poke and Noodle Bar,"309 W College Dr, Durango, CO 81303, USA",https://www.akamipokeramen.com/
Japanese,Rice Monkey,"1050 Main Ave, Durango, CO 81301, USA",http://www.ricemonkeysdurango.com/
Japanese,Pescado Sushi,"115 W Colorado Ave, Telluride, CO 81435, USA",http://www.pescadosushi.com/
Japanese,Kumoya,"2400 W 32nd Ave, Denver, CO 80211, USA",https://kumoyadenver.com/
Japanese,East by Southwest,"160 E College Dr, Durango, CO 81301, USA",http://www.eastbysouthwest.com/index.html
Japanese,Wood Ear,"135 E Colorado Ave, Telluride, CO 81435, USA",http://www.woodeartelluride.com/
Japanese,Chang's Thai Viet & Japanese,"1015 S Townsend Ave, Montrose, CO 81401, USA",https://www.chang-thaicuisine.com/
Japanese,Nabuki,"18 E 1st St, Hinsdale, IL 60521, USA",https://nabukihinsdale.com/
Japanese,Sushi Ukai,"W, 120B Calendar Ave, La Grange, IL 60525, USA",http://www.sushiukai.com/
Japanese,The Wok of Joy,"200 W Colorado Ave, Telluride, CO 81435, USA",https://www.thewokofjoy.com/
Japanese,SNOWFOX Sushi,"16400 S Townsend Ave, Montrose, CO 81401, USA",https://jfefood.com/
Japanese,SNOWFOX Sushi,"880 N Main St, Gunnison, CO 81230, USA",https://jfefood.com/
