Cuisine Type,Name,Address,Website
Mexican,Las Tapatias Mexican Restaurant,"12798 Co Rd 512, Fellsmere, FL 32948, USA",https://www.lastapatiasfellsmere.com/
Mexican,Casa Amigos Mexican Restaurant Vero Beach,"6200 20th St Suite 496, Vero Beach, FL 32966, USA",https://www.casaamigosrest.com/
Mexican,El Tapatio Mexican Grill,"4165 9th St SW #107, Vero Beach, FL 32968, USA",
Mexican,Ay Jalisco II,"1902 US-1, Vero Beach, FL 32960, USA",https://www.ayjalisco2.com/
Mexican,El Paraiso Latino,"4690 US-1, Vero Beach, FL 32967, USA",
Mexican,Tequila Azteca Mexican Restaurant,"398 21st St, Vero Beach, FL 32960, USA",https://tequilaaztecavb.com/
Mexican,El Rey Mexican Restaurant,"901 21st St, Vero Beach, FL 32960, USA",https://elreymexicanrestaurantfl.com/
Mexican,Ay Jalisco 20th St. Vero Beach,"1909 20th St, Vero Beach, FL 32960, USA",https://www.ayjalisco1.com/
Mexican,El Torito,"5085 45th St, Vero Beach, FL 32967, USA",
Mexican,Moe's Southwest Grill,"1601, Unit 101 US-1, Vero Beach, FL 32960, USA",https://locations.moes.com/fl/vero-beach/1601-unit-101-us-hwy-1?utm_source=google&utm_medium=organic&utm_campaign=locations_partner
Mexican,Ay Jalisco Sebastian,"1814 US-1, Sebastian, FL 32958, USA",https://www.ayjalisco3.com/
Mexican,LA BAMBA MEXICAN FOOD,"2950 9th St SW Unit 106, Vero Beach, FL 32962, USA",http://orderlabambamexicanfoodandmore.com/
Mexican,Chipotle Mexican Grill,"5855 20th St, Vero Beach, FL 32966, USA",https://locations.chipotle.com/fl/vero-beach/5855-20th-st?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Mexican,Taco Bell,"1070 US-1, Vero Beach, FL 32960, USA",https://locations.tacobell.com/fl/vero-beach/1070-us-hwy-1.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=034374&utm_content=website&y_source=1_MTM5MDE2OTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Mexican,Taco Mobil,"825 Sebastian Blvd, Sebastian, FL 32958, USA",https://m.facebook.com/TacoMobil123/
