Cuisine Type,Name,Address,Website
Mexican,La Hacienda Mexican Restaurant,"2850 Main Ave, Durango, CO 81302, USA",
Mexican,Tequila's Family Mexican Restaurant,"948 Main Ave, Durango, CO 81301, USA",http://www.tequilasmexicandurango.com/
Mexican,Nayarit Restaurant,"1135 S Camino Del Rio, Durango, CO 81303, USA",http://nayaritmexicandurango.com/
Mexican,Mi Ranchito,"117 W College Dr, Durango, CO 81301, USA",
Mexican,Taqueria La Costa,"802 Camino Del Rio, Durango, CO 81301, USA",
Mexican,Gazpacho Restaurant,"431 E 2nd Ave, Durango, CO 81301, USA",http://www.gazpachodurango.com/
Mexican,Taco Libre - Taqueria & Cocktails,"1150 Main Ave, Durango, CO 81301, USA",https://www.tacolibredurango.com/
Mexican,Frida's Mexican Restaurant & Cantina,"2525 Main Ave, Durango, CO 81301, USA",http://durangofridascantina.com/
Mexican,Kachina Kitchen,"325 S Camino Del Rio, Durango, CO 81303, USA",
Mexican,Nini's Taqueria,"552 Main Ave, Durango, CO 81301, USA",http://www.ninistaqueria.com/
Mexican,Zia Taqueria,"400 S Camino Del Rio, Durango, CO 81301, USA",http://www.ziataqueria.com/
Mexican,Los Amigos Del Sur Mexican Restaurant,"835 Main Ave # 106, Durango, CO 81301, USA",http://www.durangoamigos.com/
Mexican,Tacos Estrella,"3435 Main Ave, Durango, CO 81301, USA",
Mexican,Cuevas Tacos,"725 E 2nd Ave, Durango, CO 81301, USA",http://cuevastacos.com/
Mexican,Taqueria La Costa,"802 Camino Del Rio, Durango, CO 81301, USA",
Mexican,Zia Taqueria,"2977 Main Ave, Durango, CO 81301, USA",http://www.ziataqueria.com/
Mexican,Macho's Fast Mexican Food - North,"1485 Florida Rd, Durango, CO 81301, USA",http://www.machosmexicanfood.com/
Mexican,Griegos Restaurant,"2603 Main Ave, Durango, CO 81301, USA",
Mexican,Taco Boy Durango,"150 Confluence Ave #101c, Durango, CO 81301, USA",https://www.tacoboycolorado.com/
Mexican,Taco Bell,"2902 N Main, Durango, CO 81301, USA",https://locations.tacobell.com/co/durango/2902-n-main.html?utm_source=yext&utm_campaign=googlelistings&utm_medium=referral&utm_term=041190&utm_content=website&y_source=1_NjE0NDUxMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Latvian,"Serious Texas BBQ South Durango, CO.","650 S Camino Del Rio, Durango, CO 81301, USA",http://www.serioustexasbbq.com/
Italian,Mamma Silvia's Italian Kitchen,"150 E College Dr, Durango, CO 81301, USA",https://www.mammasilvias.com/
Italian,PRIMI Pasta & Wine Bar,"1201 Main Ave #102, Durango, CO 81301, USA",http://www.primidurango.com/
Italian,Perbacco Cucina Italiana,"505 Main Ave, Durango, CO 81301, USA",https://www.perbaccodurango.com/
Italian,Father's Daughters Pizza,"640 Main Ave, Durango, CO 81301, USA",http://www.fdpie.com/
Italian,Alce' Restaurant,"589 Co Rd 252, Durango, CO 81301, USA",http://www.daltonranch.com/
Italian,Fired Up Pizzeria,"735 Main Ave, Durango, CO 81301, USA",http://fireduppizzeria.com/
Spanish,Gazpacho Restaurant,"431 E 2nd Ave, Durango, CO 81301, USA",http://www.gazpachodurango.com/
Spanish,Nayarit Restaurant,"1135 S Camino Del Rio, Durango, CO 81303, USA",http://nayaritmexicandurango.com/
Spanish,Mi Ranchito,"117 W College Dr, Durango, CO 81301, USA",
Spanish,Tequila's Family Mexican Restaurant,"948 Main Ave, Durango, CO 81301, USA",http://www.tequilasmexicandurango.com/
Spanish,La Hacienda Mexican Restaurant,"2850 Main Ave, Durango, CO 81302, USA",
Spanish,Taqueria La Costa,"802 Camino Del Rio, Durango, CO 81301, USA",
Spanish,Nini's Taqueria,"552 Main Ave, Durango, CO 81301, USA",http://www.ninistaqueria.com/
Spanish,Los Amigos Del Sur Mexican Restaurant,"835 Main Ave # 106, Durango, CO 81301, USA",http://www.durangoamigos.com/
Spanish,Tacos Estrella,"3435 Main Ave, Durango, CO 81301, USA",
Spanish,Kachina Kitchen,"325 S Camino Del Rio, Durango, CO 81303, USA",
Spanish,Frida's Mexican Restaurant & Cantina,"2525 Main Ave, Durango, CO 81301, USA",http://durangofridascantina.com/
Spanish,Griegos Restaurant,"2603 Main Ave, Durango, CO 81301, USA",
Spanish,Taqueria La Costa,"802 Camino Del Rio, Durango, CO 81301, USA",
Spanish,Taco Libre - Taqueria & Cocktails,"1150 Main Ave, Durango, CO 81301, USA",https://www.tacolibredurango.com/
Spanish,Zia Taqueria,"400 S Camino Del Rio, Durango, CO 81301, USA",http://www.ziataqueria.com/
Spanish,Zia Taqueria,"2977 Main Ave, Durango, CO 81301, USA",http://www.ziataqueria.com/
Spanish,Taco's La Carranza,"2477 Main Ave, Durango, CO 81301, USA",https://tacos-la-carranza.business.site/?utm_source=gmb&utm_medium=referral
Spanish,Matamor,"1101 Main Ave, Durango, CO 81301, USA",
Spanish,Cuevas Tacos,"725 E 2nd Ave, Durango, CO 81301, USA",http://cuevastacos.com/
Spanish,Chimayo Stone Fired Kitchen,"862 Main Ave, Durango, CO 81301, USA",http://chimayodurango.com/
American,Animas Grille & Lounge,"501 Camino Del Rio, Durango, CO 81301, USA",
American,Diamond Belle Saloon,"699 Main Ave, Durango, CO 81301, USA",https://strater.com/dining/diamond-belle-saloon/
American,"Denny's Durango, CO","666 Camino Del Rio, Durango, CO 81301, USA",https://locations.dennys.com/CO/DURANGO/246058?utm_source=yext&utm_medium=local-listing&utm_campaign=yext-listing
American,Applebee's Grill + Bar,"800 Camino Del Rio, Durango, CO 81301, USA",https://restaurants.applebees.com/en-us/co/durango/800-camino-del-rio-84094?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=84094&utm_content=website
American,The Roost,"128 E College Dr, Durango, CO 81301, USA",https://theroostdurango.com/
American,Burger Theory,"21636 US-160, Durango, CO 81303, USA",https://www.ihg.com/holidayinn/hotels/us/en/durango/drodc/hoteldetail/dining
American,Hermosa Creek Grill,"32223 US-550, Durango, CO 81301, USA",
American,GRASSBURGER (DGO South),"360 S Camino Del Rio Suite 300, Durango, CO 81301, USA",http://www.grassburger.com/
American,Kachina Kitchen,"325 S Camino Del Rio, Durango, CO 81303, USA",
American,Backcountry Gourmet,"1101 Main St, Durango, CO 81301, USA",https://backcountrygourmet.wixsite.com/foodtruck
American,Derailed Pour House,"725 Main St, Durango, CO 81301, USA",http://www.derailedpourhouse.com/
American,Mahogany Grille,"699 Main Ave, Durango, CO 81301, USA",https://strater.com/
American,Rocket Grill,"1000 Rim Dr, Durango, CO 81301, USA",
American,Backcountry Gourmet,"48721 US-550, Durango, CO 81301, USA",http://backcountrygourmet.net/
American,GRASSBURGER (DGO Downtown),"726 1/2 Main Ave, Durango, CO 81301, USA",http://www.grassburger.com/
American,The Yellow Carrot Restaurant,"3206 Main Ave UNIT 1, Durango, CO 81301, USA",http://www.theyellowcarrot.com/
