Cuisine Type,Name,Address,Website
Mexican,La Mera Mera,"1428 S Milwaukee Ave, Libertyville, IL 60048, USA",http://www.lamera-mera.com/
Mexican,Casa Bonita Mexican Restaurant & Tequila Bar,"633 N Milwaukee Ave, Libertyville, IL 60048, USA",https://www.casabonitalibertyville.com/
Mexican,Dulce Margaritas,"1814 E Belvidere Rd, Grayslake, IL 60030, USA",
Mexican,Taqueria cinco hermanos,"851 E Belvidere Rd, Grayslake, IL 60030, USA",https://www.facebook.com/profile.php?id=100089368594115&mibextid=LQQJ4d
Mexican,Las Palmas Mexican Restaurant,"26228 IL-83, Mundelein, IL 60060, USA",https://www.laspalmasmexicanofmundelein.com/#/
Mexican,Jalisco Restaurant,"4949 Grand Ave, Gurnee, IL 60031, USA",http://eatjalisco.com/
Mexican,El Palenque,"35520 Vine St, Eastlake, OH 44095, USA",https://elpalenqueineastlake.com/
Mexican,El Paso Restaurant,"151 E Grand Ave, Lake Villa, IL 60046, USA",https://elpasorestaurantil.com/
Mexican,El Sureño,"40160 N Bluff Lake Rd, Antioch, IL 60002, USA",https://elsurenoantioch.com/
Mexican,Los Comales Round Lake,"380 W Rollins Rd, Round Lake Beach, IL 60073, USA",http://www.loscomalesroundlake.com/
Mexican,Momcorn,"5101 W Washington St #2, Gurnee, IL 60031, USA",http://momcorngurnee.com/
Mexican,Taqueria Campeña,"15 Commerce Dr Ste 100, Grayslake, IL 60030, USA",https://taqueriacampenail.com/
Mexican,El Puerto Mexican Restaurant,"200 Forest Ave, Fox Lake, IL 60020, USA",http://www.elpuertorestaurant.net/contact-us/
Mexican,Three Amigos,"895 E Grand Ave, Lake Villa, IL 60046, USA",http://www.3amigoslakevilla.com/lake-villa-il-dinner-menu
Mexican,Ajua Mexican Restaurant,"163 W Belvidere Rd, Round Lake, IL 60073, USA",
Mexican,Dos Amigos Mexican Restaurant,"101 W Rockland Rd, Libertyville, IL 60048, USA",https://www.dosamigosmexrestaurant.com/
Mexican,Maya's Mexican American Restaurant,"506 N Lake St, Mundelein, IL 60060, USA",
Mexican,El Azteca II,"821 Center St, Grayslake, IL 60030, USA",http://orderelazteca2.com/
Mexican,Las Monarcas (Moving locations),"159 N Milwaukee Ave, Libertyville, IL 60048, USA",https://www.facebook.com/MonarcasLibertyville/
Mexican,Sol De Mexico,"125 N Bay St, Eustis, FL 32726, USA",http://www.soldemexicorestaurant.com/
Swedish,Tre Kronor,"3258 W Foster Ave, Chicago, IL 60625, USA",http://swedishbistro.com/
Latvian,Latvia,Latvia,
Italian,Osteria Povera,"2331 Clarke St, Port Moody, BC V3H 1Y9, Canada",https://www.povera.ca/
Italian,Claudio's Ristorante,"4402 Skyline Dr #103, Burnaby, BC V5C 0M7, Canada",http://www.claudiosristorante.ca/
Italian,L'Isola Bella Bistro,"3250 Berry Rd, Lake Country, BC V4V 1Y6, Canada",http://www.lisolabella.ca/
Italian,Francesca's Intimo,"293 E Illinois Rd, Lake Forest, IL 60045, USA",http://www.miafrancesca.com/
Italian,Ristorante Bottaio,"946 N Milwaukee Ave, Libertyville, IL 60048, USA",http://bottaio.com/
Italian,Mambo Italiano - Illinois,"748 Butterfield Rd, Mundelein, IL 60060, USA",http://themamboitaliano.com/
Italian,Olive Garden Italian Restaurant,"5590 Northridge Dr, Gurnee, IL 60031, USA",https://www.olivegarden.com/locations/il/gurnee/gurnee-great-america/1536?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:gurnee-il-1536_pl:locurl_rd:1406
Italian,Trattoria Pomigliano,"13860 Rockland Rd, Green Oaks, IL 60048, USA",http://www.cafepomigliano.com/
Italian,Mama Roberto's Italian Restaurant,"8658 Mentor Ave, Mentor, OH 44060, USA",http://www.mamarobertos.com/
Italian,Tina's Italian Bake Shop,"5101 Washington St Ste 14a, Gurnee, IL 60031, USA",https://www.tinasitaliancafeandcatering.com/
Italian,"Zappitelli's Pizza, Pasta & Parm","9570 Mentor Ave, Mentor, OH 44060, USA",http://www.zappitellismentor.com/
Italian,Dino's Restaurant,"1200 E 305th St, Willowick, OH 44092, USA",http://www.dinosrestaurants.com/
Italian,Oliverii North,"384 Lake St, Antioch, IL 60002, USA",http://www.oliveriinorth.com/
Italian,Bontà Pizzeria & Restaurant,"430 Milwaukee Ave, Lincolnshire, IL 60069, USA",https://www.bontamarket.com/
Italian,Maggiano's Little Italy,"307 Hawthorn Ctr, Vernon Hills, IL 60061, USA",https://www.maggianos.com/locations/illinois/vernon-hills/307-hawthorn-center?utm_source=google&utm_medium=organic&utm_campaign=Maggianos
Italian,Ferentino's Pizzeria,"842 N Western Ave, Lake Forest, IL 60045, USA",https://www.ferentinospizzeria.com/
Italian,Olive Garden Italian Restaurant,"7740 Mentor Ave, Mentor, OH 44060, USA",https://www.olivegarden.com/locations/oh/mentor/mentor-great-lakes-mall/1530?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:mentor-oh-1530_pl:locurl_rd:1400
Italian,Biaggi's Ristorante Italiano,"Town Center, 20560 N Rand Rd, Deer Park, IL 60010, USA",http://www.biaggis.com/
Italian,Pastina Rustic Italian Restaurant,"9354 Mentor Ave # 1, Mentor, OH 44060, USA",http://www.pastinarusticitalian.com/
Italian,Primo Italian American Cuisine,"720 Milwaukee Ave, Gurnee, IL 60031, USA",http://primogurnee.com/
