Cuisine Type,Name,Address,Website
Mexican,Guelaguetza Restaurant,"3014 W Olympic Blvd, Los Angeles, CA 90006, USA",http://www.ilovemole.com/
Mexican,Gracias Madre West Hollywood,"8905 Melrose Ave, West Hollywood, CA 90069, USA",https://graciasmadre.com/
Mexican,El Tepeyac Cafe,"812 N Evergreen Ave, Los Angeles, CA 90033, USA",
Mexican,El Cholo - The Original,"1121 S Western Ave, Los Angeles, CA 90006, USA",http://elcholo.com/
Mexican,Guisados,"1261 Sunset Blvd, Los Angeles, CA 90026, USA",http://www.guisados.co/
Mexican,Casa Sanchez,"4500 S Centinela Ave, Los Angeles, CA 90066, USA",http://www.casa-sanchez.com/
Mexican,Tlayuda L.A. Restaurant,"5450 Santa Monica Blvd, Los Angeles, CA 90029, USA",http://www.tlayudala.com/
Mexican,La Barca Restaurant,"2414 S Vermont Ave, Los Angeles, CA 90007, USA",
Mexican,Sol Agave LA LIVE,"800 W Olympic Blvd, Los Angeles, CA 90015, USA",http://www.solagave.com/
Mexican,El Compadre,"7408 Sunset Blvd, Los Angeles, CA 90046, USA",http://www.elcompadrerestaurant.com/home
Mexican,El Compadre,"1449 Sunset Blvd, Los Angeles, CA 90026, USA",http://www.elcompadrerestaurant.com/
Mexican,Madre Restaurant,"10426 National Blvd, Los Angeles, CA 90034, USA",http://madrerestaurants.com/
Mexican,Casita Del Campo,"1920 Hyperion Ave, Los Angeles, CA 90027, USA",http://casitadelcampo.net/
Mexican,Chichen Itza,"3655 S Grand Ave c6, Los Angeles, CA 90007, USA",http://www.chichenitzarestaurant.com/
Mexican,Taqueria Los Anaya,"4651 W Adams Blvd, Los Angeles, CA 90016, USA",http://www.taquerialosanaya.com/
Mexican,Guisados,"541 S Spring St UNIT 101, Los Angeles, CA 90013, USA",http://www.guisados.co/
Mexican,Guisados,"2100 E Cesar E Chavez Ave, Los Angeles, CA 90033, USA",http://www.guisados.la/
Mexican,Casa Fina Mexican Restaurant & Cantina,"1842 1st St, Los Angeles, CA 90033, USA",http://casafinarestaurant.com/
Mexican,Restaurante El Gordo,"1182 S Lorena St, Los Angeles, CA 90023, USA",http://website.uniquemobileapps.com/free/rios12345/el_gordo
Mexican,Javier's,"10250 Santa Monica Blvd #1005, Los Angeles, CA 90067, USA",http://www.javiers-cantina.com/
Swedish,IKEA Restaurant,"600 S Ikea Way, Burbank, CA 91502, USA",https://www.ikea.com/us/en/stores/burbank/?utm_source=google&utm_medium=organic&utm_campaign=map_r&utm_content=burbank
Swedish,Viking Pizza and Kabob,"3740 San Fernando Rd #2919, Glendale, CA 91204, USA",https://www.vikingpizzaandkabob.com/
Swedish,Dreads Caribbean Cuisine/Hygge Bakery & Cafe,"1106 S Hope St, Los Angeles, CA 90015, USA",
Swedish,"Röckenwagner Bakery, Café + Market","12835 Washington Blvd, Los Angeles, CA 90066, USA",https://rockenwagnermarket.com/
Swedish,Rasselbock Kitchen & Beer Garden LA,"3817 Grand View Blvd, Los Angeles, CA 90066, USA",https://www.rasselbockla.com/
Swedish,Aroma Cafe,"2530 Overland Ave, Los Angeles, CA 90064, USA",
Swedish,Wurstküche,"800 E 3rd St, Los Angeles, CA 90013, USA",http://www.wurstkuche.com/
Swedish,Shoop's Delicatessen,"2400 Main St a1, Santa Monica, CA 90405, USA",http://www.shoopsdeli.com/
Swedish,Usaka Mantendew,"1515 Wilshire Blvd #4d, Los Angeles, CA 90017, USA",
Swedish,Dinah's Family Restaurant,"6521 S Sepulveda Blvd, Los Angeles, CA 90045, USA",
Swedish,Open Face Food Shop,"5577 W Adams Blvd, Los Angeles, CA 90016, USA",https://openfacefoodshop.com/
Swedish,The Oaks Gourmet Market & Cafe,"1915 N Bronson Ave, Los Angeles, CA 90068, USA",http://www.theoaksgourmet.com/
