Cuisine Type,Name,Address,Website
Mexican,El Epazote Cocina Regional,"301 N Gateway Dr, Madera, CA 93637, USA",http://elepazote.com/
Mexican,Emma's Taqueria,"601 S C St, Madera, CA 93638, USA",
Mexican,Sal's Mexican Restaurant - Madera,"2001 W Cleveland Ave F, Madera, CA 93637, USA",https://salsmexicanrestaurants.com/home-page/
Mexican,Cachanilla,"600 N D St #3117, Madera, CA 93638, USA",
Mexican,Maranatha,"618 S Gateway Dr, Madera, CA 93637, USA",https://sertp.top/maranatha
Mexican,Cazadores Bar & Grill,"1663 N Schnoor St #101, Madera, CA 93637, USA",
Mexican,Nati's Kitchen,"17307 Daley Rd, Madera, CA 93638, USA",
Mexican,Chavinda Taqueria,"719 N D St, Madera, CA 93638, USA",
Mexican,Taqueria Guerrero,"917 N D St #2, Madera, CA 93638, USA",http://ordertaqueriaguerreroca.com/
Mexican,Panchito’s Taqueria #2,"37247 Ave 12, Madera, CA 93636, USA",
Mexican,ARSENIO'S MEXICAN FOOD,"37275 Ave 12 Suite A, Madera, CA 93636, USA",
Mexican,Compa Franks - Madera,"1816 Howard Rd, Madera, CA 93637, USA",
Mexican,Carniceria Y Taqueria Mexico,"214 S Gateway Dr, Madera, CA 93637, USA",
Mexican,EL TIBU TAQUERIA,"1100 N D St, Madera, CA 93638, USA",https://bit.ly/eltibutaqueria
Mexican,Tacos El Amigo,"16885 Rd 26, Madera, CA 93638, USA",https://www.facebook.com/Tacos-y-mariscos-El-Amigo-120488761297666/
Mexican,La primavera Cafe,"224 S C St, Madera, CA 93638, USA",
Mexican,El Rinconcito Mexican Grill,"37221 Ave 12 Suite 1A, Madera, CA 93636, USA",
Mexican,Papi's Mex Grill,"131 Riverwalk Blvd S, Madera, CA 93636, USA",https://www.papismexgrill.com/
Mexican,El Pollo y el Pollito en la Granja,"1502 E Yosemite Ave, Madera, CA 93638, USA",
Mexican,Mejia Taqueria Y Mariscos,"1410 Country Club Dr, Madera, CA 93638, USA",
Swedish,Sugar Pine Smokehouse,"23200 Avenue 17, Madera, CA 93637, USA",
Swedish,The Vineyard Restaurant & Bar,"605 S I St, Madera, CA 93637, USA",http://www.vineyardrestaurant.com/
Swedish,Black Bear Diner,"1209 E Almond Ave, Madera, CA 93637, USA",https://blackbeardiner.com/location/madera/
Swedish,California Grill,"226 E Yosemite Ave, Madera, CA 93638, USA",
Swedish,KANOJO,"1930 Howard Rd, Madera, CA 93637, USA",
Swedish,IHOP,"2201 W Cleveland Ave, Madera, CA 93637, USA",https://restaurants.ihop.com/en-us/ca/madera/breakfast-2201-w-cleveland-ave-691?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=691&utm_content=website
Swedish,Perko's Cafe,"1825 Cleveland Ave, Madera, CA 93637, USA",http://perkos.com/
Swedish,Sal's Mexican Restaurant - Madera,"2001 W Cleveland Ave F, Madera, CA 93637, USA",https://salsmexicanrestaurants.com/home-page/
Swedish,Cazadores Bar & Grill,"1663 N Schnoor St #101, Madera, CA 93637, USA",
Swedish,ARSENIO'S MEXICAN FOOD,"37275 Ave 12 Suite A, Madera, CA 93636, USA",
Swedish,El Rinconcito Mexican Grill,"37221 Ave 12 Suite 1A, Madera, CA 93636, USA",
Swedish,Etendue Cafe,"40429 Brickyard Dr, Madera, CA 93636, USA",http://www.etendue-cafe.com/
Swedish,The Waffle Spot,"1101 Country Club Dr, Madera, CA 93638, USA",https://order.online/store/the-waffle-spot-1060995
Swedish,Wild Fig Kitchen,"35300 CA-41, Coarsegold, CA 93614, USA",http://wildfigkitchen.com/
Latvian,The Vineyard Restaurant & Bar,"605 S I St, Madera, CA 93637, USA",http://www.vineyardrestaurant.com/
Latvian,Ristorante Gabriela,"1643 N Schnoor St, Madera, CA 93637, USA",
Latvian,Liu's Village,"620 N Gateway Dr, Madera, CA 93637, USA",
Latvian,Pita House,"114 N Gateway Dr, Madera, CA 93637, USA",
Latvian,Taste of India,"18555 Pistachio Dr #103, Madera, CA 93637, USA",
Latvian,Lee Kitchen,"37357 Ave 12, Madera, CA 93636, USA",
Latvian,Pho'Dera Vietnamese Noodle House,"200 W Olive Ave, Madera, CA 93637, USA",https://phoderavietnamese.com/
Latvian,Etendue Cafe,"40429 Brickyard Dr, Madera, CA 93636, USA",http://www.etendue-cafe.com/
Latvian,Sabor a Oaxaca Restaurante - Madera,"131 E Yosemite Ave, Madera, CA 93638, USA",http://www.produccionesreal.com/
Latvian,California Grill,"226 E Yosemite Ave, Madera, CA 93638, USA",
Latvian,Perko's Cafe,"1825 Cleveland Ave, Madera, CA 93637, USA",http://perkos.com/
Latvian,Sal's Mexican Restaurant - Madera,"2001 W Cleveland Ave F, Madera, CA 93637, USA",https://salsmexicanrestaurants.com/home-page/
Latvian,Maranatha,"618 S Gateway Dr, Madera, CA 93637, USA",https://sertp.top/maranatha
Latvian,Compa Franks - Madera,"1816 Howard Rd, Madera, CA 93637, USA",
Latvian,ARSENIO'S MEXICAN FOOD,"37275 Ave 12 Suite A, Madera, CA 93636, USA",
Latvian,China Kitchen,"2380 Cleveland Ave #4, Madera, CA 93637, USA",http://order.toasttab.com/online/china-kitchen-2380-cleveland-ave-4
Latvian,El Epazote Cocina Regional,"301 N Gateway Dr, Madera, CA 93637, USA",http://elepazote.com/
Latvian,Cazadores Bar & Grill,"1663 N Schnoor St #101, Madera, CA 93637, USA",
Latvian,Mariscos Las Islitas,"422 S Gateway Dr #108, Madera, CA 93637, USA",https://opmap.top/mariscos-las-islitas-2
Latvian,Carniceria Y Taqueria Mexico,"214 S Gateway Dr, Madera, CA 93637, USA",
Italian,Ristorante Gabriela,"1643 N Schnoor St, Madera, CA 93637, USA",
Italian,California Grill,"226 E Yosemite Ave, Madera, CA 93638, USA",
Italian,Diciccos Italian Restaurant,"516 S I St, Madera, CA 93637, USA",http://diciccos.com/ca/madera/i
Italian,The Vineyard Restaurant & Bar,"605 S I St, Madera, CA 93637, USA",http://www.vineyardrestaurant.com/
Italian,The Tap House,"2175 N Schnoor St #101, Madera, CA 93637, USA",http://thetaphouseca.com/
Italian,Il Fornaio,"223 Corte Madera Town Center, Corte Madera, CA 94925, USA",https://www.ilfornaio.com/location/il-fornaio-corte-madera/
Italian,Nativos Italian Restaurant,"711 Lucky Ln, Coarsegold, CA 93614, USA",https://chukchansigold.com/dine/nativos/
Italian,Premier Brick Oven Pizza,"1628 Howard Rd, Madera, CA 93637, USA",
Italian,Ovidio Italian Restaurant,"3097 W Bullard Ave, Fresno, CA 93711, USA",https://ovidiofresno.com/
Italian,The Old Spaghetti Factory,"1610 E Shaw Ave, Fresno, CA 93710, USA",http://www.osf.com/location/fresno-ca/
Italian,Pizza Factory,"37184 Ave 12, Madera, CA 93636, USA",http://www.pizzafactory.com/locations/madera
Italian,Parma Restaurant,"6729 N Palm Ave # 101, Fresno, CA 93704, USA",http://parmaristorantefresno.com/
Italian,Piazza Del Pane,"8043 N Cedar Ave, Fresno, CA 93720, USA",http://www.piazzadelpane.com/
