Cuisine Type,Name,Address,Website
Mexican,Los Moles Hecho En Casa,"912 Lincoln Ave, San Rafael, CA 94901, USA",https://www.losmoles.com/san-rafael-menu/
Mexican,Casa Mañana Restaurant,"711 D St, San Rafael, CA 94901, USA",
Mexican,Lucinda's Mexican Take Out,"930 Redwood Highway Frontage Rd, Mill Valley, CA 94941, USA",https://lucindastogo.com/
Mexican,Copita Tequileria y Comida,"739 Bridgeway, Sausalito, CA 94965, USA",http://www.copitarestaurant.com/
Mexican,Tommy's Salsa,"1553 S Novato Blvd, Novato, CA 94947, USA",http://www.tommyssalsa.com/
Mexican,Taco Jane's Restaurant And Bar,"21 Tamalpais Ave, San Anselmo, CA 94960, USA",https://www.tacojanes.com/
Mexican,The Cantina,"651 E Blithedale Ave, Mill Valley, CA 94941, USA",http://thecantina.com/
Mexican,Sabor A México,"1559 4th St, San Rafael, CA 94901, USA",https://www.saboramex.com/
Mexican,Carmen La Hacienda Taqueria,"1401 Grant Ave, Novato, CA 94945, USA",https://carmenslahaciendanovato.com/
Mexican,Joe’s Taco Lounge,"382 Miller Ave, Mill Valley, CA 94941, USA",http://www.joestacolounge.com/
Mexican,Mi Pueblo Taqueria,"905 Grant Ave, Novato, CA 94945, USA",https://eatmipueblonovato.com/
Mexican,Picante,"340 Bellam Blvd, San Rafael, CA 94901, USA",
Mexican,La Hacienda San Rafael,"3815 Redwood Hwy, San Rafael, CA 94903, USA",https://www.taqueriahacienda.com/
Mexican,Celia's Méxican Restaurant,"1 Vivian St, San Rafael, CA 94901, USA",https://www.celiasrestaurants.com/location/san-rafael/
Mexican,Panchitos Restaurant,"667 Del Ganado Rd, San Rafael, CA 94903, USA",http://panchitosrestaurant.com/
Mexican,Los Palillos Restaurant,"3060 Kerner Blvd d, San Rafael, CA 94901, USA",https://lospalillosrestaurant.com/
Mexican,Mi Pueblo San Rafael,"5800 Northgate Dr Suite 138, San Rafael, CA 94903, USA",https://www.eatmipueblomarin.com/
Mexican,Taqueria Mi Pueblo,"208 Sir Francis Drake Blvd, San Anselmo, CA 94960, USA",https://eatmipueblosananselmo.com/
Mexican,Taqueria Mi Familia,"55 Bellam Blvd, San Rafael, CA 94901, USA",https://taqmifamilia.wixsite.com/mysite
Mexican,Puentez Taqueria,"243 3rd St, San Rafael, CA 94901, USA",http://www.puentez.com/
Swedish,Stockhome,"220 Western Ave, Petaluma, CA 94952, USA",http://www.stockhomerestaurant.com/
Swedish,IKEA Swedish Deli,"945 Market St, San Francisco, CA 94103, USA",https://www.ikea.com/us/en/stores/san-francisco/#d9cc1ef0-54cf-11ed-8f4d-3b5a57086a78
Swedish,Sol Food,"903 Lincoln Ave, San Rafael, CA 94901, USA",https://www.solfoodrestaurant.com/
Swedish,Kantine,"1906 Market St, San Francisco, CA 94102, USA",http://www.kantinesf.com/
Swedish,Madcap,"198 Sir Francis Drake Blvd, San Anselmo, CA 94960, USA",https://www.madcapmarin.com/
Swedish,Crepevine Restaurant,"1133 4th St, San Rafael, CA 94901, USA",http://crepevine.com/locations/san-rafael/
Swedish,Le Chalet Basque Restaurant,"405 N San Pedro Rd, San Rafael, CA 94903, USA",http://www.chaletbasque.org/
Latvian,Vladimir's Czech Restaurant,"12785 Sir Francis Drake Blvd, Inverness, CA 94937, USA",
Italian,Ristorante La Toscana,"3751 Redwood Hwy, San Rafael, CA 94903, USA",http://www.ristorantelatoscana.com/
Italian,Café Arrivederci,"11 G St, San Rafael, CA 94901, USA",http://cafearrivederci.com/
