Cuisine Type,Name,Address,Website
Mexican,EL Mescal family Mexican restaurant and bar,"439 US-6, Fruita, CO 81521, USA",
Mexican,El Mescal Family Mexican Restaurant & Bar,"2210 Hwy 6 And 50, Grand Junction, CO 81505, USA",
Mexican,Aztecas Family Mexican Restaurant,"603 US-50, Grand Junction, CO 81503, USA",
Mexican,Agavero's Mexican Experience,"569 32 Rd, Grand Junction, CO 81504, USA",
Mexican,Fidel's Cocina & Bar,"113 W 3rd St, Palisade, CO 81526, USA",https://fidelspalisade.com/
Mexican,El Rey Mexican food LLC,"Brentwood Dr, Palisade, CO 81526, USA",
Mexican,Taqueria Guadalajara,"719 Pitkin Ave # 0, Grand Junction, CO 81501, USA",
Mexican,El Charro Loco,"2886 North Ave, Grand Junction, CO 81501, USA",
Mexican,Las Marias,"118 S 7th St, Grand Junction, CO 81501, USA",http://lasmariasmexican.com/
Mexican,AZTECAS FAMILY MEXICAN RESTAURANT,"705 Horizon Dr, Grand Junction, CO 81506, USA",
Mexican,La Milpa Tortilla Factory,"514 30 Rd, Grand Junction, CO 81504, USA",http://www.lamilpatortillafactory.com/
Mexican,Loncheria Rubi,"2515 US-50 & U.S. 6, Grand Junction, CO 81505, USA",
Mexican,EL ASADERO,"2931 North Ave, Grand Junction, CO 81504, USA",http://orderelasadero.com/
Mexican,Tacoparty,"126 S 5th St, Grand Junction, CO 81501, USA",https://www.tacopartygj.com/
Mexican,Los Alazanes,"2301 North Ave, Grand Junction, CO 81501, USA",
Mexican,Tequila's Mexican Restaurant,"2452 US-6, Grand Junction, CO 81505, USA",http://www.tequilasgrandjunction.net/
Mexican,Taqueria Guadalajara #2,"683 Horizon Dr #112, Grand Junction, CO 81506, USA",http://www.taqueriaguadalajara2.com/
Mexican,Jalapeños Tacos,"2324 Hwy 6 And 50, Grand Junction, CO 81505, USA",
Mexican,Los Jilbertos,"2812 North Ave, Grand Junction, CO 81501, USA",
Mexican,Dos Hombres Restaurant,"3245 I-70BL, Clifton, CO 81520, USA",https://doshombresrestaurant.com/
Swedish,Wagon Wheel Restaurant,"10900 CO-65, Mesa, CO 81643, USA",http://www.wagonwheelrbm.com/
Swedish,Devil's Kitchen,"840 Kennedy Ave, Grand Junction, CO 81501, USA",https://www.devilskitchenrestaurant.com/?utm_source=google&utm_medium=organic&utm_campaign=business_listing
Swedish,Ocotillo Restaurant And Bar At Redlands Mesa,"2325 W Ridges Blvd, Grand Junction, CO 81507, USA",https://www.ocotillogj.com/
Swedish,The Hungry Moose,"25861 CO-65, Cedaredge, CO 81413, USA",https://www.grandmesalodge.com/restaurant
Swedish,Cafe Sol,"420 Main St, Grand Junction, CO 81501, USA",http://www.cafesolgj.com/
Swedish,IHOP,"2420 Highway 6 And 50, Grand Junction, CO 81505, USA",https://restaurants.ihop.com/en-us/co/grand-junction/breakfast-2420-hwy-6-and-50-1837?utm_source=google&utm_medium=organic&utm_campaign=google_my_business&utm_term=1837&utm_content=website
Latvian,Wagon Wheel Restaurant,"10900 CO-65, Mesa, CO 81643, USA",http://www.wagonwheelrbm.com/
Italian,Olive Garden Italian Restaurant,"2416 Highway 6 And 50, Grand Junction, CO 81505, USA",https://www.olivegarden.com/locations/co/grand-junction/grand-junction-mesa-mall/1580?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:grand-junction-co-1580_pl:locurl_rd:1446
Italian,Citrola's Italian Restaurant,"759 Horizon Dr, Grand Junction, CO 81506, USA",https://www.citrolasgj.com/
Italian,Enzo's Ristorante Italiano,"707 Horizon Dr, Grand Junction, CO 81506, USA",http://www.myenzos.com/
Italian,Ristorante Pantuso,"421 Brach Dr, Grand Junction, CO 81507, USA",https://mypantusos.com/
Italian,Pablo's Pizza,"319 Main St, Grand Junction, CO 81501, USA",http://www.pablospizza.com/
Italian,PizzAmoré (PizzAmore),"683 Horizon Dr #104, Grand Junction, CO 81506, USA",https://www.pizzamoregj.com/
Italian,Junct'n Square Pizza,"119 N 7th St, Grand Junction, CO 81501, USA",http://www.jctsquare.com/
Italian,Donatos Pizza,"2530 Rimrock Ave, Grand Junction, CO 81505, USA",https://www.donatos.com/locations/grand-junction
Spanish,El Mescal Family Mexican Restaurant & Bar,"2210 Hwy 6 And 50, Grand Junction, CO 81505, USA",
Spanish,EL Mescal family Mexican restaurant and bar,"439 US-6, Fruita, CO 81521, USA",
Spanish,AZTECAS FAMILY MEXICAN RESTAURANT,"705 Horizon Dr, Grand Junction, CO 81506, USA",
Spanish,El Tapatio,"1145 North Ave, Grand Junction, CO 81501, USA",http://tapatiorestaurants.com/
Spanish,Agavero's Mexican Experience,"569 32 Rd, Grand Junction, CO 81504, USA",
Spanish,Lonchera La Casita,"1801 Main St, Grand Junction, CO 81501, USA",
Spanish,Tequila's Mexican Restaurant,"2452 US-6, Grand Junction, CO 81505, USA",http://www.tequilasgrandjunction.net/
Spanish,Cafe Rio Fresh Modern Mexican,"2412 Patterson Rd, Grand Junction, CO 81505, USA",https://www.caferio.com/locations/grand-junction
