Cuisine Type,Name,Address,Website
Mexican,Gomez's Mexican Restaurant,"100 Canyon Blvd, Mammoth Lakes, CA 93546, USA",http://www.gomezs.com/
Mexican,The Loco Frijole,"3711 Main St, Mammoth Lakes, CA 93546, USA",http://thelocofrijole.com/
Mexican,Puerto Vallarta,"3325 Main St, Mammoth Lakes, CA 93546, USA",
Mexican,El Charro Taqueria,"452 Old Mammoth Rd, Mammoth Lakes, CA 93546, USA",
Mexican,Cantina Mexican Restaurant,"2588 CA-158, June Lake, CA 93529, USA",
Mexican,Latin Market,"1566 Tavern Rd, Mammoth Lakes, CA 93546, USA",
Mexican,Roberto's Cafe,"271 Old Mammoth Rd, Mammoth Lakes, CA 93546, USA",https://robertoscafe.com/
Mexican,Salsa's Taqueria - Mammoth Lakes,"588 Old Mammoth Rd, Mammoth Lakes, CA 93546, USA",http://www.visitmammoth.com/restaurants
Mexican,La Parrilla Grill & Tacos,"117 S Crawford Ave, June Lake, CA 93529, USA",
Mexican,McCoy Marketplace,"10001 Minaret Rd Ste 4200, Mammoth Lakes, CA 93546, USA",
Mexican,Balanced Rock Grill & Cantina,"2588 CA-158, June Lake, CA 93529, USA",https://balancedrockgrill.com/
Mexican,Salsa's Taqueria - Bishop,"1347 Rocking W Dr, Bishop, CA 93514, USA",
Mexican,Taqueria Las Palmas,"136 E Line St B, Bishop, CA 93514, USA",
Mexican,Astorga's Mexican Restaurant,"2206 N Sierra Hwy, Bishop, CA 93514, USA",http://www.astorgasmexicanrestaurant.com/
Mexican,El Ranchito,"281 N Main St, Bishop, CA 93514, USA",
Mexican,Taqueria mi Guadalajara,"995 Tu-Su Ln, 395 N Sierra Hwy, Bishop, CA 93514, USA",
Mexican,Antojitos Hippocampos,"205 Grove St, Bishop, CA 93514, USA",
Mexican,El Pollo Loco,"785 N Main St, Bishop, CA 93514, USA",https://restaurants.elpolloloco.com/ca/bishop/785-n-main-st?utm_source=gmb&utm_medium=yext
Mexican,Lakanuki,"6201 Minaret Rd, Mammoth Lakes, CA 93546, USA",http://www.lakanuki.net/
