Cuisine Type,Name,Address,Website
Mexican,Zapoteca,"15495 Marine Dr, White Rock, BC V4B 1C9, Canada",http://www.zapoteca.com/
Mexican,El Jacal Mexican Grill,"903 Main St #2089, Fort Morgan, CO 80701, USA",https://eljacalmexicangrill.com/
Mexican,La Hacienda Restaurant,"16825 Condit Rd, Morgan Hill, CA 95037, USA",http://lahaciendamorganhill.com/
Mexican,Las Isabelas,"16410 Monterey Rd, Morgan Hill, CA 95037, USA",
Mexican,Jesús Mexican Restaurant,"16715C Monterey Rd, Morgan Hill, CA 95037, USA",https://jesusmexicanrestaurantmorganhill.com/
Mexican,Casa Patron,"1215 W Platte Ave, Fort Morgan, CO 80701, USA",https://www.casapatronfortmorgan.com/
Mexican,Mis Dos Abuelos Mexican Restaurant,"329 S IN-135, Morgantown, IN 46160, USA",https://misdosabuelos.com/
Mexican,Chipotle Mexican Grill,"15775 Croydon Dr, Surrey, BC V3Z 2L6, Canada",https://locations.chipotle.ca/bc/surrey/15775-croydon-dr?utm_source=google&utm_medium=yext&utm_campaign=yext_listings
Italian,Mangia e Bevi,"2222 Marine Dr, West Vancouver, BC V7V 1K4, Canada",http://www.mangiaebevi.ca/
Italian,Amorosa Pasta House,"7870 Edmonds St, Burnaby, BC V3N 1B8, Canada",https://www.facebook.com/amorosasantali/
Italian,Bacaro,"1029 W Cordova St, Vancouver, BC V6C 0B9, Canada",http://www.bacarovancouver.com/
Italian,Mama Mia's Mediterranean & Italian Cuisine,"275 E Dunne Ave, Morgan Hill, CA 95037, USA",http://www.mamamiasrestaurant.com/
Italian,Betto's Bistro,"17385 Monterey Rd, Morgan Hill, CA 95037, USA",http://www.bettosbistro.com/
Italian,Sicilia In Bocca,"25 W Main Ave, Morgan Hill, CA 95037, USA",https://sicilianinbocca.com/
Italian,Staple & Fancy,"4739 Ballard Ave NW, Seattle, WA 98107, USA",http://www.ethanstowellrestaurants.com/locations/staple-fancy/
Italian,Maurizio's Restaurtant,"25 E 1st St, Morgan Hill, CA 95037, USA",http://www.mauriziosrestaurant.com/
Spanish,San Miguel Restaurant,"322 Ensign St, Fort Morgan, CO 80701, USA",https://www.facebook.com/FortMorganFood/
American,The Keg Steakhouse + Bar - Morgan Creek,"15180 32nd Avenue Diversion, Surrey, BC V3S 3M1, Canada",http://www.thekeg.com/en/locations/morgan-creek
American,Red Robin Gourmet Burgers and Brews,"19705 Fraser Hwy #530, Langley, BC V3A 7E9, Canada",https://locations.redrobin.com/bc/langley/530/
American,Wooden Spoon,"15171 Russell Ave, White Rock, BC V4B 2P4, Canada",http://woodenspoon.co/
American,Nando's PERi-PERi,"3010 152 St Unit 101, Surrey, BC V4P 3N7, Canada",https://www.nandos.ca/find/white-rock-south-surrey?utm_source=google&utm_medium=organic&utm_campaign=local&utm_content=white_rock
American,Coast,"1054 Alberni St, Vancouver, BC V6E 1A3, Canada",http://www.glowbalgroup.com/coast/
American,Jack Niemann's Black Forest Steak House,"638 Peace Portal Dr, Blaine, WA 98230, USA",https://www.jackniemannsblackforeststeakhouse.com/
American,Meltwich Food Co.,"2245 160 St, Surrey, BC V3S 9N6, Canada",https://www.meltwich.com/
American,The Keg Steakhouse + Bar - Maple Ridge,"20640 Dewdney Trunk Rd, Maple Ridge, BC V2X 3E5, Canada",http://www.thekeg.com/en/locations/maple-ridge
American,The Keg Steakhouse + Bar - Granville Island,"1499 Anderson St, Vancouver, BC V6H 3R5, Canada",http://www.thekeg.com/en/locations/granville-island
American,The Keg Steakhouse + Bar - Coquitlam,"2991 Lougheed Hwy. Unit 130, Coquitlam, BC V3B 6J6, Canada",http://www.thekeg.com/en/locations/coquitlam
American,Zapoteca,"15495 Marine Dr, White Rock, BC V4B 1C9, Canada",http://www.zapoteca.com/
American,Clubhouse at Fraser Downs Racetrack & Casino,"17755 60 Ave, Surrey, BC V3S 1V3, Canada",https://elementscasinosurrey.com/racing/
British,Morgans Restaurant and Wine Bar,"3500 Morgan Creek Way, Surrey, BC V3Z 0J7, Canada",https://bit.ly/37KAMjV
Thai,Patsara Thai,"528 Carnarvon St, New Westminster, BC V3L 1C4, Canada",https://www.patsara.ca/
Thai,Siam Le Bien Thai Cuisine,"Siam Le Bien Thai Cuisine, 4217 Hastings St, Burnaby, BC V5C 2J5, Canada",http://www.siamlebien.com/
Thai,Ocha Thai Kitchen and Bar,"317 Main Ave S, Renton, WA 98057, USA",https://www.ochakitchenbar.com/
