Cuisine Type,Name,Address,Website
Mexican,Gabbi's Mexican Kitchen,"141 S Glassell St, Orange, CA 92866, USA",http://gabbismexicankitchen.com/
Mexican,Moreno's,"4328 E Chapman Ave, Orange, CA 92869, USA",http://morenosrestaurant.com/
Mexican,Avila's El Ranchito - Costa Mesa,"2101 Placentia Ave, Costa Mesa, CA 92627, USA",
Mexican,SOL Mexican Cocina,"1910 Main St, Irvine, CA 92614, USA",https://solcocina.com/
Mexican,Mi Casa Authentic Mexican Food,"1231 W Chapman Ave, Orange, CA 92868, USA",
Mexican,SOL Mexican Cocina,"251 Pacific Coast Hwy, Newport Beach, CA 92660, USA",https://solcocina.com/
Mexican,Descanso Restaurant,"1555 Adams Ave #103, Costa Mesa, CA 92626, USA",http://www.descansorestaurant.com/
Mexican,El Farolito Mexican Restaurant,"201 S Bradford Ave, Placentia, CA 92870, USA",http://www.elfarolitomex.com/
Mexican,Los Cabos Mexican Restaurant,"843 N Tustin St, Orange, CA 92867, USA",http://loscabos.restaurant/
Mexican,Avila's El Ranchito - Orange,"182 S Orange St, Orange, CA 92866, USA",
Mexican,Rodrigo's Mexican Grill,"1230 E Katella Ave, Orange, CA 92867, USA",http://www.rodrigos.com/
Mexican,Los Sanchez Restaurant,"11906 Garden Grove Blvd, Garden Grove, CA 92843, USA",
Mexican,Sabroso! Mexican Grill,"13129 Harbor Blvd, Garden Grove, CA 92843, USA",http://www.sabrosomexicangrill.com/
Mexican,Taco Mesa,"3533 E Chapman Ave, Orange, CA 92869, USA",https://www.tacomesa.com/
Mexican,Pancho's Mexican Restaurant,"135 E Collins Ave, Orange, CA 92867, USA",https://www.panchosmexicanrestaurant.org/
Mexican,Taco Rosa,"13792 Jamboree Rd, Irvine, CA 92602, USA",https://www.tacorosa.com/
Mexican,La Cebollita,"110 W MacArthur Blvd, Santa Ana, CA 92707, USA",https://la-cebollita.com/
Mexican,"RED O ""Taste of Mexico""","143 Newport Center Dr, Newport Beach, CA 92660, USA",https://redorestaurant.com/
Mexican,Puesto Anaheim,"1040 W Katella Ave, Anaheim, CA 92802, USA",https://www.eatpuesto.com/location/anaheim/
Mexican,La Vida Cantina,"1870 Harbor Blvd, Costa Mesa, CA 92627, USA",https://lavidacantina.com/
Swedish,Restaurant,"250 Ogle St, Costa Mesa, CA 92627, USA",
Swedish,Copenhagen Corner,"31161 Niguel Rd, Laguna Niguel, CA 92677, USA",http://copenhagencorneroc.com/
Swedish,Villa Sweden,"Huntington Beach, CA 92648, USA",
Latvian,Dunarea Restaurant,"821 N Euclid St, Anaheim, CA 92801, USA",http://www.dunarea.us/
Italian,Tutto Fresco,"1333 N Glassell St, Orange, CA 92867, USA",https://tuttofresco.com/
Italian,North Italia,"2957 Michelson Dr, Irvine, CA 92612, USA",https://www.northitalia.com/locations/irvine-ca/
Italian,Il Fornaio Irvine,"18051 Von Karman Ave, Irvine, CA 92612, USA",https://www.ilfornaio.com/location/il-fornaio-irvine/
Italian,CUCINA enoteca Newport Beach,"951 Newport Center Dr, Newport Beach, CA 92660, USA",https://www.urbankitchengroup.com/cucina-enoteca-newport-beach/
Italian,Maggiano's Little Italy,"3333 Bristol St, Costa Mesa, CA 92626, USA",https://www.maggianos.com/locations/california/costa-mesa/3333-bristol-st.?utm_source=google&utm_medium=organic&utm_campaign=Maggianos
Italian,Prego Restaurant,"2409 Park Ave, Tustin, CA 92782, USA",https://www.pregooc.com/
Italian,Luna Rossa,"2449 Park Ave, Tustin, CA 92782, USA",http://lunarossatustin.com/
Italian,Olive Garden Italian Restaurant,"2330 N Tustin St, Orange, CA 92865, USA",https://www.olivegarden.com/locations/ca/orange/orange-village-at-orange/1389?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:orange-ca-1389_pl:locurl_rd:1293
Italian,Il Farro Restaurant,"111 21st Pl, Newport Beach, CA 92663, USA",http://www.ilfarro.com/
Italian,Tutto Fresco,"1808 N Tustin Ave, Santa Ana, CA 92705, USA",https://tuttofresco.com/
Italian,Renata's Cafe Italiano,"227 E Chapman Ave F, Orange, CA 92866, USA",http://www.renatascafe.com/
Italian,Buca di Beppo Italian Restaurant,"11757 Harbor Blvd, Garden Grove, CA 92840, USA",https://www.bucadibeppo.com/locations/anaheim/?y_source=1_NDgxNzU4My03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D
Italian,Cucina Enoteca Irvine,"532 Spectrum Center Dr, Irvine, CA 92618, USA",https://www.urbankitchengroup.com/cucina-enoteca-irvine/
Italian,Mangi Con Amore | Italian Restaurant,"26941 Cabot Rd #107, Laguna Hills, CA 92653, USA",https://www.mangiconamore.com/
Italian,INI Ristorante,"16129 Brookhurst St, Fountain Valley, CA 92708, USA",https://www.iniristorante.com/
Italian,Olive Garden Italian Restaurant,"3755 Alton Pkwy, Irvine, CA 92606, USA",https://www.olivegarden.com/locations/ca/irvine/irvine/1267?cmpid=br:og_ag:ie_ch:loc_ca:OGGMB_sn:gmb_gt:irvine-ca-1267_pl:locurl_rd:1203
