Cuisine Type,Name,Address,Website
Mexican,San Miguel Mexican Restaurant,"7209 FL-54, New Port Richey, FL 34653, USA",https://www.sanmiguelrestaurantemexicano.com/
Mexican,Vallarta's Mexican Restaurant,"11345 FL-54, Odessa, FL 33556, USA",http://www.vallartastrinity.com/
Mexican,Los Magueyes Mexican Grill,"7041 U.S. Hwy 19, New Port Richey, FL 34652, USA",
Mexican,San Jose Mexican Restaurant,"7804 Land O' Lakes Blvd, Land O' Lakes, FL 34638, USA",http://www.sanjosetampa.com/
Mexican,Carmelita's Mexican Restaurant,"8526 Old County Rd 54, New Port Richey, FL 34655, USA",
Mexican,Vallarta's Mexican Restaurant,"22948 FL-54, Lutz, FL 33549, USA",http://vallartasrestaurants.com/?utm_source=google-gmb-maps&utm_medium=gmb-website-button&utm_campaign=locl.io&utm_content=6f812957-f7f0-41e2-a71c-0965ba68146c
Mexican,La Casa Mexicana,"11226 U.S. Hwy 19, Port Richey, FL 34668, USA",https://www.lacasamexicanaportrichey.com/
Mexican,EL Cerrito Mexican Restaurant & Grill,"6911 Congress St, New Port Richey, FL 34653, USA",
Mexican,Las Perlas Mexican Restaurant,"5003 Trouble Creek Rd, Port Richey, FL 34652, USA",https://lasperlasmexicanrestaurantfl.com/
Mexican,Vallarta's Mexican Restaurant - Wesley Chapel,"5335 Village Mkt, Wesley Chapel, FL 33544, USA",http://thevallartasrestaurants.com/
Mexican,San Jose Mexican Restaurant - Lutz,"16540 Pointe Village Dr, Lutz, FL 33558, USA",https://www.sanjoselutz.com/
Mexican,Tijuana Flats,"23100 FL-54, Lutz, FL 33549, USA",https://www.tijuanaflats.com/locations/collier-pkwy?utm_source=google&utm_medium=organic&utm_campaign=local-business-listing
Mexican,El Cerrito Mexican Restaurant & Grill,"13704 Little Rd, Hudson, FL 34667, USA",https://www.elcerritorestaurante.com/
Mexican,Tacos El Chapo,"5736 US Highway 19, 5736 US Highway N, New Port Richey, FL 34652, USA",http://www.tacoselchapofl.com/
Mexican,La Paisita Market Inc,"4966 U.S. Hwy 19, New Port Richey, FL 34652, USA",https://www.facebook.com/lapaisitamarketinc/
Mexican,Crazy burrito authentic Mexican grill,"8165 State Rd 52, Hudson, FL 34667, USA",https://crazyburritotampafl.com/
Mexican,Tijuana Flats,"10900 FL-54 STE 101, Trinity, FL 34655, USA",https://www.tijuanaflats.com/locations/trinity?utm_source=google&utm_medium=organic&utm_campaign=local-business-listing
Mexican,Capital Tacos,"10700 FL-54, Trinity, FL 34655, USA",http://capitaltacos.com/
Mexican,Plaza Mexico Mariscos Restaurant Bar and Grill,"38361 Co Rd 54, Zephyrhills, FL 33542, USA",http://plazamexicozephyrhills.com/
Mexican,TacoSon,"30056 FL-54, Wesley Chapel, FL 33543, USA",https://www.tacosonmexicangrill.com/
Swedish,Swedish Bistro,"1103 N 22nd St, Tampa, FL 33605, USA",
Latvian,Café Europa,"8536 Ridge Rd, New Port Richey, FL 34654, USA",https://order.online/business/cafe-europa-11411643
Italian,Argento's Italian Bistro,"10042 U.S. Hwy 19, Port Richey, FL 34668, USA",http://www.argentosbistro.com/
Italian,Villaggio's Ristorante Italiano,"102 Flagship Dr, Lutz, FL 33549, USA",http://www.villaggioslutz.com/
Italian,Taso Italiano,"4016 Little Rd, New Port Richey, FL 34653, USA",http://tasoitaliano.com/
Italian,Mandola's Italian Kitchen,"14703 N Dale Mabry Hwy, Tampa, FL 33618, USA",http://mandolas.com/
Italian,Rossi Ristorante Italiano,"7254 FL-54, New Port Richey, FL 34653, USA",https://rossiitaliano.com/
Italian,Johnny C's Italian Eatery,"10970 Cross Creek Blvd suite a, Tampa, FL 33647, USA",https://johnnycsitalianeatery.com/
Italian,Noble Crust of Wesley Chapel,"28330 Paseo Drive, Wesley Chapel, FL 33543, USA",https://www.noble-crust.com/
Italian,The Bistro,"17 N Safford Ave, Tarpon Springs, FL 34689, USA",https://tuscansunitalianbistro.com/
Italian,Pasta di Guy Trinity,"7813 Mitchell Blvd STE 106, New Port Richey, FL 34655, USA",http://pastadiguy.com/
Italian,Piccola Italia Restaurant,"37502 FL-54, Zephyrhills, FL 33542, USA",https://www.piccolazhills.com/
Italian,Mandola's Italian Kitchen,"16080 Preserve Marketplace Blvd, Odessa, FL 33556, USA",https://mandolas.com/locations/odessa-fl/
Italian,Nabruzzi Trattoria,"6062 Van Dyke Rd, Lutz, FL 33558, USA",https://nabruzzitrattoria.com/
Italian,La Dolce Vita Trattoria,"600 Palm Harbor Blvd, Palm Harbor, FL 34683, USA",http://www.dolcevitapalmharbor.com/
Italian,Manolo's Italian Restaurant,"38445 5th Ave, Zephyrhills, FL 33542, USA",http://www.manolositalianrestaurant.com/
Italian,Carrabba's Italian Grill,"10110 U.S. Hwy 19, Port Richey, FL 34668, USA",https://locations.carrabbas.com/florida/port-richey/10110-us-hwy-19-n?y_source=1_MTU1MDMwNDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D
Italian,Papa Joes Italian Restaurant,"6244 Spring Lake Hwy, Brooksville, FL 34601, USA",http://papajoes.org/
Italian,Mama B's Pizzeria,"27607 State Rd 56 UNIT 105, Wesley Chapel, FL 33544, USA",https://mamabspizzeria.com/
Italian,Mandola’s Italian Kitchen,"3138 Tampa Rd, Oldsmar, FL 34677, USA",https://mandolas.com/
Italian,DeCristofaro's,"14277 Powell Rd, Spring Hill, FL 34609, USA",https://decristofaros.org/
Italian,Falabella Family Bistro,"6027 Wesley Grove Blvd suite 105, Wesley Chapel, FL 33544, USA",https://www.falabellabistro.com/
Spanish,Paella & Tapas,"3533 Little Rd, New Port Richey, FL 34655, USA",https://www.paellaytapastogo.com/
Spanish,La Fondita de Leo,"1600 U.S. Hwy 19, Holiday, FL 34691, USA",http://lafonditadeleoflorida.com/
Spanish,Columbia Restaurant,"2117 E 7th Ave, Tampa, FL 33605, USA",http://www.columbiarestaurant.com/
Spanish,Mojo Grill Latin Fusion,"5841 Goldview Pkwy unit 103, Wesley Chapel, FL 33544, USA",https://www.eatmojogrillfl.com/
Spanish,Kyto's Pastelitos Latin Cuisine,"2636 U.S. Hwy 19, Holiday, FL 34652, USA",https://www.facebook.com/KytoPastelitos/?jazoest=2651001195357106108122981015283817167661081046610872105120112108121701117684721165656781091124952801218385488565586510012271118121122107495256881001101127812095109551101001067610473851021211095797101971127710067102111959811488118103
Spanish,Delicias Latinas Restaurant,"5421 Main St, New Port Richey, FL 34652, USA",https://www.facebook.com/profile.php?id=100010283685338
Spanish,Cantina Viajero,"1338 Epiphany Wy N-103, Trinity, FL 34655, USA",https://cantinaviajero.com/
Spanish,Alvarez Authentic Latin Food,"7715 Land O' Lakes Blvd, Land O' Lakes, FL 34638, USA",
Spanish,Mesa Latina Food Truck Wesley Chapel,"29602 FL-54, Wesley Chapel, FL 33543, USA",https://mhme.nu/qr/9cc30946-143b-4d72-af82-6db5001e9caf
Spanish,La Paisita Market Inc,"4966 U.S. Hwy 19, New Port Richey, FL 34652, USA",https://www.facebook.com/lapaisitamarketinc/
Spanish,Latin Japan Restaurant,"1932 U.S. Hwy 19, Holiday, FL 34690, USA",
Spanish,Colombian Resturant Brisas Del Valle #2,"6809 Massachusetts Ave, New Port Richey, FL 34653, USA",https://colombianresturantbrisasdelvalle2fl.com/
Spanish,The Original Latin Spot,"19017 US-41, Lutz, FL 33549, USA",https://www.theoriginallatinspot.com/
Spanish,Latin Twist Cafe,"2653 Bruce B Downs Blvd Suite 105, Wesley Chapel, FL 33544, USA",
Spanish,Corozal Restaurant,"5317 Gall Blvd, Zephyrhills, FL 33542, USA",
Spanish,San Jose Mexican Restaurant,"7804 Land O' Lakes Blvd, Land O' Lakes, FL 34638, USA",http://www.sanjosetampa.com/
Spanish,Pal Campo Restaurant Tampa,"9218 Anderson Rd, Tampa, FL 33634, USA",http://palcamporestaurant.com/
Spanish,Doble Gustazo Puerto Rican Cuisine,"4409 Land O' Lakes Blvd, Land O' Lakes, FL 34639, USA",http://www.doblegustazo.com/
Spanish,Copacabana,"4193 Mariner Blvd, Spring Hill, FL 34609, USA",http://copacabanaofspringhill.com/
American,FlameStone,"10900 FL-54, New Port Richey, FL 34655, USA",https://www.flamestonegrill.com/
American,Alex's Place,"7845 Grand Blvd, Port Richey, FL 34668, USA",
American,Americana 50's Family Diner,"1730 U.S. Hwy 19, Holiday, FL 34691, USA",http://www.facebook.com/americana50sdiner/
American,Cheddar's Scratch Kitchen,"2391 Sun Vista Dr, Lutz, FL 33559, USA",https://www.cheddars.com/locations/fl/lutz/lutz-wesley-chapel/2122?cmpid=br:csk_ag:ie_ch:loc_ca:CSKGMB_sn:gmb_gt:lutz-fl-2122_pl:locurl_rd:1096
American,Cracker Barrel Old Country Store,"5341 U.S. Hwy 19, New Port Richey, FL 34652, USA",https://www.crackerbarrel.com/Locations/States/fl/new-port-richey/626/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl
American,Grandma Sally's,"5330 Grand Blvd, New Port Richey, FL 34652, USA",http://grandmasallys.com/
American,Trio's Restaurant & Lounge,"5316 U.S. Hwy 19 N, New Port Richey, FL 34652, USA",
American,Boulevard Beef & Ale Inc,"6236 Grand Blvd, New Port Richey, FL 34652, USA",https://www.boulevardbeef.com/
American,The Grill Restaurant & Bar,"5300 W Lutz Lake Fern Rd, Lutz, FL 33558, USA",https://www.tpctampabay.com/dining/
American,Cracker Barrel Old Country Store,"5636 Oakley Blvd, Wesley Chapel, FL 33544, USA",https://www.crackerbarrel.com/Locations/States/fl/wesley-chapel/82/?utm_source=google&utm_medium=maps&utm_campaign=crackerbarrelurl
American,The Holiday House Restaurant,"1908 U.S. Hwy 19, Holiday, FL 34690, USA",https://www.theholidayhouserestaurant.com/
American,Whiskey Joe's | Port Richey,"7835 Bayview St, Port Richey, FL 34668, USA",https://www.thewhiskeyjoes.com/
American,Route 66 Diner,"13824 U.S. Hwy 19, Hudson, FL 34667, USA",http://route66diner.dine.online/?utm_source=website
American,Ford's Garage Wesley Chapel,"25526 Sierra Center Blvd, Lutz, FL 33559, USA",https://www.fordsgarageusa.com/locations/wesley-chapel/
American,Ruby Tuesday,"8512 Ridge Rd, New Port Richey, FL 34654, USA",https://rubytuesday.com/
American,Whiskey River On The Water,"5245 Limestone Dr, Port Richey, FL 34668, USA",https://www.facebook.com/WhiskeyRiverOntheWater
American,The Stadium,"2349 Seven Springs Blvd, New Port Richey, FL 34655, USA",http://www.thestadiumrestaurant.com/
American,Central Park Family Restaurant,"7657 FL-54, New Port Richey, FL 34653, USA",http://www.centralparkfamilyrestaurant.com/
American,Chuck Lager America's Tavern,"2001 Piazza Ave Suite 175, Wesley Chapel, FL 33543, USA",http://www.chucklager.com/
American,Steak 'n Shake,"9116 U.S. Hwy 19, Port Richey, FL 34668, USA",
Scottish,Fitzgerald's Irish Tavern,"5811 Nebraska Ave, New Port Richey, FL 34652, USA",https://fitzgeraldstavern.com/
Scottish,Mulligans Irish Pub,"23253 Plantation Palms Blvd, Land O' Lakes, FL 34639, USA",http://plantationpalms.net/
Scottish,Molly Malone's Irish Pub and Eatery,"4106 Little Rd, New Port Richey, FL 34655, USA",http://facebook.com/mollymalones317
Scottish,O'Brien's Irish Pub & Grill Wesley Chapel,"5429 Village Mkt, Wesley Chapel, FL 33544, USA",https://www.obrienswc.com/
Scottish,Scratch House Pub,"2990 Wentworth Way, Tarpon Springs, FL 34688, USA",
Scottish,Herschel's Scratch Kitchen,"5749 Main St, New Port Richey, FL 34652, USA",https://www.herschelsscratchkitchen.com/
Scottish,Christo's Restaurant,"3136 Little Rd, Trinity, FL 34655, USA",https://christosrestaurant.com/
Scottish,Scotland Yards Golf Club,"9424 US-301, Dade City, FL 33525, USA",http://scotlandyardsgolf.com/
